scenario;environment;levy;flood;seed;cycles;population;requested;fulfilled;unmet;trips;travelers;traveler_distance;occupancy_person_hours;fulfillment_rate;travelers_per_capita;distance_per_requested_visit;mean_distance_per_traveler;occupancy_per_requested_visit;peak_hourly_occupancy;runtime_seconds;peak_memory_kib;validation_passed;failed_checks;commit_sha
13_levy_on_flood_none;13;True;none;13;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;194725576.4912634;2374616.0;1.0;17.99974227780936;82.00297500364833;82.00297500364833;1.0;6780.0;553.4873950439978;251952.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_none;13;True;none;14;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;194701550.4909712;2374616.0;1.0;17.99974227780936;81.99285715710296;81.99285715710296;1.0;6780.0;525.2709311809995;251792.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_none;13;True;none;15;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;194709777.41582507;2374616.0;1.0;17.99974227780936;81.99632168562204;81.99632168562204;1.0;6780.0;516.0053963409991;251800.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_none;13;True;none;16;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;194701993.39703852;2374616.0;1.0;17.99974227780936;81.99304367402499;81.99304367402499;1.0;6780.0;515.7420181729976;252720.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_none;13;True;none;17;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;194702728.77650723;2374616.0;1.0;17.99974227780936;81.99335335755643;81.99335335755643;1.0;6780.0;325.990504657002;252408.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_none;13;True;none;18;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;194713044.98207515;2374616.0;1.0;17.99974227780936;81.99769772547441;81.99769772547441;1.0;6780.0;403.78844201299944;253188.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_none;13;True;none;19;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;194706319.31053093;2374616.0;1.0;17.99974227780936;81.99486540583023;81.99486540583023;1.0;6780.0;379.43975985400175;252392.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_none;13;True;none;20;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;194720592.00627118;2374616.0;1.0;17.99974227780936;82.00087593373884;82.00087593373884;1.0;6780.0;373.8723464429968;252072.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_none;13;True;none;21;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;194656643.79585588;2374616.0;1.0;17.99974227780936;81.97394601731644;81.97394601731644;1.0;6780.0;364.53093234300104;252216.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_none;13;True;none;22;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;194699608.9425737;2374616.0;1.0;17.99974227780936;81.9920395308436;81.9920395308436;1.0;6780.0;335.72356750700055;252428.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_none;13;True;none;23;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;194702922.78519717;2374616.0;1.0;17.99974227780936;81.99343505863565;81.99343505863565;1.0;6780.0;348.487376699999;252168.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_none;13;True;none;24;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;194713705.59857115;2374616.0;1.0;17.99974227780936;81.99797592476895;81.99797592476895;1.0;6780.0;420.2405083900012;252456.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_none;13;True;none;25;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;194718631.98267677;2374616.0;1.0;17.99974227780936;82.00005052719125;82.00005052719125;1.0;6780.0;346.59044397099933;252516.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_none;13;True;none;26;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;194696250.30837795;2374616.0;1.0;17.99974227780936;81.99062514039237;81.99062514039237;1.0;6780.0;355.8037117240019;252468.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_none;13;True;none;27;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;194705072.26994035;2374616.0;1.0;17.99974227780936;81.99434025119865;81.99434025119865;1.0;6780.0;395.94349223300014;252388.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_none;13;True;none;28;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;194702671.66412282;2374616.0;1.0;17.99974227780936;81.99332930634799;81.99332930634799;1.0;6780.0;391.62152391999916;252540.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_none;13;True;none;29;56;131925;2374616.0;2374616.0;0.0;750336.0;2374616.0;194749702.36520046;2374616.0;1.0;17.99974227780936;82.01313490905497;82.01313490905497;1.0;6780.0;374.34123069199995;252008.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
13_levy_on_flood_pois;13;True;pois;0;56;131925;2374616.0;2291171.0;83445.0;722405.0;2291171.0;181132182.54094636;2291171.0;0.9648595815070732;17.36722380140231;76.27851515400653;79.0565970592969;0.9648595815070732;6780.0;347.3247991919998;251652.0;True;;ba1c230496d7c4aa810407cca8cd6ef85112743f
