scenario;environment;levy;flood;seed;origin_region;destination_region;node_type;trips;travelers;traveler_distance;mean_distance_per_traveler
13_levy_off_flood_homes;13;False;homes;0;Azenha;Azenha;marketplace;26176.0;91400.0;7627242.911532356;83.44904717212644
13_levy_off_flood_homes;13;False;homes;0;Azenha;Azenha;pharmacy;17256.0;23073.0;1749704.113904143;75.83340328107064
13_levy_off_flood_homes;13;False;homes;0;Azenha;Azenha;restaurant;20040.0;96512.0;9067183.221931918;93.9487651476699
13_levy_off_flood_homes;13;False;homes;0;Azenha;Cidade Baixa;marketplace;3.0;11.0;3878.5133181016186;352.5921198274199
13_levy_off_flood_homes;13;False;homes;0;Azenha;Cidade Baixa;pharmacy;592.0;635.0;49633.43047645142;78.16288264008098
13_levy_off_flood_homes;13;False;homes;0;Azenha;Cidade Baixa;restaurant;34.0;115.0;10113.927714337324;87.94719751597673
13_levy_off_flood_homes;13;False;homes;0;Azenha;Praia de Belas;marketplace;940.0;2371.0;3510460.5645929785;1480.5822710219227
13_levy_off_flood_homes;13;False;homes;0;Azenha;Praia de Belas;pharmacy;189.0;189.0;243576.32241649667;1288.7636106692946
13_levy_off_flood_homes;13;False;homes;0;Azenha;Praia de Belas;restaurant;264.0;925.0;1125686.3384931008;1216.9582037763253
13_levy_off_flood_homes;13;False;homes;0;Azenha;Santana;marketplace;1760.0;5576.0;515558.20757706097;92.46022374050591
13_levy_off_flood_homes;13;False;homes;0;Azenha;Santana;restaurant;608.0;2520.0;477456.4069522315;189.46682815564742
13_levy_off_flood_homes;13;False;homes;0;Bom Fim;Bom Fim;marketplace;20256.0;72008.0;4985699.402626022;69.23813191070467
13_levy_off_flood_homes;13;False;homes;0;Bom Fim;Bom Fim;pharmacy;14488.0;19712.0;1134548.2501926438;57.55622210798721
13_levy_off_flood_homes;13;False;homes;0;Bom Fim;Bom Fim;restaurant;15200.0;79488.0;4268218.803919038;53.69639195751608
13_levy_off_flood_homes;13;False;homes;0;Bom Fim;Centro Histórico;marketplace;880.0;2064.0;364248.87745717535;176.47716931064696
13_levy_off_flood_homes;13;False;homes;0;Bom Fim;Centro Histórico;pharmacy;512.0;512.0;118962.39234437598;232.34842254760935
13_levy_off_flood_homes;13;False;homes;0;Bom Fim;Farroupilha;marketplace;880.0;2712.0;407738.3428219032;150.345996615746
13_levy_off_flood_homes;13;False;homes;0;Bom Fim;Independência;marketplace;1736.0;3640.0;246109.61706995836;67.61253216207648
13_levy_off_flood_homes;13;False;homes;0;Bom Fim;Independência;pharmacy;728.0;728.0;66664.26609695092;91.57179408921829
13_levy_off_flood_homes;13;False;homes;0;Bom Fim;Independência;restaurant;1216.0;4176.0;230540.7080953485;55.20610826038039
13_levy_off_flood_homes;13;False;homes;0;Bom Fim;Rio Branco;marketplace;888.0;4024.0;232184.35293112686;57.69988889938541
13_levy_off_flood_homes;13;False;homes;0;Bom Fim;Rio Branco;pharmacy;616.0;640.0;87129.28496391866;136.1395077561229
13_levy_off_flood_homes;13;False;homes;0;Centro Histórico;Centro Histórico;marketplace;81488.0;240512.0;14295194.741862891;59.43651352890039
13_levy_off_flood_homes;13;False;homes;0;Centro Histórico;Centro Histórico;pharmacy;52104.0;60616.0;3665933.4898904082;60.47798419378395
13_levy_off_flood_homes;13;False;homes;0;Centro Histórico;Centro Histórico;restaurant;57152.0;242576.0;14770016.811794208;60.88820333336442
13_levy_off_flood_homes;13;False;homes;0;Centro Histórico;Cidade Baixa;marketplace;161.0;597.0;71347.25056383973;119.50963243524242
13_levy_off_flood_homes;13;False;homes;0;Centro Histórico;Cidade Baixa;pharmacy;148.0;205.0;105030.3530124145;512.3431854264122
13_levy_off_flood_homes;13;False;homes;0;Centro Histórico;Cidade Baixa;restaurant;87.0;459.0;83560.1487267258;182.04825430659216
13_levy_off_flood_homes;13;False;homes;0;Centro Histórico;Floresta;marketplace;888.0;3088.0;294924.1465469989;95.50652414086751
13_levy_off_flood_homes;13;False;homes;0;Centro Histórico;Independência;marketplace;856.0;1576.0;212786.9884902338;135.01712467654428
13_levy_off_flood_homes;13;False;homes;0;Centro Histórico;Independência;restaurant;608.0;1744.0;239521.5047359784;137.34031234861146
13_levy_off_flood_homes;13;False;homes;0;Centro Histórico;Praia de Belas;marketplace;1423.0;3948.0;3259103.318829937;825.5074262487176
13_levy_off_flood_homes;13;False;homes;0;Centro Histórico;Praia de Belas;pharmacy;637.0;704.0;363782.317295059;516.7362461577542
13_levy_off_flood_homes;13;False;homes;0;Centro Histórico;Praia de Belas;restaurant;1026.0;4042.0;1964091.704018391;485.92075804512393
13_levy_off_flood_homes;13;False;homes;0;Cidade Baixa;Cidade Baixa;marketplace;34012.0;103504.0;7806210.305800403;75.41940703548077
13_levy_off_flood_homes;13;False;homes;0;Cidade Baixa;Cidade Baixa;pharmacy;20867.0;25106.0;2124919.7254308;84.63792421854538
13_levy_off_flood_homes;13;False;homes;0;Cidade Baixa;Cidade Baixa;restaurant;23591.0;103538.0;6773307.807861831;65.4185691037284
13_levy_off_flood_homes;13;False;homes;0;Cidade Baixa;Farroupilha;pharmacy;616.0;680.0;141684.60341391483;208.35971090281592
13_levy_off_flood_homes;13;False;homes;0;Cidade Baixa;Farroupilha;restaurant;608.0;3480.0;408615.53297801595;117.41825660287815
13_levy_off_flood_homes;13;False;homes;0;Cidade Baixa;Praia de Belas;marketplace;449.0;951.0;602142.7710848633;633.1680032438101
13_levy_off_flood_homes;13;False;homes;0;Cidade Baixa;Praia de Belas;pharmacy;622.0;669.0;295189.2437947262;441.239527346377
13_levy_off_flood_homes;13;False;homes;0;Cidade Baixa;Praia de Belas;restaurant;505.0;1224.0;631951.3846554116;516.3001508622643
13_levy_off_flood_homes;13;False;homes;0;Farroupilha;Farroupilha;restaurant;608.0;2712.0;954197.4803493833;351.842728742398
13_levy_off_flood_homes;13;False;homes;0;Farroupilha;Santana;pharmacy;624.0;960.0;55262.50736942914;57.56511184315536
13_levy_off_flood_homes;13;False;homes;0;Floresta;Centro Histórico;marketplace;872.0;1976.0;1577920.544058389;798.5427854546504
13_levy_off_flood_homes;13;False;homes;0;Floresta;Centro Histórico;restaurant;608.0;1976.0;1561591.6933708645;790.2791970500326
13_levy_off_flood_homes;13;False;homes;0;Floresta;Floresta;marketplace;17432.0;63780.0;12150814.786286145;190.5113638489518
