scenario;environment;levy;flood;seed;node_type;population;requested;fulfilled;unmet;fulfillment_rate;trips;travelers;travelers_per_capita;traveler_distance;distance_per_requested_visit;mean_distance_per_traveler;occupancy_person_hours;occupancy_per_requested_visit;peak_hourly_occupancy
13_levy_on_flood_none;13;True;none;4;pharmacy;131925;263816.0;263816.0;0.0;1.0;206424.0;263816.0;1.9997422778093614;20789873.645994008;78.80444569697822;78.80444569697822;263816.0;1.0;685.0
13_levy_on_flood_none;13;True;none;4;restaurant;131925;1055400.0;1055400.0;0.0;1.0;222632.0;1055400.0;8.0;83825584.76873015;79.42541668441363;79.42541668441363;1055400.0;1.0;5367.0
13_levy_on_flood_none;13;True;none;5;marketplace;131925;1055400.0;1055400.0;0.0;1.0;321280.0;1055400.0;8.0;90082934.62770702;85.354306071354;85.354306071354;1055400.0;1.0;2075.0
13_levy_on_flood_none;13;True;none;5;pharmacy;131925;263816.0;263816.0;0.0;1.0;206424.0;263816.0;1.9997422778093614;20789911.517426804;78.80458924942688;78.80458924942688;263816.0;1.0;685.0
13_levy_on_flood_none;13;True;none;5;restaurant;131925;1055400.0;1055400.0;0.0;1.0;222632.0;1055400.0;8.0;83827870.19020982;79.427582139672;79.427582139672;1055400.0;1.0;5367.0
13_levy_on_flood_none;13;True;none;6;marketplace;131925;1055400.0;1055400.0;0.0;1.0;321280.0;1055400.0;8.0;90094394.84107006;85.36516471581396;85.36516471581396;1055400.0;1.0;2075.0
13_levy_on_flood_none;13;True;none;6;pharmacy;131925;263816.0;263816.0;0.0;1.0;206424.0;263816.0;1.9997422778093614;20795213.18575588;78.82468533279209;78.82468533279209;263816.0;1.0;685.0
13_levy_on_flood_none;13;True;none;6;restaurant;131925;1055400.0;1055400.0;0.0;1.0;222632.0;1055400.0;8.0;83829320.50752392;79.4289563270077;79.4289563270077;1055400.0;1.0;5367.0
13_levy_on_flood_none;13;True;none;7;marketplace;131925;1055400.0;1055400.0;0.0;1.0;321280.0;1055400.0;8.0;90089467.28536572;85.36049581709847;85.36049581709847;1055400.0;1.0;2075.0
13_levy_on_flood_none;13;True;none;7;pharmacy;131925;263816.0;263816.0;0.0;1.0;206424.0;263816.0;1.9997422778093614;20789713.773714114;78.80383969779739;78.80383969779739;263816.0;1.0;685.0
13_levy_on_flood_none;13;True;none;7;restaurant;131925;1055400.0;1055400.0;0.0;1.0;222632.0;1055400.0;8.0;83830019.68198006;79.4296188004359;79.4296188004359;1055400.0;1.0;5367.0
13_levy_on_flood_none;13;True;none;8;marketplace;131925;1055400.0;1055400.0;0.0;1.0;321280.0;1055400.0;8.0;90084323.17701793;85.35562173300922;85.35562173300922;1055400.0;1.0;2075.0
13_levy_on_flood_none;13;True;none;8;pharmacy;131925;263816.0;263816.0;0.0;1.0;206424.0;263816.0;1.9997422778093614;20791155.260912176;78.8093036848113;78.8093036848113;263816.0;1.0;685.0
13_levy_on_flood_none;13;True;none;8;restaurant;131925;1055400.0;1055400.0;0.0;1.0;222632.0;1055400.0;8.0;83835147.48427226;79.43447743440616;79.43447743440616;1055400.0;1.0;5367.0
13_levy_on_flood_none;13;True;none;9;marketplace;131925;1055400.0;1055400.0;0.0;1.0;321280.0;1055400.0;8.0;90079584.98339073;85.3511322563869;85.3511322563869;1055400.0;1.0;2075.0
13_levy_on_flood_none;13;True;none;9;pharmacy;131925;263816.0;263816.0;0.0;1.0;206424.0;263816.0;1.9997422778093614;20791017.766281456;78.8087825085721;78.8087825085721;263816.0;1.0;685.0
13_levy_on_flood_none;13;True;none;9;restaurant;131925;1055400.0;1055400.0;0.0;1.0;222632.0;1055400.0;8.0;83830853.07559118;79.43040844759444;79.43040844759444;1055400.0;1.0;5367.0
13_levy_on_flood_none;13;True;none;10;marketplace;131925;1055400.0;1055400.0;0.0;1.0;321280.0;1055400.0;8.0;90077621.94762745;85.34927226419126;85.34927226419126;1055400.0;1.0;2075.0
13_levy_on_flood_none;13;True;none;10;pharmacy;131925;263816.0;263816.0;0.0;1.0;206424.0;263816.0;1.9997422778093614;20791860.549715042;78.81197709659399;78.81197709659399;263816.0;1.0;685.0
13_levy_on_flood_none;13;True;none;10;restaurant;131925;1055400.0;1055400.0;0.0;1.0;222632.0;1055400.0;8.0;83828111.6097219;79.42781088660404;79.42781088660404;1055400.0;1.0;5367.0
