scenario;environment;levy;flood;metric;n;mean;standard_deviation;ci95_lower;ci95_upper;inferential
13_levy_on_flood_homes;13;True;homes;travelers_per_capita;30;17.999742277809364;0.0;17.999742277809364;17.999742277809364;True
13_levy_on_flood_homes;13;True;homes;traveler_distance;30;211200288.07959178;66117.7805093641;211175599.29460075;211224976.8645828;True
13_levy_on_flood_homes;13;True;homes;distance_per_requested_visit;30;88.94081741199074;0.02784356734283187;88.93042045307568;88.95121437090579;True
13_levy_on_flood_homes;13;True;homes;mean_distance_per_traveler;30;88.94081741199074;0.02784356734283187;88.93042045307568;88.95121437090579;True
13_levy_on_flood_homes;13;True;homes;occupancy_person_hours;30;2374616.0;0.0;2374616.0;2374616.0;True
13_levy_on_flood_homes;13;True;homes;occupancy_per_requested_visit;30;1.0;0.0;1.0;1.0;True
13_levy_on_flood_homes;13;True;homes;peak_hourly_occupancy;30;6780.0;0.0;6780.0;6780.0;True
13_levy_on_flood_none;13;True;none;requested;30;2374616.0;0.0;2374616.0;2374616.0;True
13_levy_on_flood_none;13;True;none;fulfilled;30;2374616.0;0.0;2374616.0;2374616.0;True
13_levy_on_flood_none;13;True;none;unmet;30;0.0;0.0;0.0;0.0;True
13_levy_on_flood_none;13;True;none;fulfillment_rate;30;1.0;0.0;1.0;1.0;True
13_levy_on_flood_none;13;True;none;trips;30;750336.0;0.0;750336.0;750336.0;True
13_levy_on_flood_none;13;True;none;travelers;30;2374616.0;0.0;2374616.0;2374616.0;True
13_levy_on_flood_none;13;True;none;travelers_per_capita;30;17.999742277809364;0.0;17.999742277809364;17.999742277809364;True
13_levy_on_flood_none;13;True;none;traveler_distance;30;194707317.7883616;15625.593427969297;194701483.09588513;194713152.4808381;True
13_levy_on_flood_none;13;True;none;distance_per_requested_visit;30;81.99528588553333;0.006580261157159255;81.99282877563579;81.99774299543088;True
13_levy_on_flood_none;13;True;none;mean_distance_per_traveler;30;81.99528588553333;0.006580261157159255;81.99282877563579;81.99774299543088;True
13_levy_on_flood_none;13;True;none;occupancy_person_hours;30;2374616.0;0.0;2374616.0;2374616.0;True
13_levy_on_flood_none;13;True;none;occupancy_per_requested_visit;30;1.0;0.0;1.0;1.0;True
13_levy_on_flood_none;13;True;none;peak_hourly_occupancy;30;6780.0;0.0;6780.0;6780.0;True
13_levy_on_flood_pois;13;True;pois;requested;30;2374616.0;0.0;2374616.0;2374616.0;True
13_levy_on_flood_pois;13;True;pois;fulfilled;30;2291171.0;0.0;2291171.0;2291171.0;True
13_levy_on_flood_pois;13;True;pois;unmet;30;83445.0;0.0;83445.0;83445.0;True
13_levy_on_flood_pois;13;True;pois;fulfillment_rate;30;0.9648595815070732;0.0;0.9648595815070732;0.9648595815070732;True
13_levy_on_flood_pois;13;True;pois;trips;30;722405.0;0.0;722405.0;722405.0;True
13_levy_on_flood_pois;13;True;pois;travelers;30;2291171.0;0.0;2291171.0;2291171.0;True
13_levy_on_flood_pois;13;True;pois;travelers_per_capita;30;17.36722380140231;0.0;17.36722380140231;17.36722380140231;True
13_levy_on_flood_pois;13;True;pois;traveler_distance;30;181104614.54235834;15319.915956899376;181098893.99172541;181110335.09299126;True
13_levy_on_flood_pois;13;True;pois;distance_per_requested_visit;30;76.26690569858803;0.006451534040407911;76.26449665618584;76.26931474099023;True
13_levy_on_flood_pois;13;True;pois;mean_distance_per_traveler;30;79.04456478471415;0.006686500465001839;79.04206800440708;79.04706156502122;True
13_levy_on_flood_pois;13;True;pois;occupancy_person_hours;30;2291171.0;0.0;2291171.0;2291171.0;True
13_levy_on_flood_pois;13;True;pois;occupancy_per_requested_visit;30;0.9648595815070732;0.0;0.9648595815070732;0.9648595815070732;True
13_levy_on_flood_pois;13;True;pois;peak_hourly_occupancy;30;6780.0;0.0;6780.0;6780.0;True
94_levy_off_flood_none;94;False;none;requested;1;23965416.0;;;;False
94_levy_off_flood_none;94;False;none;fulfilled;1;23965416.0;;;;False
94_levy_off_flood_none;94;False;none;unmet;1;0.0;;;;False
94_levy_off_flood_none;94;False;none;fulfillment_rate;1;1.0;;;;False
94_levy_off_flood_none;94;False;none;trips;1;5545352.0;;;;False
94_levy_off_flood_none;94;False;none;travelers;1;23965416.0;;;;False
94_levy_off_flood_none;94;False;none;travelers_per_capita;1;17.99997296107747;;;;False
94_levy_off_flood_none;94;False;none;traveler_distance;1;2154108174.335903;;;;False
94_levy_off_flood_none;94;False;none;distance_per_requested_visit;1;89.8840301514442;;;;False
94_levy_off_flood_none;94;False;none;mean_distance_per_traveler;1;89.8840301514442;;;;False
94_levy_off_flood_none;94;False;none;occupancy_person_hours;1;23965416.0;;;;False
94_levy_off_flood_none;94;False;none;occupancy_per_requested_visit;1;1.0;;;;False
94_levy_off_flood_none;94;False;none;peak_hourly_occupancy;1;68345.0;;;;False
94_levy_on_flood_none;94;True;none;requested;5;23965416.0;0.0;23965416.0;23965416.0;True
94_levy_on_flood_none;94;True;none;fulfilled;5;23965416.0;0.0;23965416.0;23965416.0;True
94_levy_on_flood_none;94;True;none;unmet;5;0.0;0.0;0.0;0.0;True
94_levy_on_flood_none;94;True;none;fulfillment_rate;5;1.0;0.0;1.0;1.0;True
94_levy_on_flood_none;94;True;none;trips;5;5545352.0;0.0;5545352.0;5545352.0;True
94_levy_on_flood_none;94;True;none;travelers;5;23965416.0;0.0;23965416.0;23965416.0;True
94_levy_on_flood_none;94;True;none;travelers_per_capita;5;17.99997296107747;0.0;17.99997296107747;17.99997296107747;True
94_levy_on_flood_none;94;True;none;traveler_distance;5;2013471383.8064065;307088.16529451206;2013090083.4872859;2013852684.1255271;True
94_levy_on_flood_none;94;True;none;distance_per_requested_visit;5;84.01570762662357;0.012813804913486269;83.99979718638248;84.03161806686465;True
94_levy_on_flood_none;94;True;none;mean_distance_per_traveler;5;84.01570762662357;0.012813804913486269;83.99979718638248;84.03161806686465;True
94_levy_on_flood_none;94;True;none;occupancy_person_hours;5;23965416.0;0.0;23965416.0;23965416.0;True
94_levy_on_flood_none;94;True;none;occupancy_per_requested_visit;5;1.0;0.0;1.0;1.0;True
94_levy_on_flood_none;94;True;none;peak_hourly_occupancy;5;68345.0;0.0;68345.0;68345.0;True
