Frame;Hour;Neighbourhood;Total;Locals;Outsiders;home_total;home_locals;home_outsiders;work_total;work_locals;work_outsiders;
2;2;Cidade Baixa;15379;15379;0;15379;15379;0;0;0;0;
2;2;Farroupilha;961;961;0;961;961;0;0;0;0;
2;2;Floresta;11596;11596;0;11596;11596;0;0;0;0;
2;2;Independência;8112;8112;0;8112;8112;0;0;0;0;
2;2;Menino Deus;31650;31650;0;31650;31650;0;0;0;0;
2;2;Moinhos de Vento;11937;11937;0;11937;11937;0;0;0;0;
2;2;Praia de Belas;2281;2281;0;2281;2281;0;0;0;0;
2;2;Rio Branco;17531;17531;0;17531;17531;0;0;0;0;
2;2;Santa Cecília;5768;5768;0;5768;5768;0;0;0;0;
2;2;Santana;20723;20723;0;20723;20723;0;0;0;0;
3;3;Azenha;13804;13804;0;13804;13804;0;0;0;0;
3;3;Bom Fim;11593;11593;0;11593;11593;0;0;0;0;
3;3;Centro;39154;39154;0;39154;39154;0;0;0;0;
3;3;Cidade Baixa;15379;15379;0;15379;15379;0;0;0;0;
3;3;Farroupilha;961;961;0;961;961;0;0;0;0;
3;3;Floresta;11596;11596;0;11596;11596;0;0;0;0;
3;3;Independência;8112;8112;0;8112;8112;0;0;0;0;
3;3;Menino Deus;31650;31650;0;31650;31650;0;0;0;0;
3;3;Moinhos de Vento;11937;11937;0;11937;11937;0;0;0;0;
3;3;Praia de Belas;2281;2281;0;2281;2281;0;0;0;0;
3;3;Rio Branco;17531;17531;0;17531;17531;0;0;0;0;
3;3;Santa Cecília;5768;5768;0;5768;5768;0;0;0;0;
3;3;Santana;20723;20723;0;20723;20723;0;0;0;0;
4;4;Azenha;13804;13804;0;13804;13804;0;0;0;0;
4;4;Bom Fim;11593;11593;0;11593;11593;0;0;0;0;
4;4;Centro;39154;39154;0;39154;39154;0;0;0;0;
4;4;Cidade Baixa;15379;15379;0;15379;15379;0;0;0;0;
4;4;Farroupilha;961;961;0;961;961;0;0;0;0;
4;4;Floresta;11596;11596;0;11596;11596;0;0;0;0;
4;4;Independência;8112;8112;0;8112;8112;0;0;0;0;
4;4;Menino Deus;31650;31650;0;31650;31650;0;0;0;0;
4;4;Moinhos de Vento;11937;11937;0;11937;11937;0;0;0;0;
4;4;Praia de Belas;2281;2281;0;2281;2281;0;0;0;0;
4;4;Rio Branco;17531;17531;0;17531;17531;0;0;0;0;
4;4;Santa Cecília;5768;5768;0;5768;5768;0;0;0;0;
4;4;Santana;20723;20723;0;20723;20723;0;0;0;0;
5;5;Azenha;13804;13804;0;13804;13804;0;0;0;0;
5;5;Bom Fim;11593;11593;0;11593;11593;0;0;0;0;
5;5;Centro;39154;39154;0;39154;39154;0;0;0;0;
5;5;Cidade Baixa;15379;15379;0;15379;15379;0;0;0;0;
5;5;Farroupilha;961;961;0;961;961;0;0;0;0;
5;5;Floresta;11596;11596;0;11596;11596;0;0;0;0;
5;5;Independência;8112;8112;0;8112;8112;0;0;0;0;
5;5;Menino Deus;31650;31650;0;31650;31650;0;0;0;0;
5;5;Moinhos de Vento;11937;11937;0;11937;11937;0;0;0;0;
5;5;Praia de Belas;2281;2281;0;2281;2281;0;0;0;0;
5;5;Rio Branco;17531;17531;0;17531;17531;0;0;0;0;
5;5;Santa Cecília;5768;5768;0;5768;5768;0;0;0;0;
5;5;Santana;20723;20723;0;20723;20723;0;0;0;0;
6;6;Azenha;13804;13804;0;13804;13804;0;0;0;0;
6;6;Bom Fim;11593;11593;0;11593;11593;0;0;0;0;
6;6;Centro;39154;39154;0;39154;39154;0;0;0;0;
6;6;Cidade Baixa;15379;15379;0;15379;15379;0;0;0;0;
6;6;Farroupilha;961;961;0;961;961;0;0;0;0;
6;6;Floresta;11596;11596;0;11596;11596;0;0;0;0;
6;6;Independência;8112;8112;0;8112;8112;0;0;0;0;
6;6;Menino Deus;31650;31650;0;31650;31650;0;0;0;0;
6;6;Moinhos de Vento;11937;11937;0;11937;11937;0;0;0;0;
6;6;Praia de Belas;2281;2281;0;2281;2281;0;0;0;0;
6;6;Rio Branco;17531;17531;0;17531;17531;0;0;0;0;
6;6;Santa Cecília;5768;5768;0;5768;5768;0;0;0;0;
6;6;Santana;20723;20723;0;20723;20723;0;0;0;0;
7;7;Azenha;14539;9945;4594;6907;6907;0;7632;3038;4594;
7;7;Bom Fim;12763;7895;4868;5801;5801;0;6962;2094;4868;
7;7;Centro;31785;29111;2674;19580;19580;0;12205;9531;2674;
7;7;Cidade Baixa;15367;10917;4450;7692;7692;0;7675;3225;4450;
7;7;Farroupilha;6044;670;5374;488;488;0;5556;182;5374;
7;7;Floresta;12031;8409;3622;5803;5803;0;6228;2606;3622;
7;7;Independência;10508;5599;4909;4061;4061;0;6447;1538;4909;
7;7;Menino Deus;26310;23181;3129;15832;15832;0;10478;7349;3129;
7;7;Moinhos de Vento;12129;8711;3418;5973;5973;0;6156;2738;3418;
7;7;Praia de Belas;5864;1703;4161;1148;1148;0;4716;555;4161;
7;7;Rio Branco;16175;12368;3807;8771;8771;0;7404;3597;3807;
7;7;Santa Cecília;8505;4111;4394;2888;2888;0;5617;1223;4394;
7;7;Santana;18469;14854;3615;10365;10365;0;8104;4489;3615;
8;8;Azenha;14539;9945;4594;6907;6907;0;7632;3038;4594;
8;8;Bom Fim;12763;7895;4868;5801;5801;0;6962;2094;4868;
8;8;Centro;31785;29111;2674;19580;19580;0;12205;9531;2674;
8;8;Cidade Baixa;15367;10917;4450;7692;7692;0;7675;3225;4450;
8;8;Farroupilha;6044;670;5374;488;488;0;5556;182;5374;
8;8;Floresta;12031;8409;3622;5803;5803;0;6228;2606;3622;
8;8;Independência;10508;5599;4909;4061;4061;0;6447;1538;4909;
8;8;Menino Deus;26310;23181;3129;15832;15832;0;10478;7349;3129;
8;8;Moinhos de Vento;12129;8711;3418;5973;5973;0;6156;2738;3418;
8;8;Praia de Belas;5864;1703;4161;1148;1148;0;4716;555;4161;
8;8;Rio Branco;16175;12368;3807;8771;8771;0;7404;3597;3807;
8;8;Santa Cecília;8505;4111;4394;2888;2888;0;5617;1223;4394;
8;8;Santana;18469;14854;3615;10365;10365;0;8104;4489;3615;
9;9;Azenha;14539;9945;4594;6907;6907;0;7632;3038;4594;
9;9;Bom Fim;12763;7895;4868;5801;5801;0;6962;2094;4868;
9;9;Centro;31785;29111;2674;19580;19580;0;12205;9531;2674;
9;9;Cidade Baixa;15367;10917;4450;7692;7692;0;7675;3225;4450;
9;9;Farroupilha;6044;670;5374;488;488;0;5556;182;5374;
9;9;Floresta;12031;8409;3622;5803;5803;0;6228;2606;3622;
9;9;Independência;10508;5599;4909;4061;4061;0;6447;1538;4909;
9;9;Menino Deus;26310;23181;3129;15832;15832;0;10478;7349;3129;
9;9;Moinhos de Vento;12129;8711;3418;5973;5973;0;6156;2738;3418;
9;9;Praia de Belas;5864;1703;4161;1148;1148;0;4716;555;4161;
9;9;Rio Branco;16175;12368;3807;8771;8771;0;7404;3597;3807;
9;9;Santa Cecília;8505;4111;4394;2888;2888;0;5617;1223;4394;
9;9;Santana;18469;14854;3615;10365;10365;0;8104;4489;3615;
10;10;Azenha;14539;9945;4594;6907;6907;0;7632;3038;4594;
10;10;Bom Fim;12763;7895;4868;5801;5801;0;6962;2094;4868;
10;10;Centro;31785;29111;2674;19580;19580;0;12205;9531;2674;
10;10;Cidade Baixa;15367;10917;4450;7692;7692;0;7675;3225;4450;
10;10;Farroupilha;6044;670;5374;488;488;0;5556;182;5374;
10;10;Floresta;12031;8409;3622;5803;5803;0;6228;2606;3622;
10;10;Independência;10508;5599;4909;4061;4061;0;6447;1538;4909;
10;10;Menino Deus;26310;23181;3129;15832;15832;0;10478;7349;3129;
10;10;Moinhos de Vento;12129;8711;3418;5973;5973;0;6156;2738;3418;
10;10;Praia de Belas;5864;1703;4161;1148;1148;0;4716;555;4161;
10;10;Rio Branco;16175;12368;3807;8771;8771;0;7404;3597;3807;
10;10;Santa Cecília;8505;4111;4394;2888;2888;0;5617;1223;4394;
10;10;Santana;18469;14854;3615;10365;10365;0;8104;4489;3615;
11;11;Azenha;14539;9945;4594;6907;6907;0;7632;3038;4594;
11;11;Bom Fim;12763;7895;4868;5801;5801;0;6962;2094;4868;
11;11;Centro;31785;29111;2674;19580;19580;0;12205;9531;2674;
11;11;Cidade Baixa;15367;10917;4450;7692;7692;0;7675;3225;4450;
11;11;Farroupilha;6044;670;5374;488;488;0;5556;182;5374;
11;11;Floresta;12031;8409;3622;5803;5803;0;6228;2606;3622;
11;11;Independência;10508;5599;4909;4061;4061;0;6447;1538;4909;
11;11;Menino Deus;26310;23181;3129;15832;15832;0;10478;7349;3129;
11;11;Moinhos de Vento;12129;8711;3418;5973;5973;0;6156;2738;3418;
11;11;Praia de Belas;5864;1703;4161;1148;1148;0;4716;555;4161;
11;11;Rio Branco;16175;12368;3807;8771;8771;0;7404;3597;3807;
11;11;Santa Cecília;8505;4111;4394;2888;2888;0;5617;1223;4394;
11;11;Santana;18469;14854;3615;10365;10365;0;8104;4489;3615;
12;12;Azenha;14539;9945;4594;6907;6907;0;7632;3038;4594;
12;12;Bom Fim;12763;7895;4868;5801;5801;0;6962;2094;4868;
12;12;Centro;31785;29111;2674;19580;19580;0;12205;9531;2674;
12;12;Cidade Baixa;15367;10917;4450;7692;7692;0;7675;3225;4450;
12;12;Farroupilha;6044;670;5374;488;488;0;5556;182;5374;
12;12;Floresta;12031;8409;3622;5803;5803;0;6228;2606;3622;
12;12;Independência;10508;5599;4909;4061;4061;0;6447;1538;4909;
12;12;Menino Deus;26310;23181;3129;15832;15832;0;10478;7349;3129;
12;12;Moinhos de Vento;12129;8711;3418;5973;5973;0;6156;2738;3418;
12;12;Praia de Belas;5864;1703;4161;1148;1148;0;4716;555;4161;
12;12;Rio Branco;16175;12368;3807;8771;8771;0;7404;3597;3807;
12;12;Santa Cecília;8505;4111;4394;2888;2888;0;5617;1223;4394;
12;12;Santana;18469;14854;3615;10365;10365;0;8104;4489;3615;
13;13;Azenha;14539;9945;4594;6907;6907;0;7632;3038;4594;
13;13;Bom Fim;12763;7895;4868;5801;5801;0;6962;2094;4868;
13;13;Centro;31785;29111;2674;19580;19580;0;12205;9531;2674;
13;13;Cidade Baixa;15367;10917;4450;7692;7692;0;7675;3225;4450;
13;13;Farroupilha;6044;670;5374;488;488;0;5556;182;5374;
13;13;Floresta;12031;8409;3622;5803;5803;0;6228;2606;3622;
13;13;Independência;10508;5599;4909;4061;4061;0;6447;1538;4909;
13;13;Menino Deus;26310;23181;3129;15832;15832;0;10478;7349;3129;
13;13;Moinhos de Vento;12129;8711;3418;5973;5973;0;6156;2738;3418;
13;13;Praia de Belas;5864;1703;4161;1148;1148;0;4716;555;4161;
13;13;Rio Branco;16175;12368;3807;8771;8771;0;7404;3597;3807;
13;13;Santa Cecília;8505;4111;4394;2888;2888;0;5617;1223;4394;
13;13;Santana;18469;14854;3615;10365;10365;0;8104;4489;3615;
14;14;Azenha;14539;9945;4594;6907;6907;0;7632;3038;4594;
14;14;Bom Fim;12763;7895;4868;5801;5801;0;6962;2094;4868;
14;14;Centro;31785;29111;2674;19580;19580;0;12205;9531;2674;
14;14;Cidade Baixa;15367;10917;4450;7692;7692;0;7675;3225;4450;
14;14;Farroupilha;6044;670;5374;488;488;0;5556;182;5374;
14;14;Floresta;12031;8409;3622;5803;5803;0;6228;2606;3622;
14;14;Independência;10508;5599;4909;4061;4061;0;6447;1538;4909;
14;14;Menino Deus;26310;23181;3129;15832;15832;0;10478;7349;3129;
14;14;Moinhos de Vento;12129;8711;3418;5973;5973;0;6156;2738;3418;
14;14;Praia de Belas;5864;1703;4161;1148;1148;0;4716;555;4161;
14;14;Rio Branco;16175;12368;3807;8771;8771;0;7404;3597;3807;
14;14;Santa Cecília;8505;4111;4394;2888;2888;0;5617;1223;4394;
14;14;Santana;18469;14854;3615;10365;10365;0;8104;4489;3615;
15;15;Azenha;14539;9945;4594;6907;6907;0;7632;3038;4594;
15;15;Bom Fim;12763;7895;4868;5801;5801;0;6962;2094;4868;
15;15;Centro;31785;29111;2674;19580;19580;0;12205;9531;2674;
15;15;Cidade Baixa;15367;10917;4450;7692;7692;0;7675;3225;4450;
15;15;Farroupilha;6044;670;5374;488;488;0;5556;182;5374;
15;15;Floresta;12031;8409;3622;5803;5803;0;6228;2606;3622;
15;15;Independência;10508;5599;4909;4061;4061;0;6447;1538;4909;
15;15;Menino Deus;26310;23181;3129;15832;15832;0;10478;7349;3129;
15;15;Moinhos de Vento;12129;8711;3418;5973;5973;0;6156;2738;3418;
15;15;Praia de Belas;5864;1703;4161;1148;1148;0;4716;555;4161;
15;15;Rio Branco;16175;12368;3807;8771;8771;0;7404;3597;3807;
15;15;Santa Cecília;8505;4111;4394;2888;2888;0;5617;1223;4394;
15;15;Santana;18469;14854;3615;10365;10365;0;8104;4489;3615;
16;16;Azenha;14539;9945;4594;6907;6907;0;7632;3038;4594;
16;16;Bom Fim;12763;7895;4868;5801;5801;0;6962;2094;4868;
16;16;Centro;31785;29111;2674;19580;19580;0;12205;9531;2674;
16;16;Cidade Baixa;15367;10917;4450;7692;7692;0;7675;3225;4450;
16;16;Farroupilha;6044;670;5374;488;488;0;5556;182;5374;
16;16;Floresta;12031;8409;3622;5803;5803;0;6228;2606;3622;
16;16;Independência;10508;5599;4909;4061;4061;0;6447;1538;4909;
16;16;Menino Deus;26310;23181;3129;15832;15832;0;10478;7349;3129;
16;16;Moinhos de Vento;12129;8711;3418;5973;5973;0;6156;2738;3418;
16;16;Praia de Belas;5864;1703;4161;1148;1148;0;4716;555;4161;
16;16;Rio Branco;16175;12368;3807;8771;8771;0;7404;3597;3807;
16;16;Santa Cecília;8505;4111;4394;2888;2888;0;5617;1223;4394;
16;16;Santana;18469;14854;3615;10365;10365;0;8104;4489;3615;
17;17;Azenha;14539;9945;4594;6907;6907;0;7632;3038;4594;
17;17;Bom Fim;12763;7895;4868;5801;5801;0;6962;2094;4868;
17;17;Centro;31785;29111;2674;19580;19580;0;12205;9531;2674;
17;17;Cidade Baixa;15367;10917;4450;7692;7692;0;7675;3225;4450;
17;17;Farroupilha;6044;670;5374;488;488;0;5556;182;5374;
17;17;Floresta;12031;8409;3622;5803;5803;0;6228;2606;3622;
17;17;Independência;10508;5599;4909;4061;4061;0;6447;1538;4909;
17;17;Menino Deus;26310;23181;3129;15832;15832;0;10478;7349;3129;
17;17;Moinhos de Vento;12129;8711;3418;5973;5973;0;6156;2738;3418;
17;17;Praia de Belas;5864;1703;4161;1148;1148;0;4716;555;4161;
17;17;Rio Branco;16175;12368;3807;8771;8771;0;7404;3597;3807;
17;17;Santa Cecília;8505;4111;4394;2888;2888;0;5617;1223;4394;
17;17;Santana;18469;14854;3615;10365;10365;0;8104;4489;3615;
18;18;Azenha;13804;13804;0;13804;13804;0;0;0;0;
18;18;Bom Fim;11593;11593;0;11593;11593;0;0;0;0;
18;18;Centro;39154;39154;0;39154;39154;0;0;0;0;
18;18;Cidade Baixa;15379;15379;0;15379;15379;0;0;0;0;
18;18;Farroupilha;961;961;0;961;961;0;0;0;0;
18;18;Floresta;11596;11596;0;11596;11596;0;0;0;0;
18;18;Independência;8112;8112;0;8112;8112;0;0;0;0;
18;18;Menino Deus;31650;31650;0;31650;31650;0;0;0;0;
18;18;Moinhos de Vento;11937;11937;0;11937;11937;0;0;0;0;
18;18;Praia de Belas;2281;2281;0;2281;2281;0;0;0;0;
18;18;Rio Branco;17531;17531;0;17531;17531;0;0;0;0;
18;18;Santa Cecília;5768;5768;0;5768;5768;0;0;0;0;
18;18;Santana;20723;20723;0;20723;20723;0;0;0;0;
19;19;Azenha;13804;13804;0;13804;13804;0;0;0;0;
19;19;Bom Fim;11593;11593;0;11593;11593;0;0;0;0;
19;19;Centro;39154;39154;0;39154;39154;0;0;0;0;
19;19;Cidade Baixa;15379;15379;0;15379;15379;0;0;0;0;
19;19;Farroupilha;961;961;0;961;961;0;0;0;0;
19;19;Floresta;11596;11596;0;11596;11596;0;0;0;0;
19;19;Independência;8112;8112;0;8112;8112;0;0;0;0;
19;19;Menino Deus;31650;31650;0;31650;31650;0;0;0;0;
19;19;Moinhos de Vento;11937;11937;0;11937;11937;0;0;0;0;
19;19;Praia de Belas;2281;2281;0;2281;2281;0;0;0;0;
19;19;Rio Branco;17531;17531;0;17531;17531;0;0;0;0;
19;19;Santa Cecília;5768;5768;0;5768;5768;0;0;0;0;
19;19;Santana;20723;20723;0;20723;20723;0;0;0;0;
20;20;Azenha;13804;13804;0;13804;13804;0;0;0;0;
20;20;Bom Fim;11593;11593;0;11593;11593;0;0;0;0;
20;20;Centro;39154;39154;0;39154;39154;0;0;0;0;
20;20;Cidade Baixa;15379;15379;0;15379;15379;0;0;0;0;
20;20;Farroupilha;961;961;0;961;961;0;0;0;0;
20;20;Floresta;11596;11596;0;11596;11596;0;0;0;0;
20;20;Independência;8112;8112;0;8112;8112;0;0;0;0;
20;20;Menino Deus;31650;31650;0;31650;31650;0;0;0;0;
20;20;Moinhos de Vento;11937;11937;0;11937;11937;0;0;0;0;
20;20;Praia de Belas;2281;2281;0;2281;2281;0;0;0;0;
20;20;Rio Branco;17531;17531;0;17531;17531;0;0;0;0;
20;20;Santa Cecília;5768;5768;0;5768;5768;0;0;0;0;
20;20;Santana;20723;20723;0;20723;20723;0;0;0;0;
21;21;Azenha;13804;13804;0;13804;13804;0;0;0;0;
21;21;Bom Fim;11593;11593;0;11593;11593;0;0;0;0;
21;21;Centro;39154;39154;0;39154;39154;0;0;0;0;
21;21;Cidade Baixa;15379;15379;0;15379;15379;0;0;0;0;
21;21;Farroupilha;961;961;0;961;961;0;0;0;0;
21;21;Floresta;11596;11596;0;11596;11596;0;0;0;0;
21;21;Independência;8112;8112;0;8112;8112;0;0;0;0;
21;21;Menino Deus;31650;31650;0;31650;31650;0;0;0;0;
21;21;Moinhos de Vento;11937;11937;0;11937;11937;0;0;0;0;
21;21;Praia de Belas;2281;2281;0;2281;2281;0;0;0;0;
21;21;Rio Branco;17531;17531;0;17531;17531;0;0;0;0;
21;21;Santa Cecília;5768;5768;0;5768;5768;0;0;0;0;
21;21;Santana;20723;20723;0;20723;20723;0;0;0;0;
22;22;Azenha;13804;13804;0;13804;13804;0;0;0;0;
22;22;Bom Fim;11593;11593;0;11593;11593;0;0;0;0;
22;22;Centro;39154;39154;0;39154;39154;0;0;0;0;
22;22;Cidade Baixa;15379;15379;0;15379;15379;0;0;0;0;
22;22;Farroupilha;961;961;0;961;961;0;0;0;0;
22;22;Floresta;11596;11596;0;11596;11596;0;0;0;0;
22;22;Independência;8112;8112;0;8112;8112;0;0;0;0;
22;22;Menino Deus;31650;31650;0;31650;31650;0;0;0;0;
22;22;Moinhos de Vento;11937;11937;0;11937;11937;0;0;0;0;
22;22;Praia de Belas;2281;2281;0;2281;2281;0;0;0;0;
22;22;Rio Branco;17531;17531;0;17531;17531;0;0;0;0;
22;22;Santa Cecília;5768;5768;0;5768;5768;0;0;0;0;
22;22;Santana;20723;20723;0;20723;20723;0;0;0;0;
23;23;Azenha;13804;13804;0;13804;13804;0;0;0;0;
23;23;Bom Fim;11593;11593;0;11593;11593;0;0;0;0;
23;23;Centro;39154;39154;0;39154;39154;0;0;0;0;
23;23;Cidade Baixa;15379;15379;0;15379;15379;0;0;0;0;
23;23;Farroupilha;961;961;0;961;961;0;0;0;0;
23;23;Floresta;11596;11596;0;11596;11596;0;0;0;0;
23;23;Independência;8112;8112;0;8112;8112;0;0;0;0;
23;23;Menino Deus;31650;31650;0;31650;31650;0;0;0;0;
23;23;Moinhos de Vento;11937;11937;0;11937;11937;0;0;0;0;
23;23;Praia de Belas;2281;2281;0;2281;2281;0;0;0;0;
23;23;Rio Branco;17531;17531;0;17531;17531;0;0;0;0;
23;23;Santa Cecília;5768;5768;0;5768;5768;0;0;0;0;
23;23;Santana;20723;20723;0;20723;20723;0;0;0;0;
24;0;Azenha;13804;13804;0;13804;13804;0;0;0;0;
24;0;Bom Fim;11593;11593;0;11593;11593;0;0;0;0;
24;0;Centro;39154;39154;0;39154;39154;0;0;0;0;
24;0;Cidade Baixa;15379;15379;0;15379;15379;0;0;0;0;
24;0;Farroupilha;961;961;0;961;961;0;0;0;0;
24;0;Floresta;11596;11596;0;11596;11596;0;0;0;0;
24;0;Independência;8112;8112;0;8112;8112;0;0;0;0;
24;0;Menino Deus;31650;31650;0;31650;31650;0;0;0;0;
24;0;Moinhos de Vento;11937;11937;0;11937;11937;0;0;0;0;
24;0;Praia de Belas;2281;2281;0;2281;2281;0;0;0;0;
24;0;Rio Branco;17531;17531;0;17531;17531;0;0;0;0;
24;0;Santa Cecília;5768;5768;0;5768;5768;0;0;0;0;
24;0;Santana;20723;20723;0;20723;20723;0;0;0;0;
25;1;Azenha;13804;13804;0;13804;13804;0;0;0;0;
25;1;Bom Fim;11593;11593;0;11593;11593;0;0;0;0;
25;1;Centro;39154;39154;0;39154;39154;0;0;0;0;
25;1;Cidade Baixa;15379;15379;0;15379;15379;0;0;0;0;
25;1;Farroupilha;961;961;0;961;961;0;0;0;0;
25;1;Floresta;11596;11596;0;11596;11596;0;0;0;0;
25;1;Independência;8112;8112;0;8112;8112;0;0;0;0;
25;1;Menino Deus;31650;31650;0;31650;31650;0;0;0;0;
25;1;Moinhos de Vento;11937;11937;0;11937;11937;0;0;0;0;
25;1;Praia de Belas;2281;2281;0;2281;2281;0;0;0;0;
25;1;Rio Branco;17531;17531;0;17531;17531;0;0;0;0;
25;1;Santa Cecília;5768;5768;0;5768;5768;0;0;0;0;
25;1;Santana;20723;20723;0;20723;20723;0;0;0;0;
26;2;Azenha;13804;13804;0;13804;13804;0;0;0;0;
26;2;Bom Fim;11593;11593;0;11593;11593;0;0;0;0;
26;2;Centro;39154;39154;0;39154;39154;0;0;0;0;
26;2;Cidade Baixa;15379;15379;0;15379;15379;0;0;0;0;
26;2;Farroupilha;961;961;0;961;961;0;0;0;0;
26;2;Floresta;11596;11596;0;11596;11596;0;0;0;0;
26;2;Independência;8112;8112;0;8112;8112;0;0;0;0;
26;2;Menino Deus;31650;31650;0;31650;31650;0;0;0;0;
26;2;Moinhos de Vento;11937;11937;0;11937;11937;0;0;0;0;
26;2;Praia de Belas;2281;2281;0;2281;2281;0;0;0;0;
26;2;Rio Branco;17531;17531;0;17531;17531;0;0;0;0;
26;2;Santa Cecília;5768;5768;0;5768;5768;0;0;0;0;
26;2;Santana;20723;20723;0;20723;20723;0;0;0;0;
27;3;Azenha;13804;13804;0;13804;13804;0;0;0;0;
27;3;Bom Fim;11593;11593;0;11593;11593;0;0;0;0;
27;3;Centro;39154;39154;0;39154;39154;0;0;0;0;
27;3;Cidade Baixa;15379;15379;0;15379;15379;0;0;0;0;
27;3;Farroupilha;961;961;0;961;961;0;0;0;0;
27;3;Floresta;11596;11596;0;11596;11596;0;0;0;0;
27;3;Independência;8112;8112;0;8112;8112;0;0;0;0;
27;3;Menino Deus;31650;31650;0;31650;31650;0;0;0;0;
27;3;Moinhos de Vento;11937;11937;0;11937;11937;0;0;0;0;
27;3;Praia de Belas;2281;2281;0;2281;2281;0;0;0;0;
27;3;Rio Branco;17531;17531;0;17531;17531;0;0;0;0;
27;3;Santa Cecília;5768;5768;0;5768;5768;0;0;0;0;
27;3;Santana;20723;20723;0;20723;20723;0;0;0;0;
28;4;Azenha;13804;13804;0;13804;13804;0;0;0;0;
28;4;Bom Fim;11593;11593;0;11593;11593;0;0;0;0;
28;4;Centro;39154;39154;0;39154;39154;0;0;0;0;
28;4;Cidade Baixa;15379;15379;0;15379;15379;0;0;0;0;
28;4;Farroupilha;961;961;0;961;961;0;0;0;0;
28;4;Floresta;11596;11596;0;11596;11596;0;0;0;0;
28;4;Independência;8112;8112;0;8112;8112;0;0;0;0;
28;4;Menino Deus;31650;31650;0;31650;31650;0;0;0;0;
28;4;Moinhos de Vento;11937;11937;0;11937;11937;0;0;0;0;
28;4;Praia de Belas;2281;2281;0;2281;2281;0;0;0;0;
28;4;Rio Branco;17531;17531;0;17531;17531;0;0;0;0;
28;4;Santa Cecília;5768;5768;0;5768;5768;0;0;0;0;
28;4;Santana;20723;20723;0;20723;20723;0;0;0;0;
29;5;Azenha;13804;13804;0;13804;13804;0;0;0;0;
29;5;Bom Fim;11593;11593;0;11593;11593;0;0;0;0;
29;5;Centro;39154;39154;0;39154;39154;0;0;0;0;
29;5;Cidade Baixa;15379;15379;0;15379;15379;0;0;0;0;
29;5;Farroupilha;961;961;0;961;961;0;0;0;0;
29;5;Floresta;11596;11596;0;11596;11596;0;0;0;0;
29;5;Independência;8112;8112;0;8112;8112;0;0;0;0;
29;5;Menino Deus;31650;31650;0;31650;31650;0;0;0;0;
29;5;Moinhos de Vento;11937;11937;0;11937;11937;0;0;0;0;
29;5;Praia de Belas;2281;2281;0;2281;2281;0;0;0;0;
29;5;Rio Branco;17531;17531;0;17531;17531;0;0;0;0;
29;5;Santa Cecília;5768;5768;0;5768;5768;0;0;0;0;
29;5;Santana;20723;20723;0;20723;20723;0;0;0;0;
30;6;Azenha;13804;13804;0;13804;13804;0;0;0;0;
30;6;Bom Fim;11593;11593;0;11593;11593;0;0;0;0;
30;6;Centro;39154;39154;0;39154;39154;0;0;0;0;
30;6;Cidade Baixa;15379;15379;0;15379;15379;0;0;0;0;
30;6;Farroupilha;961;961;0;961;961;0;0;0;0;
30;6;Floresta;11596;11596;0;11596;11596;0;0;0;0;
30;6;Independência;8112;8112;0;8112;8112;0;0;0;0;
30;6;Menino Deus;31650;31650;0;31650;31650;0;0;0;0;
30;6;Moinhos de Vento;11937;11937;0;11937;11937;0;0;0;0;
30;6;Praia de Belas;2281;2281;0;2281;2281;0;0;0;0;
