Simulation Frame;Azenha//home;Azenha//work;Azenha//school;Azenha//marketplace;Azenha//pharmacy;Azenha//gas_station;Azenha//hospital;Azenha//shopping_mall;Bom Fim//home;Bom Fim//work;Bom Fim//school;Bom Fim//marketplace;Bom Fim//pharmacy;Bom Fim//gas_station;Centro//home;Centro//work;Centro//school;Centro//marketplace;Centro//pharmacy;Centro//gas_station;Centro//hospital;Centro//shopping_mall;Cidade Baixa//home;Cidade Baixa//work;Cidade Baixa//school;Cidade Baixa//marketplace;Cidade Baixa//pharmacy;Cidade Baixa//gas_station;Farroupilha//home;Farroupilha//work;Farroupilha//school;Farroupilha//marketplace;Farroupilha//pharmacy;Farroupilha//gas_station;Farroupilha//hospital;Floresta//home;Floresta//work;Floresta//school;Floresta//marketplace;Floresta//pharmacy;Floresta//gas_station;Independência//home;Independência//work;Independência//school;Independência//marketplace;Independência//pharmacy;Independência//gas_station;Independência//hospital;Independência//shopping_mall;Menino Deus//home;Menino Deus//work;Menino Deus//school;Menino Deus//marketplace;Menino Deus//pharmacy;Menino Deus//gas_station;Menino Deus//hospital;Moinhos de Vento//home;Moinhos de Vento//work;Moinhos de Vento//school;Moinhos de Vento//marketplace;Moinhos de Vento//pharmacy;Moinhos de Vento//gas_station;Moinhos de Vento//hospital;Moinhos de Vento//shopping_mall;Praia de Belas//home;Praia de Belas//work;Praia de Belas//school;Praia de Belas//marketplace;Praia de Belas//pharmacy;Praia de Belas//gas_station;Praia de Belas//stadium;Praia de Belas//shopping_mall;Rio Branco//home;Rio Branco//work;Rio Branco//school;Rio Branco//marketplace;Rio Branco//pharmacy;Rio Branco//gas_station;Rio Branco//hospital;Santa Cecília//home;Santa Cecília//work;Santa Cecília//school;Santa Cecília//marketplace;Santa Cecília//pharmacy;Santa Cecília//gas_station;Santa Cecília//hospital;Santana//home;Santana//work;Santana//school;Santana//marketplace;Santana//pharmacy;Santana//gas_station;Santana//hospital
41;1;13;0;0;0;0;0;0;1;13;0;11;0;3;1;13;0;13;13;13;13;9;1;13;0;13;13;13;1;0;0;0;0;0;0;1;13;0;13;11;11;1;13;0;2;0;0;8;13;1;13;0;13;13;13;13;1;13;0;13;0;7;11;12;1;0;0;0;0;0;0;13;1;13;0;13;13;13;13;1;13;0;13;13;11;12;1;13;13;13;13;13;13
42;1;13;0;0;0;0;0;0;1;13;0;0;0;0;1;13;13;12;11;8;13;0;1;13;13;10;0;0;1;0;0;0;0;0;0;1;13;13;0;0;0;1;13;10;0;0;0;0;0;1;13;13;13;13;13;13;1;13;13;0;0;0;1;0;1;8;13;0;0;0;0;6;1;13;13;13;13;13;13;1;13;13;1;0;0;1;1;13;13;13;13;13;13
43;1;13;0;13;0;0;9;3;1;13;0;12;3;3;1;13;13;13;13;13;13;0;1;13;8;13;11;10;1;0;0;0;0;0;0;1;13;0;13;11;12;1;13;0;10;0;0;8;13;1;13;13;13;13;13;13;1;13;6;11;10;10;11;11;1;0;7;0;0;0;0;9;1;13;13;13;11;11;13;1;13;13;10;7;8;7;1;13;13;13;10;10;13
44;1;0;0;0;0;0;0;0;1;0;0;10;0;0;1;0;0;11;4;0;13;0;1;0;0;13;0;0;1;0;0;13;0;0;13;1;0;0;13;0;0;1;0;0;12;0;0;11;0;1;0;13;13;9;13;13;1;0;0;12;0;0;12;0;1;0;11;13;12;0;0;0;1;0;9;13;0;11;13;1;0;4;13;10;0;13;1;0;13;13;13;13;13
45;1;0;0;3;0;0;0;0;1;0;0;6;0;0;1;0;0;13;12;13;13;0;1;0;0;12;6;8;1;0;0;13;0;0;13;1;0;0;10;7;8;1;0;0;0;0;0;0;0;1;0;0;13;13;13;13;1;0;0;12;0;0;8;0;1;0;0;13;0;0;0;2;1;0;0;13;11;10;12;1;0;0;13;4;7;13;1;0;5;13;13;13;13
46;1;0;13;0;0;0;5;0;1;0;13;0;2;1;1;0;13;0;10;11;13;0;1;0;13;0;7;4;1;0;13;7;0;0;3;1;0;13;0;5;2;1;0;13;0;4;1;4;0;1;0;13;0;8;7;11;1;0;13;0;5;4;4;0;1;0;13;7;1;2;0;0;1;0;13;0;5;5;10;1;0;13;0;1;3;4;1;0;13;0;5;3;8
47;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
48;1;0;0;0;0;0;13;0;1;0;0;0;13;0;1;0;0;0;11;0;13;0;1;0;0;0;13;0;1;0;0;0;11;0;13;1;0;0;0;13;0;1;0;0;0;13;0;13;0;1;0;0;0;13;0;13;1;0;0;0;13;0;13;0;1;0;0;0;13;4;0;0;1;0;0;0;13;0;13;1;0;0;0;13;0;13;1;0;0;0;13;0;13
49;1;0;0;0;0;6;13;0;1;0;0;0;13;8;1;0;0;0;0;13;13;0;1;0;0;0;13;7;1;0;0;0;2;0;13;1;0;0;0;13;5;1;0;0;0;10;5;13;0;1;0;0;0;0;11;13;1;0;0;0;5;7;13;0;1;0;0;0;13;4;0;0;1;0;0;0;9;8;13;1;0;0;0;13;4;13;1;0;0;0;11;8;13
50;1;0;0;0;0;1;13;0;1;0;0;0;9;9;1;0;0;0;0;9;13;0;1;0;0;0;13;8;1;0;0;0;0;0;13;1;0;0;0;13;7;1;0;0;0;0;7;13;0;1;0;0;0;0;6;13;1;0;0;0;0;4;13;0;1;0;0;0;13;3;0;0;1;0;0;0;0;7;13;1;0;0;0;2;4;13;1;0;0;0;0;5;13
51;1;0;0;0;0;3;13;0;1;0;0;0;0;9;1;0;0;0;0;13;13;0;1;0;0;0;6;12;1;0;0;0;0;0;13;1;0;0;0;13;9;1;0;0;0;0;2;13;0;1;0;0;0;0;9;13;1;0;0;0;0;5;13;0;1;0;0;0;13;3;0;0;1;0;0;0;0;3;13;1;0;0;0;0;1;13;1;0;0;0;0;4;13
52;1;13;0;0;1;0;5;0;1;13;0;0;0;1;1;13;0;0;2;6;13;0;1;13;0;0;2;2;1;0;0;0;0;0;1;1;13;0;2;2;2;1;13;0;0;1;0;4;0;1;13;0;13;1;5;13;1;13;0;13;2;0;12;0;1;13;0;13;11;1;0;0;1;13;0;13;3;4;13;1;13;0;13;0;0;13;1;13;0;13;13;3;13
53;1;13;0;0;0;4;8;0;1;13;0;0;0;6;1;13;0;0;0;10;13;0;1;13;0;0;4;5;1;0;0;0;0;0;2;1;13;0;0;2;5;1;13;0;0;0;5;5;0;1;13;0;2;8;12;13;1;13;0;13;0;7;12;0;1;13;0;13;11;3;0;0;1;13;0;13;3;5;13;1;13;0;13;0;2;13;1;13;0;13;13;6;13
54;1;13;0;0;2;1;3;0;1;13;0;0;2;2;1;13;0;0;7;6;9;0;1;13;0;0;4;3;1;6;0;0;1;1;1;1;13;0;0;3;3;1;13;0;0;2;3;3;0;1;13;12;0;3;4;5;1;13;12;0;2;2;2;0;1;13;12;0;1;1;0;0;1;13;12;0;4;3;5;1;13;12;0;1;1;2;1;13;12;0;4;3;3
55;1;13;13;6;0;0;4;13;1;13;13;9;0;0;1;13;13;13;10;10;13;13;1;13;13;8;5;4;1;0;12;0;0;0;0;1;13;12;5;4;2;1;13;12;5;2;2;2;13;1;13;12;13;11;9;7;1;13;12;7;3;3;4;13;1;11;12;3;2;2;0;13;1;13;12;8;7;6;6;1;13;12;4;1;3;3;1;13;12;8;7;5;6
56;1;13;13;10;4;0;5;0;1;13;13;9;0;4;1;13;13;13;13;13;13;0;1;13;13;12;5;5;1;0;12;0;0;0;0;1;13;12;9;3;4;1;13;12;7;2;2;5;0;1;13;12;13;10;10;12;1;13;12;11;5;3;10;0;1;9;12;12;7;2;0;0;1;13;12;12;7;7;13;1;13;12;13;2;3;11;1;13;12;13;10;6;13
57;1;13;13;11;5;6;6;0;1;13;13;12;5;5;1;13;13;13;13;13;13;0;1;13;13;13;11;10;1;0;12;0;0;0;0;1;13;12;9;7;5;1;13;12;9;5;5;6;0;1;13;12;13;12;13;13;1;13;12;7;6;3;6;0;1;0;12;12;6;5;0;0;1;13;12;10;10;10;9;1;13;12;13;3;4;11;1;13;12;13;11;10;13
58;1;13;13;11;0;1;3;13;1;13;13;11;2;0;1;13;13;13;13;13;13;13;1;13;13;13;9;6;1;0;0;0;0;0;0;1;13;12;7;5;4;1;13;12;7;0;0;3;13;1;13;12;13;11;11;13;1;13;12;6;2;0;6;13;1;13;13;0;0;0;0;13;1;13;13;12;9;9;12;1;13;13;6;4;2;6;1;13;13;13;9;9;13
59;1;13;13;13;0;0;6;13;1;13;13;12;0;6;1;13;13;13;12;13;13;13;1;13;13;13;9;12;1;0;0;0;0;0;0;1;13;12;10;5;7;1;13;12;0;0;0;3;13;1;13;12;13;13;13;13;1;13;12;10;0;2;6;13;1;13;13;0;2;0;0;13;1;13;13;12;11;11;11;1;13;13;11;4;5;4;1;13;13;13;11;8;10
60;1;13;13;0;0;0;0;12;1;13;13;4;0;0;1;13;13;13;13;11;13;13;1;13;13;13;0;0;1;0;12;0;0;0;0;1;13;12;10;0;0;1;13;12;0;0;0;0;12;1;13;12;13;9;13;13;1;13;12;2;0;0;6;12;1;4;12;12;0;0;0;13;1;13;12;13;8;9;8;1;13;12;10;0;1;7;1;13;13;13;11;10;13
61;1;13;13;0;0;0;3;13;1;13;13;9;3;0;1;13;13;13;13;13;13;13;1;13;13;13;13;11;1;0;4;0;0;0;0;1;13;12;13;9;8;1;13;12;0;0;0;0;13;1;13;12;13;13;12;13;1;13;12;10;0;0;12;13;1;0;12;12;0;0;0;13;1;13;12;13;12;10;13;1;13;12;7;4;5;6;1;13;13;13;12;10;13
62;1;13;13;5;0;0;0;13;1;13;13;9;0;0;1;13;13;13;13;13;13;11;1;13;13;13;5;4;1;0;0;0;0;0;0;1;13;12;13;0;2;1;13;12;0;0;0;0;13;1;13;13;13;13;13;13;1;13;13;11;0;0;2;13;1;11;12;0;0;0;0;13;1;13;12;13;12;11;12;1;13;12;6;4;0;6;1;13;12;13;11;13;13
63;1;13;13;12;0;0;9;0;1;13;13;13;0;4;1;13;13;13;13;13;13;13;1;13;13;13;13;12;1;0;0;0;0;0;0;1;13;12;13;8;9;1;13;12;0;0;0;0;13;1;13;13;13;13;13;13;1;13;13;13;0;9;11;13;1;0;0;0;0;0;0;13;1;13;12;13;12;11;13;1;13;12;11;4;7;5;1;13;12;13;13;13;13
64;1;13;13;0;0;0;0;3;1;13;13;12;0;0;1;13;13;13;13;13;13;12;1;13;13;13;13;13;1;0;0;0;0;0;0;1;13;12;13;4;6;1;13;12;0;0;0;2;0;1;13;12;13;13;13;13;1;13;12;4;0;0;10;0;1;0;0;13;0;0;0;13;1;13;12;13;13;13;13;1;13;12;13;6;3;12;1;13;13;13;13;13;13
65;1;13;0;0;0;0;0;0;1;13;0;11;0;3;1;13;0;13;13;13;13;8;1;13;0;13;13;13;1;0;0;0;0;0;0;1;13;0;13;12;11;1;13;0;1;0;0;6;13;1;13;0;13;13;13;13;1;13;0;13;0;11;12;13;1;0;0;0;0;0;0;13;1;13;0;13;13;13;13;1;13;0;13;11;11;12;1;13;13;13;13;13;13
66;1;13;0;0;0;0;0;0;1;13;0;0;0;0;1;13;13;13;10;7;13;0;1;13;13;10;0;0;1;0;0;0;0;0;0;1;13;13;0;0;0;1;13;9;0;0;0;0;0;1;13;13;13;13;13;13;1;13;13;0;0;0;2;0;1;10;13;0;0;0;0;5;1;13;13;13;12;13;13;1;13;13;0;0;0;2;1;13;13;13;13;13;13
67;1;13;0;13;0;0;8;3;1;13;0;12;4;2;1;13;13;13;13;13;13;0;1;13;8;13;13;13;1;0;0;0;0;0;0;1;13;0;13;11;12;1;13;0;10;0;2;9;12;1;13;13;13;13;12;13;1;13;4;11;10;10;13;9;1;0;0;0;0;0;0;8;1;13;13;13;11;11;12;1;13;13;10;7;7;7;1;13;13;13;11;11;13
68;1;0;0;1;0;0;0;0;1;0;0;10;0;0;1;0;0;12;6;0;13;0;1;0;0;13;0;0;1;0;0;13;0;0;13;1;0;0;13;0;0;1;0;0;12;0;0;12;0;1;0;13;13;11;13;13;1;0;0;12;0;0;12;0;1;0;11;13;13;0;0;0;1;0;9;13;0;10;12;1;0;5;13;9;0;13;1;0;13;13;13;13;13
69;1;0;0;4;0;0;0;0;1;0;0;5;0;0;1;0;0;13;13;13;13;0;1;0;0;13;5;9;1;0;0;13;0;0;13;1;0;0;9;7;7;1;0;0;0;0;0;0;0;1;0;0;13;13;13;12;1;0;0;11;0;0;7;0;1;0;0;13;0;0;0;2;1;0;0;13;12;11;12;1;0;0;13;3;6;13;1;0;11;13;12;12;13
70;1;0;13;0;0;0;6;0;1;0;13;0;2;1;1;0;13;0;10;12;13;0;1;0;13;0;9;6;1;0;13;8;0;0;4;1;0;13;0;7;3;1;0;13;0;4;3;3;0;1;0;13;0;7;7;10;1;0;13;0;5;5;4;0;1;0;13;12;1;1;0;0;1;0;13;0;5;3;8;1;0;13;0;0;2;4;1;0;13;0;6;4;9
71;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
72;1;0;0;0;0;0;13;0;1;0;0;0;13;0;1;0;0;0;11;0;13;0;1;0;0;0;13;0;1;0;0;0;12;0;13;1;0;0;0;13;0;1;0;0;0;13;0;13;0;1;0;0;0;13;0;13;1;0;0;0;13;0;13;0;1;0;0;0;13;3;0;0;1;0;0;0;13;0;13;1;0;0;0;13;0;13;1;0;0;0;13;0;13
73;1;0;0;0;0;6;13;0;1;0;0;0;13;9;1;0;0;0;0;13;13;0;1;0;0;0;13;7;1;0;0;0;3;0;13;1;0;0;0;13;4;1;0;0;0;10;5;13;0;1;0;0;0;0;11;13;1;0;0;0;5;8;13;0;1;0;0;0;13;3;0;0;1;0;0;0;9;8;13;1;0;0;0;13;4;13;1;0;0;0;11;9;13
74;1;0;0;0;0;2;13;0;1;0;0;0;9;10;1;0;0;0;0;10;13;0;1;0;0;0;13;8;1;0;0;0;0;0;13;1;0;0;0;13;7;1;0;0;0;0;6;13;0;1;0;0;0;0;7;13;1;0;0;0;0;4;13;0;1;0;0;0;13;2;0;0;1;0;0;0;0;7;13;1;0;0;0;2;4;13;1;0;0;0;0;5;13
75;1;0;0;0;0;3;13;0;1;0;0;0;0;9;1;0;0;0;0;13;13;0;1;0;0;0;5;11;1;0;0;0;0;0;13;1;0;0;0;13;8;1;0;0;0;0;3;13;0;1;0;0;0;0;10;13;1;0;0;0;0;4;13;0;1;0;0;0;13;3;0;0;1;0;0;0;0;3;13;1;0;0;0;0;1;13;1;0;0;0;0;4;13
76;1;13;0;0;0;0;5;0;1;13;0;0;0;0;1;13;0;0;3;7;13;0;1;13;0;0;3;3;1;0;0;0;0;0;1;1;13;0;1;2;2;1;13;0;0;1;0;6;0;1;13;0;13;1;4;13;1;13;0;13;2;0;12;0;1;12;0;13;11;2;0;0;1;13;0;12;4;3;13;1;13;0;13;0;0;13;1;13;0;13;12;2;13
77;1;13;0;0;0;6;7;0;1;13;0;0;0;8;1;13;0;0;0;11;13;0;1;13;0;0;3;5;1;0;0;0;0;0;2;1;13;0;0;1;4;1;13;0;0;0;5;6;0;1;13;0;0;7;12;13;1;13;0;13;0;6;12;0;1;12;0;13;11;4;0;0;1;13;0;12;4;6;13;1;13;0;13;0;2;13;1;13;0;13;12;6;13
78;1;13;0;0;2;2;3;0;1;13;0;0;3;2;1;13;0;0;8;7;9;0;1;13;0;0;4;3;1;7;0;0;1;1;1;1;13;0;0;4;2;1;13;0;0;3;3;3;0;1;13;12;0;5;5;5;1;13;12;0;2;4;2;0;1;12;12;0;1;1;0;0;1;13;12;0;5;3;4;1;13;12;0;2;2;2;1;13;12;0;4;3;2
79;1;13;13;6;0;0;3;13;1;13;13;8;1;1;1;13;13;13;13;10;13;13;1;13;13;8;6;5;1;0;12;0;0;0;0;1;13;12;8;3;1;1;13;12;5;1;1;3;13;1;13;12;12;9;9;10;1;13;13;7;4;2;3;12;1;11;12;3;2;2;0;12;1;13;12;9;7;5;7;1;13;12;5;2;2;4;1;13;12;9;6;5;6
80;1;13;13;9;4;0;6;0;1;13;13;9;2;7;1;13;13;13;13;12;13;0;1;13;13;12;5;4;1;0;12;0;0;0;0;1;13;12;9;3;4;1;13;12;7;3;1;3;0;1;13;12;13;11;10;12;1;13;13;11;4;3;8;0;1;11;12;12;7;4;0;0;1;13;12;12;7;8;11;1;13;12;12;1;2;11;1;13;12;13;11;9;13
81;1;13;13;11;4;5;7;0;1;13;13;11;6;8;1;13;13;13;13;13;13;0;1;13;13;13;11;8;1;0;12;0;0;0;0;1;13;12;9;7;5;1;13;12;8;4;5;5;0;1;13;12;13;12;13;13;1;13;13;7;6;4;6;0;1;0;12;12;5;6;0;0;1;13;12;10;10;10;9;1;13;12;12;3;4;11;1;13;12;13;10;10;13
82;1;13;13;9;0;0;4;13;1;13;13;11;1;0;1;13;13;13;13;13;13;13;1;13;13;13;10;6;1;0;0;0;0;0;0;1;13;12;7;4;4;1;13;12;7;0;0;4;13;1;13;12;13;13;12;13;1;13;13;6;5;0;7;13;1;13;12;0;0;0;0;13;1;13;12;12;10;10;13;1;13;12;7;3;3;6;1;13;12;13;9;10;13
83;1;13;13;12;0;0;6;13;1;13;13;12;0;7;1;13;13;13;11;13;13;13;1;13;13;13;9;11;1;0;0;0;0;0;0;1;13;12;11;5;6;1;13;12;1;0;0;4;13;1;13;12;13;13;13;13;1;13;13;10;1;2;8;13;1;13;12;0;1;0;0;13;1;13;12;11;10;11;11;1;13;12;9;3;4;3;1;13;12;13;10;10;12
84;1;13;13;0;0;0;0;10;1;13;13;2;0;0;1;13;13;13;13;10;12;13;1;13;13;13;0;4;1;0;12;0;0;0;0;1;13;12;10;0;0;1;13;12;0;0;0;0;13;1;13;12;13;10;11;13;1;13;13;7;0;0;6;12;1;4;12;13;0;0;0;13;1;13;12;13;8;9;9;1;13;12;10;0;0;8;1;13;12;13;9;9;13
85;1;13;13;0;0;0;3;13;1;13;13;9;3;0;1;13;13;13;13;13;13;13;1;13;13;13;12;12;1;0;6;0;0;0;0;1;13;12;13;8;6;1;13;12;0;0;0;2;13;1;13;12;13;13;13;13;1;13;13;10;2;0;12;13;1;0;10;13;0;0;0;13;1;13;12;13;12;11;13;1;13;12;7;4;5;7;1;13;12;13;13;11;13
86;1;13;13;7;0;0;0;13;1;13;13;9;0;0;1;13;13;13;13;13;13;13;1;13;13;13;8;5;1;0;0;0;0;0;0;1;13;12;12;1;1;1;13;12;0;0;0;0;13;1;13;13;13;13;13;13;1;13;13;13;0;0;7;13;1;12;12;0;0;0;0;13;1;13;12;13;12;11;12;1;13;12;5;4;2;4;1;13;12;13;11;13;13
87;1;13;13;13;0;0;10;0;1;13;13;13;0;6;1;13;13;13;13;13;13;13;1;13;13;13;13;13;1;0;0;0;0;0;0;1;13;12;13;6;11;1;13;12;0;0;0;0;13;1;13;13;13;13;13;13;1;13;13;13;0;7;12;11;1;0;0;0;0;0;0;13;1;13;12;13;12;12;13;1;13;12;12;4;9;5;1;13;12;13;13;13;13
88;1;13;13;0;0;0;2;3;1;13;13;12;0;0;1;13;13;13;13;13;13;12;1;13;13;13;13;8;1;0;0;0;0;0;0;1;13;12;13;5;7;1;13;12;0;0;0;7;0;1;13;12;13;13;13;13;1;13;13;7;0;0;12;0;1;0;0;13;0;0;0;13;1;13;12;13;13;13;13;1;13;12;13;6;4;12;1;13;12;13;13;13;13
89;1;13;0;0;0;0;0;0;1;13;0;12;0;3;1;13;0;13;13;13;13;9;1;13;0;13;13;13;1;0;0;0;0;0;0;1;13;0;13;12;13;1;13;0;2;0;0;7;13;1;13;0;13;13;13;13;1;13;0;13;0;11;11;13;1;0;0;0;0;0;0;13;1;13;0;13;13;13;13;1;13;0;13;11;10;12;1;13;12;13;13;13;13
90;1;13;0;0;0;0;0;0;1;13;0;0;0;0;1;13;13;13;11;7;13;0;1;13;13;4;0;0;1;0;0;0;0;0;0;1;13;13;0;0;0;1;13;10;0;0;0;0;0;1;13;13;13;13;13;13;1;13;13;0;0;0;0;0;1;8;13;0;0;0;0;5;1;13;13;13;11;13;13;1;13;13;0;0;0;2;1;13;13;13;13;13;13
91;1;13;0;13;0;0;9;3;1;13;0;12;3;3;1;13;13;13;13;13;13;0;1;13;12;13;13;10;1;0;0;0;0;0;0;1;13;0;13;12;11;1;13;0;9;0;0;7;13;1;13;13;13;13;13;13;1;13;0;11;10;8;12;10;1;0;0;0;0;0;0;9;1;13;13;13;11;12;13;1;13;13;9;7;7;9;1;13;13;13;11;10;13
92;1;0;0;0;0;0;0;0;1;0;0;9;0;0;1;0;0;13;4;0;13;0;1;0;0;13;0;0;1;0;0;13;0;0;13;1;0;0;13;0;0;1;0;0;12;0;0;11;0;1;0;13;13;11;13;13;1;0;0;13;0;0;13;0;1;0;12;13;13;0;0;0;1;0;1;13;4;9;13;1;0;3;13;7;0;13;1;0;13;13;13;13;13
93;1;0;0;4;0;0;0;0;1;0;0;6;0;0;1;0;0;13;10;13;13;0;1;0;0;13;7;8;1;0;0;13;0;0;13;1;0;0;12;5;7;1;0;0;6;0;0;0;0;1;0;0;13;13;13;13;1;0;0;12;0;0;7;0;1;0;0;13;1;0;0;2;1;0;0;13;11;9;12;1;0;0;13;3;5;13;1;0;5;13;12;13;13
94;1;0;13;0;0;0;7;0;1;0;13;0;0;0;1;0;13;0;11;13;13;0;1;0;13;0;6;5;1;0;13;13;0;0;3;1;0;13;0;6;2;1;0;13;0;4;4;4;0;1;0;13;0;7;9;10;1;0;13;0;3;5;4;0;1;0;13;9;1;2;0;0;1;0;13;0;4;3;8;1;0;13;0;1;2;4;1;0;13;0;5;3;10
95;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
96;1;0;0;0;0;0;13;0;1;0;0;0;13;0;1;0;0;0;11;0;13;0;1;0;0;0;13;0;1;0;0;0;12;0;13;1;0;0;0;13;0;1;0;0;0;13;0;13;0;1;0;0;0;13;0;13;1;0;0;0;13;0;13;0;1;0;0;0;13;4;0;0;1;0;0;0;13;0;13;1;0;0;0;13;0;13;1;0;0;0;13;0;13
97;1;0;0;0;0;5;13;0;1;0;0;0;13;8;1;0;0;0;0;13;13;0;1;0;0;0;13;6;1;0;0;0;3;0;13;1;0;0;0;13;4;1;0;0;0;10;5;13;0;1;0;0;0;0;10;13;1;0;0;0;6;7;13;0;1;0;0;0;13;4;0;0;1;0;0;0;9;8;13;1;0;0;0;13;4;13;1;0;0;0;11;8;13
98;1;0;0;0;0;2;13;0;1;0;0;0;9;9;1;0;0;0;0;10;13;0;1;0;0;0;13;7;1;0;0;0;0;0;13;1;0;0;0;13;6;1;0;0;0;0;6;13;0;1;0;0;0;0;7;13;1;0;0;0;0;4;13;0;1;0;0;0;13;3;0;0;1;0;0;0;0;7;13;1;0;0;0;2;4;13;1;0;0;0;0;5;13
99;1;0;0;0;0;3;13;0;1;0;0;0;0;9;1;0;0;0;0;13;13;0;1;0;0;0;7;13;1;0;0;0;0;0;13;1;0;0;0;13;8;1;0;0;0;0;2;13;0;1;0;0;0;0;9;13;1;0;0;0;0;4;13;0;1;0;0;0;13;3;0;0;1;0;0;0;0;3;13;1;0;0;0;0;1;13;1;0;0;0;0;4;13
100;1;13;0;0;0;0;7;0;1;13;0;0;0;0;1;13;0;0;2;6;13;0;1;13;0;0;3;3;1;0;0;0;0;0;1;1;13;0;0;2;3;1;13;0;0;1;0;4;0;1;13;0;12;1;4;13;1;13;0;12;2;0;12;0;1;13;0;12;9;1;0;0;1;13;0;12;2;4;13;1;13;0;13;0;0;12;1;13;0;13;13;2;13
101;1;13;0;0;0;4;9;0;1;13;0;0;0;7;1;13;0;0;1;11;13;0;1;13;0;0;3;5;1;0;0;0;0;0;2;1;13;0;0;2;4;1;13;0;0;0;6;5;0;1;13;0;0;8;12;13;1;13;0;12;0;7;12;0;1;13;0;12;9;4;0;0;1;13;0;12;3;7;13;1;13;0;13;0;2;12;1;13;0;13;13;7;13
102;1;13;0;0;2;2;3;0;1;13;0;0;2;2;1;13;0;0;7;6;8;0;1;13;0;0;4;4;1;5;0;0;1;1;1;1;13;0;0;3;2;1;13;0;0;3;4;3;0;1;13;12;0;6;4;6;1;13;13;0;2;2;2;0;1;13;12;0;1;1;0;0;1;13;12;0;4;4;5;1;13;12;0;1;2;2;1;13;12;0;3;4;3
103;1;13;13;7;0;0;2;13;1;13;13;7;0;2;1;13;13;13;12;11;13;13;1;13;13;8;5;3;1;0;12;0;0;0;0;1;13;12;6;5;2;1;13;12;5;3;1;3;13;1;13;12;13;10;8;11;1;13;12;6;4;3;3;13;1;11;12;2;1;2;0;13;1;13;12;8;9;5;7;1;13;12;6;1;3;3;1;13;12;7;5;5;8
104;1;13;13;10;3;0;5;0;1;13;13;10;2;6;1;13;13;13;13;13;13;0;1;13;13;12;5;5;1;0;12;0;0;0;0;1;13;12;9;4;3;1;13;12;6;3;0;4;0;1;13;12;13;11;9;13;1;13;12;12;4;3;9;0;1;13;12;12;10;4;0;0;1;13;12;12;8;8;13;1;13;12;13;3;1;11;1;13;12;13;10;8;13
105;1;13;13;10;4;5;6;0;1;13;13;11;7;7;1;13;13;13;13;13;13;0;1;13;13;13;10;7;1;0;12;0;0;0;0;1;13;12;10;7;6;1;13;12;9;5;4;8;0;1;13;12;13;13;13;13;1;13;12;7;6;4;6;0;1;1;12;13;5;5;0;0;1;13;12;10;10;10;9;1;13;12;13;3;4;11;1;13;12;13;12;9;13
106;1;13;13;10;0;0;3;13;1;13;13;11;2;0;1;13;13;13;13;13;13;13;1;13;13;13;11;7;1;0;0;0;0;0;0;1;13;12;7;5;4;1;13;12;7;0;0;3;13;1;13;12;13;12;11;12;1;13;12;7;4;0;7;13;1;13;12;0;0;0;0;13;1;13;12;12;9;10;13;1;13;12;5;4;3;4;1;13;12;13;9;10;13
107;1;13;13;12;0;0;6;13;1;13;13;12;0;5;1;13;13;13;11;13;13;13;1;13;13;13;10;11;1;0;0;0;0;0;0;1;13;12;12;5;7;1;13;12;0;0;0;3;13;1;13;12;13;12;13;13;1;13;12;11;1;4;7;13;1;13;12;0;1;0;0;13;1;13;12;11;11;11;10;1;13;12;10;3;6;4;1;13;12;13;9;9;11
108;1;13;13;0;0;0;0;10;1;13;13;4;0;0;1;13;13;13;13;10;13;13;1;13;13;13;0;4;1;0;12;0;0;0;0;1;13;12;7;0;0;1;13;12;0;0;0;0;13;1;13;12;13;9;12;13;1;13;12;0;0;0;5;13;1;4;12;13;0;0;0;13;1;13;12;13;10;10;9;1;13;12;11;0;2;5;1;13;13;13;11;11;13
109;1;13;13;0;0;0;3;13;1;13;13;10;3;0;1;13;13;13;13;13;13;13;1;13;13;13;13;12;1;0;5;0;0;0;0;1;13;12;13;10;7;1;13;12;0;0;0;2;13;1;13;12;13;13;12;13;1;13;12;8;0;0;13;13;1;0;11;13;0;0;0;13;1;13;12;13;12;10;13;1;13;12;6;3;8;9;1;13;13;13;13;11;13
