Frame;Hour;Day;Region;Total;Locals;Outsiders;dTotals;dLocals;dOutsiders
8;8;0;Independência;10992;6322;4670;530;-490;1020
8;8;0;Menino Deus;26300;23100;3200;-850;-2050;1200
8;8;0;Moinhos de Vento;11937;9087;2850;500;-850;1350
8;8;0;Praia de Belas;5861;1691;4170;730;-290;1020
8;8;0;Rio Branco;14381;11741;2640;-900;-1990;1090
8;8;0;Santa Cecília;8798;4518;4280;680;-500;1180
8;8;0;Santana;18653;15383;3270;-920;-2290;1370
9;9;0;Azenha;15634;11024;4610;250;-50;300
9;9;0;Bom Fim;12713;7773;4940;150;-50;200
9;9;0;Centro Histórico;31794;29614;2180;-500;-650;150
9;9;0;Cidade Baixa;13859;9719;4140;-250;-300;50
9;9;0;Farroupilha;6971;881;6090;350;0;350
9;9;0;Floresta;12596;8646;3950;0;-100;100
9;9;0;Independência;11192;6272;4920;200;-50;250
9;9;0;Menino Deus;25950;22400;3550;-350;-700;350
9;9;0;Moinhos de Vento;11887;8837;3050;-50;-250;200
9;9;0;Praia de Belas;6261;1641;4620;400;-50;450
9;9;0;Rio Branco;14331;11391;2940;-50;-350;300
9;9;0;Santa Cecília;8798;4318;4480;0;-200;200
9;9;0;Santana;18503;15133;3370;-150;-250;100
10;10;0;Azenha;15634;10774;4860;0;-250;250
10;10;0;Bom Fim;12813;7573;5240;100;-200;300
10;10;0;Centro Histórico;31144;28914;2230;-650;-700;50
10;10;0;Cidade Baixa;13559;9169;4390;-300;-550;250
10;10;0;Farroupilha;7321;881;6440;350;0;350
10;10;0;Floresta;12696;8496;4200;100;-150;250
10;10;0;Independência;11492;6172;5320;300;-100;400
10;10;0;Menino Deus;25950;21850;4100;0;-550;550
10;10;0;Moinhos de Vento;11587;8537;3050;-300;-300;0
10;10;0;Praia de Belas;6711;1641;5070;450;0;450
10;10;0;Rio Branco;14231;10991;3240;-100;-400;300
10;10;0;Santa Cecília;8848;4118;4730;50;-200;250
10;10;0;Santana;18503;14783;3720;0;-350;350
11;11;0;Azenha;15784;10624;5160;150;-150;300
11;11;0;Bom Fim;12863;7323;5540;50;-250;300
11;11;0;Centro Histórico;30744;28314;2430;-400;-600;200
11;11;0;Cidade Baixa;13559;8869;4690;0;-300;300
11;11;0;Farroupilha;7721;881;6840;400;0;400
11;11;0;Floresta;12796;8446;4350;100;-50;150
11;11;0;Independência;11592;6072;5520;100;-100;200
11;11;0;Menino Deus;25600;21400;4200;-350;-450;100
11;11;0;Moinhos de Vento;11587;8387;3200;0;-150;150
11;11;0;Praia de Belas;6911;1591;5320;200;-50;250
11;11;0;Rio Branco;13981;10641;3340;-250;-350;100
11;11;0;Santa Cecília;9298;4068;5230;450;-50;500
11;11;0;Santana;18053;14333;3720;-450;-450;0
12;12;0;Azenha;15547;11740;3807;-237;1116;-1353
12;12;0;Bom Fim;13321;8653;4668;458;1330;-872
12;12;0;Centro Histórico;33396;31441;1955;2652;3127;-475
12;12;0;Cidade Baixa;13852;10771;3081;293;1902;-1609
12;12;0;Farroupilha;5406;897;4509;-2315;16;-2331
