Frame;Hour;Day;Region;Total;Locals;Outsiders;dTotals;dLocals;dOutsiders;VaccLvl_0;VaccLvl_1;VaccLvl_2;dVaccLvl_0;dVaccLvl_1;dVaccLvl_2
5;5;0;Cidade Baixa;15379;15379;0;0;0;0;15379;0;0;0;0;0
5;5;0;Farroupilha;961;961;0;0;0;0;961;0;0;0;0;0
5;5;0;Floresta;11596;11596;0;0;0;0;11596;0;0;0;0;0
5;5;0;Independência;8112;8112;0;0;0;0;8112;0;0;0;0;0
5;5;0;Menino Deus;31650;31650;0;0;0;0;31650;0;0;0;0;0
5;5;0;Moinhos de Vento;11937;11937;0;0;0;0;11937;0;0;0;0;0
5;5;0;Praia de Belas;2281;2281;0;0;0;0;2281;0;0;0;0;0
5;5;0;Rio Branco;17531;17531;0;0;0;0;17531;0;0;0;0;0
5;5;0;Santa Cecília;5768;5768;0;0;0;0;5768;0;0;0;0;0
5;5;0;Santana;20723;20723;0;0;0;0;20723;0;0;0;0;0
6;6;0;Azenha;13804;13804;0;0;0;0;13804;0;0;0;0;0
6;6;0;Bom Fim;11593;11593;0;0;0;0;11593;0;0;0;0;0
6;6;0;Centro;39154;39154;0;0;0;0;39154;0;0;0;0;0
6;6;0;Cidade Baixa;15379;15379;0;0;0;0;15379;0;0;0;0;0
6;6;0;Farroupilha;961;961;0;0;0;0;961;0;0;0;0;0
6;6;0;Floresta;11596;11596;0;0;0;0;11596;0;0;0;0;0
6;6;0;Independência;8112;8112;0;0;0;0;8112;0;0;0;0;0
6;6;0;Menino Deus;31650;31650;0;0;0;0;31650;0;0;0;0;0
6;6;0;Moinhos de Vento;11937;11937;0;0;0;0;11937;0;0;0;0;0
6;6;0;Praia de Belas;2281;2281;0;0;0;0;2281;0;0;0;0;0
6;6;0;Rio Branco;17531;17531;0;0;0;0;17531;0;0;0;0;0
6;6;0;Santa Cecília;5768;5768;0;0;0;0;5768;0;0;0;0;0
6;6;0;Santana;20723;20723;0;0;0;0;20723;0;0;0;0;0
7;7;0;Azenha;13804;13804;0;0;0;0;13804;0;0;0;0;0
7;7;0;Bom Fim;11593;11593;0;0;0;0;11593;0;0;0;0;0
7;7;0;Centro;39154;39154;0;0;0;0;39154;0;0;0;0;0
7;7;0;Cidade Baixa;15379;15379;0;0;0;0;15379;0;0;0;0;0
7;7;0;Farroupilha;961;961;0;0;0;0;961;0;0;0;0;0
7;7;0;Floresta;11596;11596;0;0;0;0;11596;0;0;0;0;0
7;7;0;Independência;8112;8112;0;0;0;0;8112;0;0;0;0;0
7;7;0;Menino Deus;31650;31650;0;0;0;0;31650;0;0;0;0;0
7;7;0;Moinhos de Vento;11937;11937;0;0;0;0;11937;0;0;0;0;0
7;7;0;Praia de Belas;2281;2281;0;0;0;0;2281;0;0;0;0;0
7;7;0;Rio Branco;17531;17531;0;0;0;0;17531;0;0;0;0;0
7;7;0;Santa Cecília;5768;5768;0;0;0;0;5768;0;0;0;0;0
7;7;0;Santana;20723;20723;0;0;0;0;20723;0;0;0;0;0
8;8;0;Azenha;13803;13802;1;-1;-2;1;13796;7;0;-8;7;0
8;8;0;Bom Fim;11592;11590;2;-1;-3;2;11586;6;0;-7;6;0
8;8;0;Centro;39160;39154;6;6;0;6;39136;24;0;-18;24;0
8;8;0;Cidade Baixa;15379;15377;2;0;-2;2;15371;8;0;-8;8;0
8;8;0;Farroupilha;958;958;0;-3;-3;0;958;0;0;-3;0;0
8;8;0;Floresta;11595;11594;1;-1;-2;1;11589;6;0;-7;6;0
8;8;0;Independência;8110;8109;1;-2;-3;1;8106;4;0;-6;4;0
8;8;0;Menino Deus;31652;31649;3;2;-1;3;31634;18;0;-16;18;0
8;8;0;Moinhos de Vento;11938;11937;1;1;0;1;11932;6;0;-5;6;0
8;8;0;Praia de Belas;2278;2278;0;-3;-3;0;2277;1;0;-4;1;0
8;8;0;Rio Branco;17533;17531;2;2;0;2;17523;10;0;-8;10;0
8;8;0;Santa Cecília;5766;5765;1;-2;-3;1;5763;3;0;-5;3;0
8;8;0;Santana;20725;20722;3;2;-1;3;20714;11;0;-9;11;0
9;9;0;Azenha;13803;13802;1;0;0;0;13796;7;0;0;0;0
9;9;0;Bom Fim;11592;11590;2;0;0;0;11586;6;0;0;0;0
9;9;0;Centro;39160;39154;6;0;0;0;39136;24;0;0;0;0
