Frame;Hour;Neighbourhood;Susceptible;Infected;Removed;Vaccinated;dS;dI;dR;dV;Total;Locals;Outsiders;
6;6;Moinhos de Vento;11937;0;0;0;0;0;0;0;11937;11937;0;
6;6;Praia de Belas;2281;0;0;0;0;0;0;0;2281;2281;0;
6;6;Rio Branco;17531;0;0;0;0;0;0;0;17531;17531;0;
6;6;Santa Cecília;5768;0;0;0;0;0;0;0;5768;5768;0;
6;6;Santana;20723;0;0;0;0;0;0;0;20723;20723;0;
7;7;Azenha;13804;0;0;0;0;0;0;0;13804;13804;0;
7;7;Bom Fim;11593;0;0;0;0;0;0;0;11593;11593;0;
7;7;Centro;39154;1;0;0;0;0;0;0;39155;39155;0;
7;7;Cidade Baixa;15379;0;0;0;0;0;0;0;15379;15379;0;
7;7;Farroupilha;961;0;0;0;0;0;0;0;961;961;0;
7;7;Floresta;11596;0;0;0;0;0;0;0;11596;11596;0;
7;7;Independência;8112;0;0;0;0;0;0;0;8112;8112;0;
7;7;Menino Deus;31650;0;0;0;0;0;0;0;31650;31650;0;
7;7;Moinhos de Vento;11937;0;0;0;0;0;0;0;11937;11937;0;
7;7;Praia de Belas;2281;0;0;0;0;0;0;0;2281;2281;0;
7;7;Rio Branco;17531;0;0;0;0;0;0;0;17531;17531;0;
7;7;Santa Cecília;5768;0;0;0;0;0;0;0;5768;5768;0;
7;7;Santana;20723;0;0;0;0;0;0;0;20723;20723;0;
8;8;Azenha;13804;0;0;0;0;0;0;0;13804;13804;0;
8;8;Bom Fim;11593;0;0;0;0;0;0;0;11593;11593;0;
8;8;Centro;39154;1;0;0;0;0;0;0;39155;39155;0;
8;8;Cidade Baixa;15379;0;0;0;0;0;0;0;15379;15379;0;
8;8;Farroupilha;961;0;0;0;0;0;0;0;961;961;0;
8;8;Floresta;11596;0;0;0;0;0;0;0;11596;11596;0;
8;8;Independência;8112;0;0;0;0;0;0;0;8112;8112;0;
8;8;Menino Deus;31650;0;0;0;0;0;0;0;31650;31650;0;
8;8;Moinhos de Vento;11937;0;0;0;0;0;0;0;11937;11937;0;
8;8;Praia de Belas;2281;0;0;0;0;0;0;0;2281;2281;0;
8;8;Rio Branco;17531;0;0;0;0;0;0;0;17531;17531;0;
8;8;Santa Cecília;5768;0;0;0;0;0;0;0;5768;5768;0;
8;8;Santana;20723;0;0;0;0;0;0;0;20723;20723;0;
9;9;Azenha;13796;0;0;7;-8;0;0;7;13803;13802;1;
9;9;Bom Fim;11586;0;0;6;-7;0;0;6;11592;11590;2;
9;9;Centro;39136;1;0;24;-18;0;0;24;39161;39155;6;
9;9;Cidade Baixa;15371;0;0;8;-8;0;0;8;15379;15377;2;
9;9;Farroupilha;958;0;0;0;-3;0;0;0;958;958;0;
9;9;Floresta;11589;0;0;6;-7;0;0;6;11595;11594;1;
9;9;Independência;8106;0;0;4;-6;0;0;4;8110;8109;1;
9;9;Menino Deus;31634;0;0;18;-16;0;0;18;31652;31649;3;
9;9;Moinhos de Vento;11932;0;0;6;-5;0;0;6;11938;11937;1;
9;9;Praia de Belas;2277;0;0;1;-4;0;0;1;2278;2278;0;
9;9;Rio Branco;17523;0;0;10;-8;0;0;10;17533;17531;2;
9;9;Santa Cecília;5763;0;0;3;-5;0;0;3;5766;5765;1;
9;9;Santana;20714;0;0;11;-9;0;0;11;20725;20722;3;
10;10;Azenha;13789;0;0;15;-7;0;0;8;13804;13801;3;
10;10;Bom Fim;11579;0;0;13;-7;0;0;7;11592;11587;5;
10;10;Centro;39117;1;0;49;-19;0;0;25;39167;39155;12;
10;10;Cidade Baixa;15362;0;0;17;-9;0;0;9;15379;15375;4;
10;10;Farroupilha;955;0;0;0;-3;0;0;0;955;955;0;
10;10;Floresta;11580;0;0;13;-9;0;0;7;11593;11591;2;
10;10;Independência;8100;0;0;9;-6;0;0;5;8109;8106;3;
10;10;Menino Deus;31618;0;0;36;-16;0;0;18;31654;31648;6;
10;10;Moinhos de Vento;11926;0;0;13;-6;0;0;7;11939;11937;2;
10;10;Praia de Belas;2273;0;0;2;-4;0;0;1;2275;2275;0;
10;10;Rio Branco;17514;0;0;20;-9;0;0;10;17534;17530;4;
10;10;Santa Cecília;5758;0;0;6;-5;0;0;3;5764;5762;2;
10;10;Santana;20702;0;0;23;-12;0;0;12;20725;20720;5;
11;11;Azenha;13789;0;0;15;0;0;0;0;13804;13801;3;
11;11;Bom Fim;11579;0;0;13;0;0;0;0;11592;11587;5;
11;11;Centro;39117;1;0;49;0;0;0;0;39167;39155;12;
11;11;Cidade Baixa;15362;0;0;17;0;0;0;0;15379;15375;4;
11;11;Farroupilha;955;0;0;0;0;0;0;0;955;955;0;
11;11;Floresta;11580;0;0;13;0;0;0;0;11593;11591;2;
11;11;Independência;8100;0;0;9;0;0;0;0;8109;8106;3;
11;11;Menino Deus;31618;0;0;36;0;0;0;0;31654;31648;6;
11;11;Moinhos de Vento;11926;0;0;13;0;0;0;0;11939;11937;2;
11;11;Praia de Belas;2273;0;0;2;0;0;0;0;2275;2275;0;
11;11;Rio Branco;17514;0;0;20;0;0;0;0;17534;17530;4;
11;11;Santa Cecília;5758;0;0;6;0;0;0;0;5764;5762;2;
11;11;Santana;20702;0;0;23;0;0;0;0;20725;20720;5;
12;12;Azenha;13782;0;0;23;-7;0;0;8;13805;13800;5;
12;12;Bom Fim;11572;0;0;20;-7;0;0;7;11592;11584;8;
12;12;Centro;39098;1;0;74;-19;0;0;25;39173;39155;18;
12;12;Cidade Baixa;15353;0;0;26;-9;0;0;9;15379;15373;6;
12;12;Farroupilha;951;0;0;1;-4;0;0;1;952;952;0;
12;12;Floresta;11571;0;0;20;-9;0;0;7;11591;11588;3;
12;12;Independência;8094;0;0;14;-6;0;0;5;8108;8103;5;
12;12;Menino Deus;31602;0;0;54;-16;0;0;18;31656;31647;9;
12;12;Moinhos de Vento;11920;0;0;20;-6;0;0;7;11940;11937;3;
12;12;Praia de Belas;2269;0;0;3;-4;0;0;1;2272;2272;0;
12;12;Rio Branco;17505;0;0;30;-9;0;0;10;17535;17529;6;
12;12;Santa Cecília;5753;0;0;9;-5;0;0;3;5762;5759;3;
12;12;Santana;20690;0;0;35;-12;0;0;12;20725;20718;7;
13;13;Azenha;13782;0;0;23;0;0;0;0;13805;13800;5;
13;13;Bom Fim;11572;0;0;20;0;0;0;0;11592;11584;8;
13;13;Centro;39098;1;0;74;0;0;0;0;39173;39155;18;
13;13;Cidade Baixa;15353;0;0;26;0;0;0;0;15379;15373;6;
13;13;Farroupilha;951;0;0;1;0;0;0;0;952;952;0;
13;13;Floresta;11571;0;0;20;0;0;0;0;11591;11588;3;
13;13;Independência;8094;0;0;14;0;0;0;0;8108;8103;5;
13;13;Menino Deus;31602;0;0;54;0;0;0;0;31656;31647;9;
13;13;Moinhos de Vento;11920;0;0;20;0;0;0;0;11940;11937;3;
13;13;Praia de Belas;2269;0;0;3;0;0;0;0;2272;2272;0;
13;13;Rio Branco;17505;0;0;30;0;0;0;0;17535;17529;6;
13;13;Santa Cecília;5753;0;0;9;0;0;0;0;5762;5759;3;
13;13;Santana;20690;0;0;35;0;0;0;0;20725;20718;7;
14;14;Azenha;13782;0;0;23;0;0;0;0;13805;13800;5;
14;14;Bom Fim;11572;0;0;20;0;0;0;0;11592;11584;8;
14;14;Centro;39098;1;0;74;0;0;0;0;39173;39155;18;
14;14;Cidade Baixa;15353;0;0;26;0;0;0;0;15379;15373;6;
14;14;Farroupilha;951;0;0;1;0;0;0;0;952;952;0;
14;14;Floresta;11571;0;0;20;0;0;0;0;11591;11588;3;
14;14;Independência;8094;0;0;14;0;0;0;0;8108;8103;5;
14;14;Menino Deus;31602;0;0;54;0;0;0;0;31656;31647;9;
14;14;Moinhos de Vento;11920;0;0;20;0;0;0;0;11940;11937;3;
14;14;Praia de Belas;2269;0;0;3;0;0;0;0;2272;2272;0;
14;14;Rio Branco;17505;0;0;30;0;0;0;0;17535;17529;6;
14;14;Santa Cecília;5753;0;0;9;0;0;0;0;5762;5759;3;
14;14;Santana;20690;0;0;35;0;0;0;0;20725;20718;7;
15;15;Azenha;13782;0;0;23;0;0;0;0;13805;13800;5;
15;15;Bom Fim;11572;0;0;20;0;0;0;0;11592;11584;8;
15;15;Centro;39098;1;0;74;0;0;0;0;39173;39155;18;
15;15;Cidade Baixa;15353;0;0;26;0;0;0;0;15379;15373;6;
15;15;Farroupilha;951;0;0;1;0;0;0;0;952;952;0;
15;15;Floresta;11571;0;0;20;0;0;0;0;11591;11588;3;
15;15;Independência;8094;0;0;14;0;0;0;0;8108;8103;5;
15;15;Menino Deus;31602;0;0;54;0;0;0;0;31656;31647;9;
15;15;Moinhos de Vento;11920;0;0;20;0;0;0;0;11940;11937;3;
15;15;Praia de Belas;2269;0;0;3;0;0;0;0;2272;2272;0;
15;15;Rio Branco;17505;0;0;30;0;0;0;0;17535;17529;6;
15;15;Santa Cecília;5753;0;0;9;0;0;0;0;5762;5759;3;
15;15;Santana;20690;0;0;35;0;0;0;0;20725;20718;7;
16;16;Azenha;13782;0;0;23;0;0;0;0;13805;13800;5;
16;16;Bom Fim;11572;0;0;20;0;0;0;0;11592;11584;8;
16;16;Centro;39098;1;0;74;0;0;0;0;39173;39155;18;
16;16;Cidade Baixa;15353;0;0;26;0;0;0;0;15379;15373;6;
16;16;Farroupilha;951;0;0;1;0;0;0;0;952;952;0;
16;16;Floresta;11571;0;0;20;0;0;0;0;11591;11588;3;
16;16;Independência;8094;0;0;14;0;0;0;0;8108;8103;5;
16;16;Menino Deus;31602;0;0;54;0;0;0;0;31656;31647;9;
16;16;Moinhos de Vento;11920;0;0;20;0;0;0;0;11940;11937;3;
16;16;Praia de Belas;2269;0;0;3;0;0;0;0;2272;2272;0;
16;16;Rio Branco;17505;0;0;30;0;0;0;0;17535;17529;6;
16;16;Santa Cecília;5753;0;0;9;0;0;0;0;5762;5759;3;
16;16;Santana;20690;0;0;35;0;0;0;0;20725;20718;7;
17;17;Azenha;13782;0;0;23;0;0;0;0;13805;13800;5;
17;17;Bom Fim;11572;0;0;20;0;0;0;0;11592;11584;8;
17;17;Centro;39098;1;0;74;0;0;0;0;39173;39155;18;
17;17;Cidade Baixa;15353;0;0;26;0;0;0;0;15379;15373;6;
17;17;Farroupilha;951;0;0;1;0;0;0;0;952;952;0;
17;17;Floresta;11571;0;0;20;0;0;0;0;11591;11588;3;
17;17;Independência;8094;0;0;14;0;0;0;0;8108;8103;5;
17;17;Menino Deus;31602;0;0;54;0;0;0;0;31656;31647;9;
17;17;Moinhos de Vento;11920;0;0;20;0;0;0;0;11940;11937;3;
17;17;Praia de Belas;2269;0;0;3;0;0;0;0;2272;2272;0;
17;17;Rio Branco;17505;0;0;30;0;0;0;0;17535;17529;6;
17;17;Santa Cecília;5753;0;0;9;0;0;0;0;5762;5759;3;
17;17;Santana;20690;0;0;35;0;0;0;0;20725;20718;7;
18;18;Azenha;13782;0;0;23;0;0;0;0;13805;13800;5;
18;18;Bom Fim;11572;0;0;20;0;0;0;0;11592;11584;8;
18;18;Centro;39098;1;0;74;0;0;0;0;39173;39155;18;
