Simulation Frame;Azenha;Bom Fim;Centro;Cidade Baixa;Farroupilha;Floresta;Independência;Menino Deus;Moinhos de Vento;Praia de Belas;Rio Branco;Santa Cecília;Santana
110;10;6;6;6;6;6;6;6;6;6;6;6;6
111;10;6;6;6;6;6;6;6;6;6;6;6;6
112;10;6;6;6;6;6;6;6;6;6;6;6;6
113;10;6;6;6;6;6;6;6;6;6;6;6;6
114;10;6;6;6;6;6;6;6;6;6;6;6;6
115;10;6;6;6;6;6;6;6;6;6;6;6;6
116;10;6;6;6;6;6;6;6;6;6;6;6;6
117;10;6;6;6;6;6;6;6;6;6;6;6;6
118;10;6;6;6;6;6;6;6;6;6;6;6;6
119;10;6;6;6;6;6;6;6;6;6;6;6;6
120;10;6;6;6;6;6;6;6;6;6;6;6;6
121;10;6;6;6;6;6;6;6;6;6;6;6;6
122;10;6;6;6;6;6;6;6;6;6;6;6;6
123;10;6;6;6;6;6;6;6;6;6;6;6;6
124;10;6;6;6;6;6;6;6;6;6;6;6;6
125;10;6;6;6;6;6;6;6;6;6;6;6;6
126;10;6;6;6;6;6;6;6;6;6;6;6;6
127;10;6;6;6;6;6;6;6;6;6;6;6;6
128;11;7;7;7;6;7;7;7;7;7;7;7;7
129;11;7;7;7;6;7;7;7;7;7;7;7;7
130;11;7;7;7;6;7;7;7;7;7;7;7;7
131;11;7;7;7;6;7;7;7;7;7;7;7;7
132;9;6;6;6;4;6;6;6;6;6;6;6;6
133;9;6;6;6;4;6;6;6;6;6;6;6;6
134;9;6;6;6;4;6;6;6;6;6;6;6;6
135;9;6;6;6;4;6;6;6;6;6;6;6;6
136;9;6;6;6;4;6;6;6;6;6;6;6;6
137;9;6;6;6;4;6;6;6;6;6;6;6;6
138;9;6;6;6;4;6;6;6;6;6;6;6;6
139;9;6;6;6;4;6;6;6;6;6;6;6;6
140;9;6;6;6;4;6;6;6;6;6;6;6;6
141;9;6;6;6;4;6;6;6;6;6;6;6;6
142;9;6;6;6;4;6;6;6;6;6;6;6;6
143;9;6;6;6;4;6;6;6;6;6;6;6;6
144;9;6;6;6;4;6;6;6;6;6;6;6;6
145;9;6;6;6;4;6;6;6;6;6;6;6;6
146;9;6;6;6;4;6;6;6;6;6;6;6;6
147;9;6;6;6;4;6;6;6;6;6;6;6;6
148;9;6;6;6;4;6;6;6;6;6;6;6;6
149;9;6;6;6;4;6;6;6;6;6;6;6;6
150;9;6;6;6;4;6;6;6;6;6;6;6;6
151;9;6;6;6;4;6;6;6;6;6;6;6;6
152;11;7;7;7;4;7;7;7;7;7;7;7;7
153;11;7;7;7;4;7;7;7;7;7;7;7;7
154;11;7;7;7;4;7;7;7;7;7;7;7;7
155;11;7;7;7;4;7;7;7;7;7;7;7;7
156;9;6;6;6;2;6;6;6;6;6;6;6;6
157;9;6;6;6;2;6;6;6;6;6;6;6;6
158;9;6;6;6;2;6;6;6;6;6;6;6;6
159;9;6;6;6;2;6;6;6;6;6;6;6;6
160;9;6;6;6;2;6;6;6;6;6;6;6;6
161;9;6;6;6;2;6;6;6;6;6;6;6;6
162;9;6;6;6;2;6;6;6;6;6;6;6;6
163;9;6;6;6;2;6;6;6;6;6;6;6;6
164;9;6;6;6;2;6;6;6;6;6;6;6;6
165;9;6;6;6;2;6;6;6;6;6;6;6;6
166;9;6;6;6;2;6;6;6;6;6;6;6;6
167;9;6;6;6;2;6;6;6;6;6;6;6;6
168;9;6;6;6;2;6;6;6;6;6;6;6;6
169;9;6;6;6;2;6;6;6;6;6;6;6;6
170;9;6;6;6;2;6;6;6;6;6;6;6;6
171;9;6;6;6;2;6;6;6;6;6;6;6;6
172;9;6;6;6;2;6;6;6;6;6;6;6;6
173;9;6;6;6;2;6;6;6;6;6;6;6;6
174;9;6;6;6;2;6;6;6;6;6;6;6;6
175;9;6;6;6;2;6;6;6;6;6;6;6;6
176;11;7;7;7;2;7;7;7;7;7;7;7;7
177;11;7;7;7;2;7;7;7;7;7;7;7;7
178;11;7;7;7;2;7;7;7;7;7;7;7;7
179;11;7;7;7;2;7;7;7;7;7;7;7;7
180;9;6;6;6;2;6;6;6;6;6;6;6;6
181;9;6;6;6;2;6;6;6;6;6;6;6;6
182;9;6;6;6;2;6;6;6;6;6;6;6;6
183;9;6;6;6;2;6;6;6;6;6;6;6;6
184;9;6;6;6;2;6;6;6;6;6;6;6;6
185;9;6;6;6;2;6;6;6;6;6;6;6;6
186;9;6;6;6;2;6;6;6;6;6;6;6;6
187;9;6;6;6;2;6;6;6;6;6;6;6;6
188;9;6;6;6;2;6;6;6;6;6;6;6;6
189;9;6;6;6;2;6;6;6;6;6;6;6;6
190;9;6;6;6;2;6;6;6;6;6;6;6;6
191;9;6;6;6;2;6;6;6;6;6;6;6;6
192;9;6;6;6;2;6;6;6;6;6;6;6;6
193;9;6;6;6;2;6;6;6;6;6;6;6;6
194;9;6;6;6;2;6;6;6;6;6;6;6;6
195;9;6;6;6;2;6;6;6;6;6;6;6;6
196;9;6;6;6;2;6;6;6;6;6;6;6;6
197;9;6;6;6;2;6;6;6;6;6;6;6;6
198;9;6;6;6;2;6;6;6;6;6;6;6;6
199;9;6;6;6;2;6;6;6;6;6;6;6;6
200;11;7;7;7;2;7;7;7;7;7;7;7;7
201;11;7;7;7;2;7;7;7;7;7;7;7;7
202;11;7;7;7;2;7;7;7;7;7;7;7;7
203;11;7;7;7;2;7;7;7;7;7;7;7;7
204;10;6;6;6;2;6;6;6;6;6;6;6;6
205;10;6;6;6;2;6;6;6;6;6;6;6;6
206;10;6;6;6;2;6;6;6;6;6;6;6;6
207;10;6;6;6;2;6;6;6;6;6;6;6;6
208;10;6;6;6;2;6;6;6;6;6;6;6;6
209;10;6;6;6;2;6;6;6;6;6;6;6;6
210;10;6;6;6;2;6;6;6;6;6;6;6;6
211;10;6;6;6;2;6;6;6;6;6;6;6;6
212;10;6;6;6;2;6;6;6;6;6;6;6;6
213;10;6;6;6;2;6;6;6;6;6;6;6;6
214;10;6;6;6;2;6;6;6;6;6;6;6;6
215;10;6;6;6;2;6;6;6;6;6;6;6;6
216;10;6;6;6;2;6;6;6;6;6;6;6;6
217;10;6;6;6;2;6;6;6;6;6;6;6;6
218;10;6;6;6;2;6;6;6;6;6;6;6;6
219;10;6;6;6;2;6;6;6;6;6;6;6;6
220;10;6;6;6;2;6;6;6;6;6;6;6;6
