Frame;Hour;Day;VaccLvl_0;VaccLvl_1;VaccLvl_2;dVaccLvl_0;dVaccLvl_1;dVaccLvl_2
133;13;5;169919;7521;13049;0;0;0
134;14;5;169919;7521;13049;0;0;0
135;15;5;169919;7521;13049;0;0;0
136;16;5;169919;7521;13049;0;0;0
137;17;5;169919;7521;13049;0;0;0
138;18;5;169919;7521;13049;0;0;0
139;19;5;169919;7521;13049;0;0;0
140;20;5;169919;7521;13049;0;0;0
141;21;5;169919;7521;13049;0;0;0
142;22;5;169919;7521;13049;0;0;0
143;23;5;169919;7521;13049;0;0;0
144;0;6;169919;7521;13049;0;0;0
145;1;6;169919;7521;13049;0;0;0
146;2;6;169919;7521;13049;0;0;0
147;3;6;169919;7521;13049;0;0;0
148;4;6;169919;7521;13049;0;0;0
149;5;6;169919;7521;13049;0;0;0
150;6;6;169919;7521;13049;0;0;0
151;7;6;169919;7521;13049;0;0;0
152;8;6;168553;6931;15005;-1366;-590;1956
153;9;6;168553;6931;15005;0;0;0
154;10;6;167185;6339;16965;-1368;-592;1960
155;11;6;167185;6339;16965;0;0;0
156;12;6;165809;5748;18932;-1376;-591;1967
157;13;6;165809;5748;18932;0;0;0
158;14;6;165809;5748;18932;0;0;0
159;15;6;165809;5748;18932;0;0;0
160;16;6;165809;5748;18932;0;0;0
161;17;6;165809;5748;18932;0;0;0
162;18;6;165809;5748;18932;0;0;0
163;19;6;165809;5748;18932;0;0;0
164;20;6;165809;5748;18932;0;0;0
165;21;6;165809;5748;18932;0;0;0
166;22;6;165809;5748;18932;0;0;0
167;23;6;165809;5748;18932;0;0;0
168;0;7;165809;5748;18932;0;0;0
169;1;7;165809;5748;18932;0;0;0
170;2;7;165809;5748;18932;0;0;0
171;3;7;165809;5748;18932;0;0;0
172;4;7;165809;5748;18932;0;0;0
173;5;7;165809;5748;18932;0;0;0
174;6;7;165809;5748;18932;0;0;0
175;7;7;165809;5748;18932;0;0;0
176;8;7;164557;6560;19372;-1252;812;440
177;9;7;164557;6560;19372;0;0;0
178;10;7;163304;7368;19817;-1253;808;445
179;11;7;163304;7368;19817;0;0;0
180;12;7;162044;8182;20263;-1260;814;446
181;13;7;162044;8182;20263;0;0;0
182;14;7;162044;8182;20263;0;0;0
183;15;7;162044;8182;20263;0;0;0
184;16;7;162044;8182;20263;0;0;0
185;17;7;162044;8182;20263;0;0;0
186;18;7;162044;8182;20263;0;0;0
187;19;7;162044;8182;20263;0;0;0
188;20;7;162044;8182;20263;0;0;0
189;21;7;162044;8182;20263;0;0;0
190;22;7;162044;8182;20263;0;0;0
191;23;7;162044;8182;20263;0;0;0
192;0;8;162044;8182;20263;0;0;0
193;1;8;162044;8182;20263;0;0;0
194;2;8;162044;8182;20263;0;0;0
195;3;8;162044;8182;20263;0;0;0
196;4;8;162044;8182;20263;0;0;0
197;5;8;162044;8182;20263;0;0;0
198;6;8;162044;8182;20263;0;0;0
199;7;8;162044;8182;20263;0;0;0
200;8;8;161119;9007;20363;-925;825;100
201;9;8;161119;9007;20363;0;0;0
202;10;8;160191;9834;20464;-928;827;101
203;11;8;160191;9834;20464;0;0;0
204;12;8;159259;10660;20570;-932;826;106
205;13;8;159259;10660;20570;0;0;0
206;14;8;159259;10660;20570;0;0;0
207;15;8;159259;10660;20570;0;0;0
208;16;8;159259;10660;20570;0;0;0
209;17;8;159259;10660;20570;0;0;0
210;18;8;159259;10660;20570;0;0;0
211;19;8;159259;10660;20570;0;0;0
212;20;8;159259;10660;20570;0;0;0
213;21;8;159259;10660;20570;0;0;0
214;22;8;159259;10660;20570;0;0;0
215;23;8;159259;10660;20570;0;0;0
216;0;9;159259;10660;20570;0;0;0
217;1;9;159259;10660;20570;0;0;0
218;2;9;159259;10660;20570;0;0;0
219;3;9;159259;10660;20570;0;0;0
220;4;9;159259;10660;20570;0;0;0
221;5;9;159259;10660;20570;0;0;0
222;6;9;159259;10660;20570;0;0;0
223;7;9;159259;10660;20570;0;0;0
224;8;9;158085;10468;21936;-1174;-192;1366
225;9;9;158085;10468;21936;0;0;0
226;10;9;156908;10277;23304;-1177;-191;1368
227;11;9;156908;10277;23304;0;0;0
228;12;9;155727;10082;24680;-1181;-195;1376
229;13;9;155727;10082;24680;0;0;0
230;14;9;155727;10082;24680;0;0;0
231;15;9;155727;10082;24680;0;0;0
232;16;9;155727;10082;24680;0;0;0
233;17;9;155727;10082;24680;0;0;0
234;18;9;155727;10082;24680;0;0;0
235;19;9;155727;10082;24680;0;0;0
236;20;9;155727;10082;24680;0;0;0
237;21;9;155727;10082;24680;0;0;0
238;22;9;155727;10082;24680;0;0;0
239;23;9;155727;10082;24680;0;0;0
