Frame;Hour;Day;Vacc0;Vacc1;Vacc2;dVacc0;dVacc1;dVacc2
155;11;6;167185;23131;0;0;-10;0
156;12;6;165809;24507;0;-1376;1376;0
157;13;6;165809;24499;0;0;-8;0
158;14;6;165809;24499;0;0;0;0
159;15;6;165809;24492;0;0;-7;0
160;16;6;165809;24492;0;0;0;0
161;17;6;165809;24485;0;0;-7;0
162;18;6;165809;24485;0;0;0;0
163;19;6;165809;24485;0;0;0;0
164;20;6;165809;24485;0;0;0;0
165;21;6;165809;24485;0;0;0;0
166;22;6;165809;24485;0;0;0;0
167;23;6;165809;24485;0;0;0;0
168;0;7;165809;24485;0;0;0;0
169;1;7;165809;24485;0;0;0;0
170;2;7;165809;24485;0;0;0;0
171;3;7;165809;24485;0;0;0;0
172;4;7;165809;24485;0;0;0;0
173;5;7;165809;24476;0;0;-9;0
174;6;7;165809;24476;0;0;0;0
175;7;7;165809;24468;0;0;-8;0
176;8;7;164557;25720;0;-1252;1252;0
177;9;7;164557;25712;0;0;-8;0
178;10;7;163304;26965;0;-1253;1253;0
179;11;7;163304;26954;0;0;-11;0
180;12;7;162044;28214;0;-1260;1260;0
181;13;7;162044;28206;0;0;-8;0
182;14;7;162044;28206;0;0;0;0
183;15;7;162044;28199;0;0;-7;0
184;16;7;162044;28199;0;0;0;0
185;17;7;162044;28190;0;0;-9;0
186;18;7;162044;28190;0;0;0;0
187;19;7;162044;28190;0;0;0;0
188;20;7;162044;28190;0;0;0;0
189;21;7;162044;28190;0;0;0;0
190;22;7;162044;28190;0;0;0;0
191;23;7;162044;28190;0;0;0;0
192;0;8;162044;28190;0;0;0;0
193;1;8;162044;28190;0;0;0;0
194;2;8;162044;28190;0;0;0;0
195;3;8;162044;28190;0;0;0;0
196;4;8;162044;28190;0;0;0;0
197;5;8;162044;28182;0;0;-8;0
198;6;8;162044;28182;0;0;0;0
199;7;8;162044;28174;0;0;-8;0
200;8;8;161119;29099;0;-925;925;0
201;9;8;161119;29091;0;0;-8;0
202;10;8;160191;30019;0;-928;928;0
203;11;8;160191;30010;0;0;-9;0
204;12;8;159259;30942;0;-932;932;0
205;13;8;159259;30933;0;0;-9;0
206;14;8;159259;30933;0;0;0;0
207;15;8;159259;30923;0;0;-10;0
208;16;8;159259;30923;0;0;0;0
209;17;8;159259;30914;0;0;-9;0
210;18;8;159259;30914;0;0;0;0
211;19;8;159259;30914;0;0;0;0
212;20;8;159259;30914;0;0;0;0
213;21;8;159259;30914;0;0;0;0
214;22;8;159259;30914;0;0;0;0
215;23;8;159259;30914;0;0;0;0
216;0;9;159259;30914;0;0;0;0
217;1;9;159259;30914;0;0;0;0
218;2;9;159259;30914;0;0;0;0
219;3;9;159259;30914;0;0;0;0
220;4;9;159259;30914;0;0;0;0
221;5;9;159259;30903;0;0;-11;0
222;6;9;159259;30903;0;0;0;0
223;7;9;159259;30895;0;0;-8;0
224;8;9;158085;32069;0;-1174;1174;0
225;9;9;158085;32058;0;0;-11;0
226;10;9;156908;33235;0;-1177;1177;0
227;11;9;156908;33222;0;0;-13;0
228;12;9;155727;34403;0;-1181;1181;0
229;13;9;155727;34389;0;0;-14;0
230;14;9;155727;34389;0;0;0;0
231;15;9;155727;34377;0;0;-12;0
232;16;9;155727;34377;0;0;0;0
233;17;9;155727;34364;0;0;-13;0
234;18;9;155727;34364;0;0;0;0
235;19;9;155727;34364;0;0;0;0
236;20;9;155727;34364;0;0;0;0
237;21;9;155727;34364;0;0;0;0
238;22;9;155727;34364;0;0;0;0
239;23;9;155727;34364;0;0;0;0
240;0;10;155727;34364;0;0;0;0
241;1;10;155727;34364;0;0;0;0
242;2;10;155727;34364;0;0;0;0
243;3;10;155727;34364;0;0;0;0
244;4;10;155727;34364;0;0;0;0
245;5;10;155727;34352;0;0;-12;0
246;6;10;155727;34352;0;0;0;0
247;7;10;155727;34337;0;0;-15;0
248;8;10;153651;36413;0;-2076;2076;0
249;9;10;153651;36400;0;0;-13;0
250;10;10;151571;38480;0;-2080;2080;0
251;11;10;151571;38462;0;0;-18;0
252;12;10;149484;40549;0;-2087;2087;0
253;13;10;149484;40529;0;0;-20;0
254;14;10;149484;40529;0;0;0;0
255;15;10;149484;40505;0;0;-24;0
256;16;10;149484;40505;0;0;0;0
257;17;10;149484;40485;0;0;-20;0
258;18;10;149484;40485;0;0;0;0
259;19;10;149484;40485;0;0;0;0
260;20;10;149484;40485;0;0;0;0
261;21;10;149484;40485;0;0;0;0
262;22;10;149484;40485;0;0;0;0
263;23;10;149484;40485;0;0;0;0
264;0;11;149484;40485;0;0;0;0
265;1;11;149484;40485;0;0;0;0
266;2;11;149484;40485;0;0;0;0
267;3;11;149484;40485;0;0;0;0
268;4;11;149484;40485;0;0;0;0
269;5;11;149484;40463;0;0;-22;0
270;6;11;149484;40463;0;0;0;0
271;7;11;149484;40441;0;0;-22;0
272;8;11;148805;41120;0;-679;679;0
273;9;11;148805;41099;0;0;-21;0
274;10;11;148124;41780;0;-681;681;0
275;11;11;148124;41755;0;0;-25;0
276;12;11;147438;42441;0;-686;686;0
277;13;11;147438;42414;0;0;-27;0
278;14;11;147438;42414;0;0;0;0
279;15;11;147438;42388;0;0;-26;0
280;16;11;147438;42388;0;0;0;0
281;17;11;147438;42363;0;0;-25;0
282;18;11;147438;42363;0;0;0;0
283;19;11;147438;42363;0;0;0;0
284;20;11;147438;42363;0;0;0;0
285;21;11;147438;42363;0;0;0;0
286;22;11;147438;42363;0;0;0;0
287;23;11;147438;42363;0;0;0;0
288;0;12;147438;42363;0;0;0;0
