;0
0.0006308136372579947;3200
0.0009722987861318633;3100
0.0015678672420211988;4400
0.0016886604716195624;12400
0.0024859722696015988;3600
0.003424982030372632;6400
0.004052690870811724;7800
0.004396542075651626;12900
0.0046048692897207285;2700
0.004675566052350371;3900
0.004878861375429936;500
0.005288684992604184;3400
0.00533126988905797;500
0.00574364003009605;4700
0.006272230132385326;200
0.006515410078352234;300
0.0068504124937402745;6900
0.006911608449617443;600
0.0071448625515316685;6400
0.007159798937876354;2900
0.007180593791336969;4100
0.0076152255623043175;1500
0.0077967093503973975;5900
0.007927448415577059;700
0.008488030153432894;800
0.0086673484073171;500
0.008966098369401106;1700
0.009117978411155138;100
0.009403102679076451;2800
0.009492270709005974;700
0.00976566051599233;1200
0.009809238773349311;600
0.009942854889704257;1100
0.009998055775100417;600
0.010153690566424364;500
0.01058141100992401;200
0.010652047563686332;700
0.010997101699156407;400
0.011156196086393835;3700
0.01141996383093782;1500
0.011904000505991295;400
0.011925749301189014;1800
0.011927177374086068;2100
0.012246705382009358;1000
0.012276571354503227;2200
0.012373433136000884;600
0.012409153271184213;1100
0.012627491144827805;900
0.012792226980052364;1500
0.012820748613925776;300
0.012901437045132764;700
0.012985272911159144;900
0.013018613353516902;5000
0.013033677733142658;2200
0.013034135043519234;1800
0.013321200670223172;200
0.013565688808137607;600
0.013631815127032779;3900
0.013767570270554468;3200
0.01396871001255138;1500
0.01397786681243411;3000
0.014004030777666628;3400
0.014321286806113465;2700
0.014468730532903802;2400
0.014689468106404924;4400
0.014874262333762286;1300
0.01489954759934534;500
0.014938334604059952;2300
0.014993869094232998;700
0.015022901257725964;300
0.01533340767802132;300
0.0156923845752261;500
0.015708200590279407;600
0.015750585953032834;300
0.01624563314193657;500
0.01638619550231372;11500
0.016601107649736036;200
0.016605308052939114;1100
0.016662701382476296;1100
0.016756249464530904;600
0.016806782735169033;300
0.017164174989420026;700
0.017215706288754237;200
0.01721611664970685;1100
0.017344957501158356;500
0.017454442684853497;400
0.01759514984848554;1500
0.01777815245238738;200
0.017860465691801896;500
0.017929804494862665;100
0.01824160899293189;50
0.018607613215407305;200
0.01876700167195479;1100
0.01877847978204131;600
0.018948309981161614;600
0.019097447455750854;900
0.019120611750940552;500
0.01928638638446459;800
0.019329106690008695;1000
0.019607233770862514;800
0.019682005551200397;3200
0.019811848190156495;400
0.019845190788032097;2900
0.020610685919264515;400
0.021182768530081532;300
0.021208454389115543;900
0.021377354861807446;600
0.021499923037989005;500
0.021672920726615277;100
0.021717425984272436;400
0.022124980817662634;800
0.022319607989105743;100
0.022388126331229954;900
0.02258940559958074;1400
0.02262564374840289;2400
0.022868996899066157;400
0.02294346097239694;200
0.02299489061576814;1000
0.023025629595749268;300
0.0230939917665425;300
0.023372008342496923;300
0.02390929106061372;800
0.02410149267411833;1000
0.02421564327292004;1600
0.024632373785217737;300
0.024865619044772535;1200
0.024962355329472;1100
0.025271192429211994;1500
0.02543920888978329;1900
0.025881643236130725;900
0.02607715184721003;300
0.026213316726003057;1800
0.026214477579895444;400
0.02623649030311398;700
0.02624564665514221;300
0.026277775403794217;200
0.026329200359104438;300
0.026702816280003584;400
0.02882979301353436;400
0.02896857609170964;500
0.02928946595380028;700
0.029655620788155382;600
0.03067777219707683;500
0.03094372878849479;1200
0.031088532797373048;1200
0.03200087881899979;1300
0.032507540478577866;700
0.03319968363769163;1500
0.034290067584537065;1400
0.03487163216514752;800
0.03501570249751302;1100
0.035179396561546686;1400
0.03558815481011831;400
0.03608583871820819;600
0.03762240038699645;300
0.04031339027897697;300
0.04043011746065457;600
