scenario;metric;n;mean;standard_deviation;ci95_lower;ci95_upper;inferential
13_levy_v2_flood_homes;levy_repatriations;5;6538.0;57.253820833198546;6466.909991911809;6609.090008088191;True
13_levy_v2_flood_none;pt_fulfillment_rate;5;1.0;0.0;1.0;1.0;True
13_levy_v2_flood_none;pt_unmet;5;0.0;0.0;0.0;0.0;True
13_levy_v2_flood_none;pt_mean_distance_per_traveler;5;86.52547327642618;0.008718880327383008;86.51464735661902;86.53629919623334;True
13_levy_v2_flood_none;pt_rerouted_fulfilled;5;0.0;0.0;0.0;0.0;True
13_levy_v2_flood_none;levy_fulfillment_rate;5;0.999999590043922;1.2247987797667256e-07;0.9999994379650671;0.999999742122777;True
13_levy_v2_flood_none;levy_unmet;5;2.8;0.8366600265340756;1.7611493663164322;3.8388506336835677;True
13_levy_v2_flood_none;levy_population_moved;5;6829947.6;445.15424293159333;6829394.868002904;6830500.331997096;True
13_levy_v2_flood_none;levy_packet_count;5;656152.0;131.33164127505603;655988.9302292038;656315.0697707962;True
13_levy_v2_flood_none;levy_actual_blob_fragments;5;690069.2;137.2049561787037;689898.8375455377;690239.5624544622;True
13_levy_v2_flood_none;levy_mean_outbound_distance;5;1411.1521548399387;2.2497932580963504;1408.358667547959;1413.9456421319185;True
13_levy_v2_flood_none;levy_occupancy_person_hours;5;41068038.0;2184.151894901085;41065326.0172255;41070749.9827745;True
13_levy_v2_flood_none;levy_temporary_returns;5;0.0;0.0;0.0;0.0;True
13_levy_v2_flood_none;levy_return_blocked;5;0.0;0.0;0.0;0.0;True
13_levy_v2_flood_none;levy_repatriations;5;0.0;0.0;0.0;0.0;True
94_levy_v2_flood_all;pt_fulfillment_rate;5;0.9493977070959252;0.0;0.9493977070959252;0.9493977070959252;True
94_levy_v2_flood_all;pt_unmet;5;1212705.0;0.0;1212705.0;1212705.0;True
94_levy_v2_flood_all;pt_mean_distance_per_traveler;5;92.36981644458834;0.19467083671880475;92.12810067513439;92.61153221404228;True
94_levy_v2_flood_all;pt_rerouted_fulfilled;5;0.0;0.0;0.0;0.0;True
94_levy_v2_flood_all;levy_fulfillment_rate;5;0.9031469392728217;0.00012515197405531898;0.9029915425723332;0.9033023359733103;True
94_levy_v2_flood_all;levy_unmet;5;5512150.6;7054.688285105161;5503391.047537834;5520910.152462165;True
94_levy_v2_flood_all;levy_population_moved;5;51400358.2;7807.075073290893;51390664.43595023;51410051.96404978;True
94_levy_v2_flood_all;levy_packet_count;5;4185787.2;690.868438995443;4184929.3735318044;4186645.026468196;True
94_levy_v2_flood_all;levy_actual_blob_fragments;5;4402165.4;4811.360077982108;4396191.307408775;4408139.492591226;True
94_levy_v2_flood_all;levy_mean_outbound_distance;5;3423.6897961328914;2.1439356080026655;3421.027748473967;3426.3518437918156;True
