scenario;environment;levy_model;flood;adaptation;seed;cycles;population;pt_requested;pt_fulfilled;pt_unmet;pt_fulfillment_rate;pt_travelers;pt_travelers_per_capita;pt_traveler_distance;pt_mean_distance_per_traveler;pt_occupancy_person_hours;pt_occupancy_per_requested_visit;pt_rerouted_fulfilled;levy_original_population;levy_exact_cycle_demand;levy_requested;levy_fulfilled;levy_unmet;levy_fulfillment_rate;levy_packet_count;levy_actual_blob_fragments;levy_population_moved;levy_population_returned;levy_temporary_returns;levy_return_blocked;levy_repatriations;levy_outbound_traveler_distance;levy_mean_outbound_distance;levy_return_traveler_distance;levy_temporary_home_traveler_distance;levy_repatriation_traveler_distance;levy_occupancy_person_hours;levy_peak_occupancy;levy_destination_reroutes;levy_rerouted_fulfilled;runtime_seconds;peak_memory_kib;popular_validation_passed;levy_validation_passed;commit_sha
13_levy_v2_flood_homes;13;v2;homes;suppression;0;56;159886;2877888.0;2877888.0;0.0;1.0;2877888.0;17.999624732621992;295911868.8676053;102.82257991541204;2877888.0;1.0;0.0;121965.0;121965.0;6830040.0;6099047.0;730993.0;0.8929738332425579;656208.0;730824.0;6099047.0;6062349.0;16642.0;0.0;6607.0;8598415667.972198;1409.79659083988;8546743717.055828;2227472.739507583;9018619.214834532;36656808.0;54582.0;0.0;0.0;959.4423596000124;363612.0;True;True;c044b3e7c199c373ade1c896a793a5897abaa34c
13_levy_v2_flood_homes;13;v2;homes;suppression;1;56;159886;2877888.0;2877888.0;0.0;1.0;2877888.0;17.999624732621992;295924440.5911293;102.82694830067372;2877888.0;1.0;0.0;121962.0;121962.0;6829872.0;6093151.0;736721.0;0.8921325319127503;656040.0;737811.0;6093151.0;6056526.0;16658.0;0.0;6487.0;8584054317.094578;1408.8038056326814;8530941128.968581;2185800.7919601854;9390264.083479486;36621011.0;54591.0;0.0;0.0;950.6798258000053;360848.0;True;True;c044b3e7c199c373ade1c896a793a5897abaa34c
13_levy_v2_flood_homes;13;v2;homes;suppression;2;56;159886;2877888.0;2877888.0;0.0;1.0;2877888.0;17.999624732621992;295513904.573575;102.68429646100718;2877888.0;1.0;0.0;121959.0;121959.0;6829704.0;6099236.0;730468.0;0.8930454379867707;655984.0;728320.0;6099236.0;6062623.0;16649.0;0.0;6507.0;8592545578.61167;1408.790474513803;8539842464.530193;2245477.776442356;9344701.121270135;36639103.0;54601.0;0.0;0.0;903.9920379999967;408924.0;True;True;c044b3e7c199c373ade1c896a793a5897abaa34c
13_levy_v2_flood_homes;13;v2;homes;suppression;3;56;159886;2877888.0;2877888.0;0.0;1.0;2877888.0;17.999624732621992;294483698.6175984;102.32632354615552;2877888.0;1.0;0.0;121955.0;121955.0;6829480.0;6094134.0;735346.0;0.8923276735564055;656264.0;729298.0;6094134.0;6057508.0;16682.0;0.0;6593.0;8589256408.371412;1409.4301845629604;8537456811.243977;2317289.3300442942;9428795.543339185;36618256.0;54579.0;0.0;0.0;897.250049299997;414252.0;True;True;c044b3e7c199c373ade1c896a793a5897abaa34c
13_levy_v2_flood_homes;13;v2;homes;suppression;4;56;159886;2877888.0;2877888.0;0.0;1.0;2877888.0;17.999624732621992;295314266.1612506;102.61492669667847;2877888.0;1.0;0.0;121976.0;121976.0;6830656.0;6098605.0;732051.0;0.8928285950866213;656264.0;735781.0;6098605.0;6062031.0;16623.0;0.0;6496.0;8566202940.986335;1404.6167838360304;8513302184.429799;2202346.4981178213;9331952.804556452;36642977.0;54598.0;0.0;0.0;909.6151307999971;414544.0;True;True;c044b3e7c199c373ade1c896a793a5897abaa34c
13_levy_v2_flood_all;13;v2;all;suppression;0;56;159886;2877888.0;2708152.0;169736.0;0.9410206373562835;2708152.0;16.938018338065874;231623240.15630555;85.52815357347208;2708152.0;0.9410206373562835;0.0;121965.0;121965.0;6830040.0;5797399.0;1032641.0;0.8488089381614163;656208.0;673429.0;5797399.0;5764706.0;13196.0;0.0;5661.0;7895977012.292061;1361.9861272774326;7847204188.123898;993739.7305831291;9005757.768317616;34658372.0;53243.0;0.0;0.0;800.995497099997;369160.0;True;True;c044b3e7c199c373ade1c896a793a5897abaa34c
13_levy_v2_flood_all;13;v2;all;suppression;1;56;159886;2877888.0;2708152.0;169736.0;0.9410206373562835;2708152.0;16.938018338065874;230673893.07067752;85.17760194799905;2708152.0;0.9410206373562835;0.0;121962.0;121962.0;6829872.0;5797746.0;1032126.0;0.84888062323862;656040.0;672771.0;5797746.0;5764897.0;13123.0;0.0;5569.0;7913244303.4981575;1364.8828878495467;7864822175.984297;927827.8615284475;8979229.035670856;34738430.0;53361.0;0.0;0.0;773.3913477000024;402252.0;True;True;c044b3e7c199c373ade1c896a793a5897abaa34c
13_levy_v2_flood_all;13;v2;all;suppression;2;56;159886;2877888.0;2708152.0;169736.0;0.9410206373562835;2708152.0;16.938018338065874;233007233.68367547;86.03920078476963;2708152.0;0.9410206373562835;0.0;121959.0;121959.0;6829704.0;5795198.0;1034506.0;0.8485284281719969;655984.0;668058.0;5795198.0;5762133.0;13288.0;0.0;5676.0;7914230249.930128;1365.6531234877787;7865817740.579337;974284.3722598187;8547656.762631379;34716269.0;53248.0;0.0;0.0;772.3061996000179;399844.0;True;True;c044b3e7c199c373ade1c896a793a5897abaa34c
13_levy_v2_flood_all;13;v2;all;suppression;3;56;159886;2877888.0;2708152.0;169736.0;0.9410206373562835;2708152.0;16.938018338065874;231589785.24292982;85.51580016296346;2708152.0;0.9410206373562835;0.0;121955.0;121955.0;6829480.0;5791604.0;1037876.0;0.8480300110696568;656264.0;666113.0;5791604.0;5758433.0;13193.0;0.0;5540.0;7911094165.780459;1365.959096267711;7863448625.962265;961170.9177522904;8096778.093914691;34718444.0;53245.0;0.0;0.0;778.3066469999903;430288.0;True;True;c044b3e7c199c373ade1c896a793a5897abaa34c
13_levy_v2_flood_all;13;v2;all;suppression;4;56;159886;2877888.0;2708152.0;169736.0;0.9410206373562835;2708152.0;16.938018338065874;233505543.87562206;86.22320456001808;2708152.0;0.9410206373562835;0.0;121976.0;121976.0;6830656.0;5806844.0;1023812.0;0.8501151280345548;656264.0;668812.0;5806844.0;5773999.0;12950.0;0.0;5563.0;7933210355.452032;1366.1827931750934;7885962496.413076;1024208.4193897274;8338787.338180202;34760937.0;53307.0;0.0;0.0;759.808563300001;433472.0;True;True;c044b3e7c199c373ade1c896a793a5897abaa34c
13_levy_v2_flood_all_pt_reroute;13;v2;all;popular_times_reroute;0;56;159886;2877888.0;2877888.0;0.0;1.0;2877888.0;17.999624732621992;248717915.19537923;86.42376464802634;2877888.0;1.0;169736.0;121965.0;121965.0;6830040.0;5788304.0;1041736.0;0.8474773207770379;656208.0;672448.0;5788304.0;5755379.0;13187.0;0.0;5746.0;7888683005.542191;1362.8660494580433;7840940521.3140745;968335.4505629409;8228452.816953683;34642546.0;53121.0;0.0;0.0;800.1296850999934;443268.0;True;True;c044b3e7c199c373ade1c896a793a5897abaa34c
13_levy_v2_flood_all_pt_reroute;13;v2;all;popular_times_reroute;1;56;159886;2877888.0;2877888.0;0.0;1.0;2877888.0;17.999624732621992;247871745.6537823;86.12974016145948;2877888.0;1.0;169736.0;121962.0;121962.0;6829872.0;5784950.0;1044922.0;0.8470070888590592;656040.0;672816.0;5784950.0;5752193.0;13064.0;0.0;5404.0;7896046526.777649;1364.9290878534212;7848128167.110371;924977.3966753964;8403680.71901936;34665358.0;53343.0;0.0;0.0;805.0489799999923;439852.0;True;True;c044b3e7c199c373ade1c896a793a5897abaa34c
13_levy_v2_flood_all_pt_reroute;13;v2;all;popular_times_reroute;2;56;159886;2877888.0;2877888.0;0.0;1.0;2877888.0;17.999624732621992;250232475.6869504;86.95003964259567;2877888.0;1.0;169736.0;121959.0;121959.0;6829704.0;5792769.0;1036935.0;0.8481727758626143;655984.0;669621.0;5792769.0;5760045.0;12988.0;0.0;5468.0;7908269416.7808895;1365.196750773402;7859770213.1897545;1003157.990053846;8557104.014112258;34724340.0;53309.0;0.0;0.0;805.8708257000253;426088.0;True;True;c044b3e7c199c373ade1c896a793a5897abaa34c
13_levy_v2_flood_all_pt_reroute;13;v2;all;popular_times_reroute;3;56;159886;2877888.0;2877888.0;0.0;1.0;2877888.0;17.999624732621992;248923243.9319503;86.49511166937361;2877888.0;1.0;169736.0;121955.0;121955.0;6829480.0;5787149.0;1042331.0;0.8473776920058336;656264.0;666623.0;5787149.0;5754136.0;13296.0;0.0;5689.0;7904196986.074553;1365.8188144239164;7856559081.253004;1000600.9190426213;8963927.971854923;34679533.0;53214.0;0.0;0.0;795.9515484000149;427340.0;True;True;c044b3e7c199c373ade1c896a793a5897abaa34c
13_levy_v2_flood_all_pt_reroute;13;v2;all;popular_times_reroute;4;56;159886;2877888.0;2877888.0;0.0;1.0;2877888.0;17.999624732621992;250358939.43721253;86.99398289204184;2877888.0;1.0;169736.0;121976.0;121976.0;6830656.0;5792701.0;1037955.0;0.8480446094782111;656264.0;668421.0;5792701.0;5760106.0;12848.0;0.0;5497.0;7898585737.256025;1363.541073025524;7851282763.68628;970854.1863922593;8235510.775219706;34680508.0;53214.0;0.0;0.0;804.1171590000158;379696.0;True;True;c044b3e7c199c373ade1c896a793a5897abaa34c
94_levy_v2_flood_none;94;v2;none;suppression;0;56;1331414;23965416.0;23965416.0;0.0;1.0;23965416.0;17.99997296107747;2157404153.7785454;90.0215608098998;23965416.0;1.0;0.0;1016303.0;1016303.0;56912968.0;56912111.0;857.0;0.9999849419204424;4185608.0;4505747.0;56912111.0;56714843.0;0.0;0.0;0.0;209757468570.62854;3685.638520255004;209029477258.13345;0.0;0.0;341439239.0;453304.0;0.0;0.0;5130.573346099991;1823764.0;True;True;c044b3e7c199c373ade1c896a793a5897abaa34c
94_levy_v2_flood_none;94;v2;none;suppression;1;56;1331414;23965416.0;23965416.0;0.0;1.0;23965416.0;17.99997296107747;2157369977.58469;90.02013474686565;23965416.0;1.0;0.0;1016281.0;1016281.0;56911736.0;56910806.0;930.0;0.9999836589064863;4186336.0;4505821.0;56910806.0;56713511.0;0.0;0.0;0.0;209900198895.92834;3688.230999503475;209167978082.00995;0.0;0.0;341437565.0;453347.0;0.0;0.0;5128.7756273999985;1820608.0;True;True;c044b3e7c199c373ade1c896a793a5897abaa34c
94_levy_v2_flood_none;94;v2;none;suppression;2;56;1331414;23965416.0;23965416.0;0.0;1.0;23965416.0;17.99997296107747;2157301785.7097974;90.01728931848282;23965416.0;1.0;0.0;1016291.0;1016291.0;56912296.0;56911575.0;721.0;0.9999873313844164;4184656.0;4504722.0;56911575.0;56714297.0;0.0;0.0;0.0;209961029350.6014;3689.250022523562;209236876274.44492;0.0;0.0;341437945.0;453300.0;0.0;0.0;5112.316651300003;1819224.0;True;True;c044b3e7c199c373ade1c896a793a5897abaa34c
94_levy_v2_flood_none;94;v2;none;suppression;3;56;1331414;23965416.0;23965416.0;0.0;1.0;23965416.0;17.99997296107747;2157248609.9271708;90.01507046350336;23965416.0;1.0;0.0;1016326.0;1016326.0;56914256.0;56913391.0;865.0;0.9999848016988925;4186112.0;4506139.0;56913391.0;56716091.0;0.0;0.0;0.0;209989438476.5301;3689.631469622502;209235788217.69897;0.0;0.0;341466038.0;453388.0;0.0;0.0;5130.299426499958;1823132.0;True;True;c044b3e7c199c373ade1c896a793a5897abaa34c
94_levy_v2_flood_none;94;v2;none;suppression;4;56;1331414;23965416.0;23965416.0;0.0;1.0;23965416.0;17.99997296107747;2157095459.9519777;90.00868000588756;23965416.0;1.0;0.0;1016273.0;1016273.0;56911288.0;56910369.0;919.0;0.9999838520611236;4186224.0;4506535.0;56910369.0;56713111.0;0.0;0.0;0.0;209816601562.95227;3686.7903907450022;209084162688.84457;0.0;0.0;341432862.0;453362.0;0.0;0.0;5122.296732899995;1824392.0;True;True;c044b3e7c199c373ade1c896a793a5897abaa34c
94_levy_v2_flood_destinations;94;v2;destinations;suppression;0;56;1331414;23965416.0;22752711.0;1212705.0;0.9493977070959252;22752711.0;17.089133057035603;2022302969.054578;88.88184660960086;22752711.0;0.9493977070959252;0.0;1016303.0;1016303.0;56912968.0;53707795.0;3205173.0;0.9436829054495981;4185608.0;4216879.0;53707795.0;53519081.0;0.0;0.0;0.0;187983876400.3941;3500.122773619623;187335459816.76056;0.0;0.0;322000321.0;453304.0;0.0;0.0;4940.297022400016;1763660.0;True;True;c044b3e7c199c373ade1c896a793a5897abaa34c
94_levy_v2_flood_destinations;94;v2;destinations;suppression;1;56;1331414;23965416.0;22752711.0;1212705.0;0.9493977070959252;22752711.0;17.089133057035603;2021772006.2054167;88.85851036412393;22752711.0;0.9493977070959252;0.0;1016281.0;1016281.0;56911736.0;53706507.0;3205229.0;0.9436807023423077;4186336.0;4217555.0;53706507.0;53517630.0;0.0;0.0;0.0;188266241677.73407;3505.464276009126;187599421382.32214;0.0;0.0;322031228.0;453347.0;0.0;0.0;4308.132967400015;1764188.0;True;True;c044b3e7c199c373ade1c896a793a5897abaa34c
94_levy_v2_flood_destinations;94;v2;destinations;suppression;2;56;1331414;23965416.0;22752711.0;1212705.0;0.9493977070959252;22752711.0;17.089133057035603;2022318629.4786856;88.88253489787154;22752711.0;0.9493977070959252;0.0;1016291.0;1016291.0;56912296.0;53698942.0;3213354.0;0.9435384929822547;4184656.0;4215756.0;53698942.0;53510684.0;0.0;0.0;0.0;188397004822.0485;3508.393234675806;187743513695.43076;0.0;0.0;321961460.0;453300.0;0.0;0.0;4331.167807899998;1747800.0;True;True;c044b3e7c199c373ade1c896a793a5897abaa34c
94_levy_v2_flood_destinations;94;v2;destinations;suppression;3;56;1331414;23965416.0;22752711.0;1212705.0;0.9493977070959252;22752711.0;17.089133057035603;2022088503.924858;88.8724206941695;22752711.0;0.9493977070959252;0.0;1016326.0;1016326.0;56914256.0;53706241.0;3208015.0;0.9436342451704894;4186112.0;4217772.0;53706241.0;53517262.0;0.0;0.0;0.0;188631361621.8332;3512.2801020803745;187967387030.8393;0.0;0.0;322021369.0;453388.0;0.0;0.0;4373.576516499976;1750724.0;True;True;c044b3e7c199c373ade1c896a793a5897abaa34c
94_levy_v2_flood_destinations;94;v2;destinations;suppression;4;56;1331414;23965416.0;22752711.0;1212705.0;0.9493977070959252;22752711.0;17.089133057035603;2022483014.2166152;88.88975973969059;22752711.0;0.9493977070959252;0.0;1016273.0;1016273.0;56911288.0;53697697.0;3213591.0;0.9435333285727078;4186224.0;4216767.0;53697697.0;53509902.0;0.0;0.0;0.0;187959659074.2959;3500.3299876025576;187321303038.67383;0.0;0.0;321973614.0;453362.0;0.0;0.0;4365.480429599993;1755356.0;True;True;c044b3e7c199c373ade1c896a793a5897abaa34c
94_levy_v2_flood_homes;94;v2;homes;suppression;0;56;1331414;23965416.0;23965415.0;1.0;0.999999958273205;23965415.0;17.99997220999629;4437015944.96878;185.14246237625258;23965415.0;0.999999958273205;0.0;1016303.0;1016303.0;56912968.0;53025092.0;3887876.0;0.9316873440865007;4185608.0;4641018.0;53025092.0;52772697.0;71481.0;0.0;27493.0;193764861824.83527;3654.2107616679905;192815183652.7564;44509018.35451301;110239588.28706709;318461486.0;453304.0;0.0;0.0;9172.783464900043;2360156.0;True;True;c044b3e7c199c373ade1c896a793a5897abaa34c
94_levy_v2_flood_homes;94;v2;homes;suppression;1;56;1331414;23965416.0;23965416.0;0.0;1.0;23965416.0;17.99997296107747;4440300743.730882;185.279518775342;23965416.0;1.0;0.0;1016281.0;1016281.0;56911736.0;53008611.0;3903125.0;0.9314179240640279;4186336.0;4649504.0;53008611.0;52756554.0;71205.0;0.0;26744.0;193713491025.88867;3654.3777958243177;192746713893.36896;41881123.692198396;110532313.91499136;318326227.0;453347.0;0.0;0.0;9217.589196100016;2377308.0;True;True;c044b3e7c199c373ade1c896a793a5897abaa34c
94_levy_v2_flood_homes;94;v2;homes;suppression;2;56;1331414;23965416.0;23965414.0;2.0;0.9999999165464101;23965414.0;17.99997145891511;4440879817.321429;185.30369712459085;23965414.0;0.9999999165464101;0.0;1016291.0;1016291.0;56912296.0;53016484.0;3895812.0;0.9315470948492396;4184656.0;4648244.0;53016484.0;52764095.0;71392.0;0.0;26578.0;193563975942.21698;3651.014954937732;192597859523.93115;42975370.016921535;103400914.46375352;318402196.0;453300.0;0.0;0.0;9377.65036790003;2136556.0;True;True;c044b3e7c199c373ade1c896a793a5897abaa34c
94_levy_v2_flood_homes;94;v2;homes;suppression;3;56;1331414;23965416.0;23965411.0;5.0;0.9999997913660251;23965411.0;17.999969205671565;4450518547.146407;185.70591370815242;23965411.0;0.9999997913660251;0.0;1016326.0;1016326.0;56914256.0;53019140.0;3895116.0;0.9315616811366206;4186112.0;4639187.0;53019140.0;52766776.0;71358.0;0.0;26955.0;194043247446.85065;3659.871651008497;193112525442.73087;46840377.975238524;100391549.69034496;318394217.0;453388.0;0.0;0.0;9380.835487400007;1933860.0;True;True;c044b3e7c199c373ade1c896a793a5897abaa34c
94_levy_v2_flood_homes;94;v2;homes;suppression;4;56;1331414;23965416.0;23965415.0;1.0;0.999999958273205;23965415.0;17.99997220999629;4476240456.993704;186.77917561593253;23965415.0;0.999999958273205;0.0;1016273.0;1016273.0;56911288.0;53028913.0;3882375.0;0.9317819867299436;4186224.0;4649954.0;53028913.0;52776416.0;71424.0;0.0;27259.0;193651224011.32092;3651.8045167420446;192697543517.97604;44946751.21270479;109933956.49034882;318511340.0;453362.0;0.0;0.0;9370.316687700048;2041484.0;True;True;c044b3e7c199c373ade1c896a793a5897abaa34c
94_levy_v2_flood_all;94;v2;all;suppression;0;56;1331414;23965416.0;22752711.0;1212705.0;0.9493977070959252;22752711.0;17.089133057035603;2107155657.8947697;92.61119072337225;22752711.0;0.9493977070959252;0.0;1016303.0;1016303.0;56912968.0;51399245.0;5513723.0;0.9031200938246623;4185608.0;4394260.0;51399245.0;51175233.0;46398.0;0.0;15734.0;175844664923.3885;3421.1526827561083;175009238869.75024;6184884.690449094;74608412.21748064;308651210.0;449281.0;0.0;0.0;4582.133134100004;1684584.0;True;True;c044b3e7c199c373ade1c896a793a5897abaa34c
94_levy_v2_flood_all;94;v2;all;suppression;1;56;1331414;23965416.0;22752711.0;1212705.0;0.9493977070959252;22752711.0;17.089133057035603;2099567374.6775415;92.2776795555282;22752711.0;0.9493977070959252;0.0;1016281.0;1016281.0;56911736.0;51389474.0;5522262.0;0.90296795725929;4186336.0;4402391.0;51389474.0;51165366.0;47109.0;0.0;16052.0;175986728878.86633;3424.567624079327;175125658053.39114;6596236.277419304;78057129.15898871;308548482.0;449070.0;0.0;0.0;4722.193130699976;1878576.0;True;True;c044b3e7c199c373ade1c896a793a5897abaa34c
94_levy_v2_flood_all;94;v2;all;suppression;2;56;1331414;23965416.0;22752711.0;1212705.0;0.9493977070959252;22752711.0;17.089133057035603;2095363091.2184978;92.09289790647355;22752711.0;0.9493977070959252;0.0;1016291.0;1016291.0;56912296.0;51399608.0;5512688.0;0.9031371357781806;4184656.0;4405206.0;51399608.0;51175671.0;47080.0;0.0;16321.0;176086921710.0357;3425.8417245134574;175248096825.34824;6727412.164775228;77141672.70393907;308595296.0;449372.0;0.0;0.0;4728.090668399993;1898132.0;True;True;c044b3e7c199c373ade1c896a793a5897abaa34c
