scenario;seed;group;original_population;cycle_attendance_rate;exact_cycle_demand;requested;fulfilled;unmet;fulfillment_rate;packet_count;actual_blob_fragments;departures;population_moved;returns;population_returned;temporary_returns;return_blocked;repatriations;occupancy;outbound_traveler_distance;return_traveler_distance;temporary_home_traveler_distance;repatriation_traveler_distance;destination_reroutes;rerouted_fulfilled;receiving_load;mean_outbound_distance;mean_return_distance
94_levy_v2_flood_destinations;3;student;289432;1.0;289432;16208192.0;15322054.0;886138.0;0.945327770056031;549920.0;718289.0;518361.0;15322054.0;518361.0;15322054.0;0.0;0.0;0.0;15322054.0;53940143670.622055;53940143670.622055;0.0;0.0;0.0;0.0;396;3520.4251121045554;3520.4251121045554
94_levy_v2_flood_destinations;4;worker;726817;1.0;726817;40701752.0;38378288.0;2323464.0;0.9429148897570797;3635912.0;3498723.0;3419220.0;38378288.0;3398918.0;38190493.0;0.0;0.0;0.0;306654205.0;134491508127.80472;133853152092.18262;0.0;0.0;0.0;0.0;1063;3504.3644502278144;3504.8814921604344
94_levy_v2_flood_destinations;4;student;289456;1.0;289456;16209536.0;15319409.0;890127.0;0.9450862134486762;550312.0;718044.0;518771.0;15319409.0;518771.0;15319409.0;0.0;0.0;0.0;15319409.0;53468150946.491196;53468150946.491196;0.0;0.0;0.0;0.0;374;3490.2228242937567;3490.2228242937567
94_levy_v2_flood_homes;0;worker;726829;1.0;726829;40702424.0;37876856.0;2825568.0;0.9305798593223834;3636080.0;3880882.0;3357821.0;37876856.0;3759919.0;37637650.0;58292.0;0.0;23774.0;302658715.0;138477732464.5746;137583078914.08505;36423463.240465574;96970166.83604468;0.0;0.0;1011;3655.998598842908;3655.4641141007755
94_levy_v2_flood_homes;0;student;289474;1.0;289474;16210544.0;15148236.0;1062308.0;0.9344680844763754;549528.0;760136.0;511237.0;15148236.0;551590.0;15135047.0;13189.0;0.0;3719.0;15802771.0;55287129360.260666;55232104738.67134;8085555.114047439;13269421.451022394;0.0;0.0;404;3649.740429199853;3649.285313661156
94_levy_v2_flood_homes;1;worker;726828;1.0;726828;40702368.0;37859928.0;2842440.0;0.9301652424743445;3636304.0;3888527.0;3356997.0;37859928.0;3767832.0;37621157.0;57919.0;0.0;22995.0;302523267.0;138388249013.2812;137475656927.56094;33451150.97267737;95627947.05431812;0.0;0.0;873;3655.2697356762324;3654.2112973176486
94_levy_v2_flood_homes;1;student;289453;1.0;289453;16209368.0;15148683.0;1060685.0;0.934563457378474;550032.0;760977.0;511842.0;15148683.0;552585.0;15135397.0;13286.0;0.0;3749.0;15802960.0;55325242012.607475;55271056965.80802;8429972.71952103;14904366.860673245;0.0;0.0;491;3652.1486397601348;3651.7745101636924
94_levy_v2_flood_homes;2;worker;726827;1.0;726827;40702312.0;37869715.0;2832597.0;0.9304069754071955;3635352.0;3888998.0;3357645.0;37869715.0;3768638.0;37630552.0;58166.0;0.0;22961.0;302601179.0;138380368056.62375;137470108027.95306;35103632.1279787;89344817.26737854;0.0;0.0;932;3654.116965406889;3653.1515144384025
94_levy_v2_flood_homes;2;student;289464;1.0;289464;16209984.0;15146769.0;1063215.0;0.9344098674002392;549304.0;759246.0;511154.0;15146769.0;550712.0;15133543.0;13226.0;0.0;3617.0;15801017.0;55183607885.59323;55127751495.97807;7871737.88894284;14056097.196374979;0.0;0.0;381;3643.259356869655;3642.7524933175314
94_levy_v2_flood_homes;3;worker;726894;1.0;726894;40706064.0;37868124.0;2837940.0;0.9302821319201975;3636192.0;3878349.0;3356620.0;37868124.0;3757169.0;37629001.0;58117.0;0.0;23170.0;302588699.0;138739159113.13943;137856596888.66986;37637102.38819545;87315986.91528727;0.0;0.0;1000;3663.7452415952644;3663.573127776362
94_levy_v2_flood_homes;3;student;289432;1.0;289432;16208192.0;15151016.0;1057176.0;0.9347752050321221;549920.0;760838.0;511950.0;15151016.0;553003.0;15137775.0;13241.0;0.0;3785.0;15805518.0;55304088333.71123;55255928554.061005;9203275.587043079;13075562.775057696;0.0;0.0;406;3650.1900818869985;3650.2014697708883
94_levy_v2_flood_homes;4;worker;726817;1.0;726817;40701752.0;37883465.0;2818287.0;0.9307575998202731;3635912.0;3888424.0;3358036.0;37883465.0;3767733.0;37644236.0;58156.0;0.0;23423.0;302711551.0;138425156107.74323;137530438320.83734;35104502.11623192;93138408.77694333;0.0;0.0;1019;3653.9729432812765;3653.4262063609776
94_levy_v2_flood_homes;4;student;289456;1.0;289456;16209536.0;15145448.0;1064088.0;0.9343541974304508;550312.0;761530.0;512056.0;15145448.0;552599.0;15132180.0;13268.0;0.0;3836.0;15799789.0;55226067903.577705;55167105197.1387;9842249.096472872;16795547.713405486;0.0;0.0;430;3646.3806091161982;3645.6812697931628
94_levy_v2_flood_all;0;worker;726829;1.0;726829;40702424.0;36710314.0;3992110.0;0.9019196006606388;3636080.0;3678241.0;3245159.0;36710314.0;3572230.0;36495387.0;37313.0;0.0;13476.0;293333569.0;125644821013.94666;124850880533.5936;4942437.463982343;64081407.918101795;0.0;0.0;873;3422.6027326801577;3421.0044281375503
94_levy_v2_flood_all;0;student;289474;1.0;289474;16210544.0;14688931.0;1521613.0;0.9061343653858871;549528.0;716019.0;495200.0;14688931.0;524687.0;14679846.0;9085.0;0.0;2258.0;15317641.0;50199843909.44184;50158358336.15665;1242447.2264667517;10527004.299378846;0.0;0.0;406;3417.5287438848914;3416.817747008834
94_levy_v2_flood_all;1;worker;726828;1.0;726828;40702368.0;36696720.0;4005648.0;0.9015868560767767;3636304.0;3687058.0;3244499.0;36696720.0;3581516.0;36481440.0;38281.0;0.0;13920.0;293225953.0;125729126802.88908;124913240669.7175;5237575.845283142;67199497.0018995;0.0;0.0;985;3426.167973674189;3424.021657854446
94_levy_v2_flood_all;1;student;289453;1.0;289453;16209368.0;14692754.0;1516614.0;0.9064359572809995;550032.0;715333.0;495620.0;14692754.0;524808.0;14683926.0;8828.0;0.0;2132.0;15322529.0;50257602075.977264;50212417383.67365;1358660.432136161;10857632.157089213;0.0;0.0;408;3420.5705802994635;3419.549879485476
94_levy_v2_flood_all;2;worker;726827;1.0;726827;40702312.0;36701479.0;4000833.0;0.9017050186240034;3635352.0;3689527.0;3243968.0;36701479.0;3583229.0;36486136.0;38486.0;0.0;14041.0;293265008.0;125965161350.75847;125169241635.54788;5347112.241087689;66986132.742636904;0.0;0.0;844;3432.1549099086296;3430.597354445751
94_levy_v2_flood_all;2;student;289464;1.0;289464;16209984.0;14698129.0;1511855.0;0.9067330973306328;549304.0;715679.0;495328.0;14698129.0;523656.0;14689535.0;8594.0;0.0;2280.0;15330288.0;50121760359.277245;50078855189.80036;1380299.9236875393;10155539.96130216;0.0;0.0;376;3410.07759281996;3409.151834268434
94_levy_v2_flood_all;3;worker;726894;1.0;726894;40706064.0;36713481.0;3992583.0;0.9019167512732256;3636192.0;3683941.0;3244753.0;36713481.0;3577900.0;36498803.0;37707.0;0.0;13838.0;293359690.0;125818387828.8608;125013312248.169;4933150.20956851;66831349.52476667;0.0;0.0;1000;3427.0350945163927;3425.1345790208243
94_levy_v2_flood_all;3;student;289432;1.0;289432;16208192.0;14697849.0;1510343.0;0.9068160717740757;549920.0;718303.0;495592.0;14697849.0;527089.0;14689148.0;8701.0;0.0;2365.0;15327438.0;50277549597.850174;50230102975.42817;1232044.1148264112;11857196.81704537;0.0;0.0;381;3420.7420145526175;3419.5382179707203
94_levy_v2_flood_all;4;worker;726817;1.0;726817;40701752.0;36698503.0;4003249.0;0.9016443075963905;3635912.0;3688142.0;3244811.0;36698503.0;3582447.0;36483546.0;38311.0;0.0;14024.0;293241506.0;125671482966.19775;124872591394.80272;5355330.322133454;66623275.26870569;0.0;0.0;794;3424.4307721815726;3422.7098263639923
94_levy_v2_flood_all;4;student;289456;1.0;289456;16209536.0;14703631.0;1505905.0;0.9070975874941762;550312.0;718584.0;496213.0;14703631.0;526318.0;14695196.0;8435.0;0.0;2109.0;15334797.0;50208678528.7566;50162408756.958015;1160851.9136617265;10962621.641174337;0.0;0.0;380;3414.712905183529;3413.5243080090945
94_levy_v2_flood_all_pt_reroute;0;worker;726829;1.0;726829;40702424.0;36685414.0;4017010.0;0.9013078434837198;3636080.0;3681827.0;3243731.0;36685414.0;3573119.0;36471165.0;37252.0;0.0;13616.0;293135125.0;125600350334.92981;124796245210.6446;4921393.243712057;63094728.264266655;0.0;0.0;913;3423.713586411477;3421.7784161993345
94_levy_v2_flood_all_pt_reroute;0;student;289474;1.0;289474;16210544.0;14695249.0;1515295.0;0.9065241117139561;549528.0;721872.0;495442.0;14695249.0;525242.0;14686589.0;8660.0;0.0;2140.0;15324583.0;50292244741.35876;50252248552.052376;1230841.0289558673;9817990.686131747;0.0;0.0;362;3422.347232180874;3421.641917810349
94_levy_v2_flood_all_pt_reroute;1;worker;726828;1.0;726828;40702368.0;36647632.0;4054736.0;0.9003808328793057;3636304.0;3695754.0;3241040.0;36647632.0;3586267.0;36433017.0;38372.0;0.0;13850.0;292832915.0;125569846987.69553;124764806711.87903;5205823.455727147;68368867.84617622;0.0;0.0;804;3426.410933936892;3424.4983530153168
94_levy_v2_flood_all_pt_reroute;1;student;289453;1.0;289453;16209368.0;14676145.0;1533223.0;0.905411302895955;550032.0;721472.0;495270.0;14676145.0;526518.0;14667376.0;8769.0;0.0;2112.0;15305837.0;50062392177.04722;50017379695.773254;1221913.297400678;9712062.087113611;0.0;0.0;369;3411.140471632518;3410.1109629816033
94_levy_v2_flood_all_pt_reroute;2;worker;726827;1.0;726827;40702312.0;36663644.0;4038668.0;0.9007754645485495;3635352.0;3694700.0;3242375.0;36663644.0;3585587.0;36448207.0;38660.0;0.0;14395.0;292961581.0;125770369296.23888;124972856469.98134;5302971.847526538;67393854.71056463;0.0;0.0;1114;3430.3837691703225;3428.7792666997675
94_levy_v2_flood_all_pt_reroute;2;student;289464;1.0;289464;16209984.0;14691911.0;1518073.0;0.9063495065757005;549304.0;721374.0;494886.0;14691911.0;525146.0;14683400.0;8511.0;0.0;2201.0;15324557.0;50020348211.30191;49973172818.46945;1285055.4932539181;13274794.601242948;0.0;0.0;391;3404.618242739281;3403.378837222268
94_levy_v2_flood_all_pt_reroute;3;worker;726894;1.0;726894;40706064.0;36682692.0;4023372.0;0.9011603774808589;3636192.0;3688400.0;3243015.0;36682692.0;3578283.0;36468256.0;38294.0;0.0;14145.0;293114666.0;125594652557.7083;124783097467.72577;5006859.221135635;69904552.15536886;0.0;0.0;821;3423.812313384969;3421.6908389511627
94_levy_v2_flood_all_pt_reroute;3;student;289432;1.0;289432;16208192.0;14682717.0;1525475.0;0.9058824698029243;549920.0;722971.0;495160.0;14682717.0;526605.0;14674453.0;8264.0;0.0;2040.0;15313226.0;50209250829.56568;50161461854.45386;1273572.5863797877;10671711.481458021;0.0;0.0;372;3419.6157856591312;3418.2849510270576
94_levy_v2_flood_all_pt_reroute;4;worker;726817;1.0;726817;40701752.0;36674005.0;4027747.0;0.9010424170438658;3635912.0;3691372.0;3242866.0;36674005.0;3581825.0;36459362.0;38117.0;0.0;14029.0;293044685.0;125751389166.93564;124928548883.0007;5266169.560017733;69416112.91074574;0.0;0.0;989;3428.897093920766;3426.51494787541
94_levy_v2_flood_all_pt_reroute;4;student;289456;1.0;289456;16209536.0;14681027.0;1528509.0;0.905703099706247;550312.0;723372.0;495696.0;14681027.0;527718.0;14672422.0;8605.0;0.0;2185.0;15311324.0;50153591989.283005;50107467208.01251;1186667.0860798124;9946473.870776623;0.0;0.0;398;3416.218224330151;3415.0781110311927
