contrast;metric;n;mean;standard_deviation;ci95_lower;ci95_upper;inferential
13_levy_v2_flood_all_pt_reroute_minus_13_levy_v2_flood_none;pt_mean_distance_per_traveler;5;0.07305452627320505;0.365961217840756;-0.3813463426584668;0.5274553952048768;True
13_levy_v2_flood_all_pt_reroute_minus_13_levy_v2_flood_none;pt_rerouted_fulfilled;5;169736.0;0.0;169736.0;169736.0;True
13_levy_v2_flood_all_pt_reroute_minus_13_levy_v2_flood_none;levy_fulfillment_rate;5;-0.1523836926473709;0.00048498587616339716;-0.15298588214944028;-0.1517815031453015;True
13_levy_v2_flood_all_pt_reroute_minus_13_levy_v2_flood_none;levy_unmet;5;1040773.0;3288.469248753894;1036689.8261246221;1044856.1738753779;True
13_levy_v2_flood_all_pt_reroute_minus_13_levy_v2_flood_none;levy_population_moved;5;-1040773.0;3288.469248753894;-1044856.1738753779;-1036689.8261246221;True
13_levy_v2_flood_all_pt_reroute_minus_13_levy_v2_flood_none;levy_packet_count;5;0.0;0.0;0.0;0.0;True
13_levy_v2_flood_all_pt_reroute_minus_13_levy_v2_flood_none;levy_actual_blob_fragments;5;-20083.4;2756.8789055742004;-23506.51728445888;-16660.28271554112;True
13_levy_v2_flood_all_pt_reroute_minus_13_levy_v2_flood_none;levy_mean_outbound_distance;5;-46.681799733077334;2.9522527338381233;-50.34750566628277;-43.016093799871896;True
13_levy_v2_flood_all_pt_reroute_minus_13_levy_v2_flood_none;levy_occupancy_person_hours;5;-6389581.0;28518.83262863331;-6424991.807745772;-6354170.192254228;True
13_levy_v2_flood_all_pt_reroute_minus_13_levy_v2_flood_none;levy_temporary_returns;5;13076.6;173.63121839116374;12861.008367159437;13292.191632840564;True
13_levy_v2_flood_all_pt_reroute_minus_13_levy_v2_flood_none;levy_return_blocked;5;0.0;0.0;0.0;0.0;True
13_levy_v2_flood_all_pt_reroute_minus_13_levy_v2_flood_none;levy_repatriations;5;5560.8;148.32632942266184;5376.628536770169;5744.971463229831;True
94_levy_v2_flood_destinations_minus_94_levy_v2_flood_none;pt_fulfillment_rate;5;-0.05060229290407481;0.0;-0.05060229290407481;-0.05060229290407481;True
94_levy_v2_flood_destinations_minus_94_levy_v2_flood_none;pt_unmet;5;1212705.0;0.0;1212705.0;1212705.0;True
94_levy_v2_flood_destinations_minus_94_levy_v2_flood_none;pt_mean_distance_per_traveler;5;-1.1395326078365542;0.01537445845477184;-1.158622519391724;-1.1204426962813845;True
94_levy_v2_flood_destinations_minus_94_levy_v2_flood_none;pt_rerouted_fulfilled;5;0.0;0.0;0.0;0.0;True
94_levy_v2_flood_destinations_minus_94_levy_v2_flood_none;levy_fulfillment_rate;5;-0.05637098229080071;7.447585772544539e-05;-0.05646345628207374;-0.05627850829952768;True
94_levy_v2_flood_destinations_minus_94_levy_v2_flood_none;levy_unmet;5;3208214.0;4214.707878370695;3202980.7489644815;3213447.2510355185;True
94_levy_v2_flood_destinations_minus_94_levy_v2_flood_none;levy_population_moved;5;-3208214.0;4214.707878370695;-3213447.2510355185;-3202980.7489644815;True
94_levy_v2_flood_destinations_minus_94_levy_v2_flood_none;levy_packet_count;5;0.0;0.0;0.0;0.0;True
94_levy_v2_flood_destinations_minus_94_levy_v2_flood_none;levy_actual_blob_fragments;5;-288847.0;598.0810981798371;-289589.6157676161;-288104.3842323839;True
94_levy_v2_flood_destinations_minus_94_levy_v2_flood_none;levy_mean_outbound_distance;5;-182.59020573241168;3.6748652776215676;-187.15315364588346;-178.0272578189399;True
94_levy_v2_flood_destinations_minus_94_levy_v2_flood_none;levy_occupancy_person_hours;5;-19445131.4;26106.28398106479;-19477546.63294617;-19412716.167053826;True
94_levy_v2_flood_destinations_minus_94_levy_v2_flood_none;levy_temporary_returns;5;0.0;0.0;0.0;0.0;True
94_levy_v2_flood_destinations_minus_94_levy_v2_flood_none;levy_return_blocked;5;0.0;0.0;0.0;0.0;True
94_levy_v2_flood_destinations_minus_94_levy_v2_flood_none;levy_repatriations;5;0.0;0.0;0.0;0.0;True
94_levy_v2_flood_homes_minus_94_levy_v2_flood_none;pt_fulfillment_rate;5;-7.510823096801289e-08;8.026309269053123e-08;-1.747680235463372e-07;2.4551561610311435e-08;True
94_levy_v2_flood_homes_minus_94_levy_v2_flood_none;pt_unmet;5;1.8;1.9235384061671346;-0.5883883880999805;4.18838838809998;True
94_levy_v2_flood_homes_minus_94_levy_v2_flood_none;pt_mean_distance_per_traveler;5;95.62560645112623;0.6743383108252691;94.78830484796495;96.46290805428751;True
94_levy_v2_flood_homes_minus_94_levy_v2_flood_none;pt_rerouted_fulfilled;5;0.0;0.0;0.0;0.0;True
94_levy_v2_flood_homes_minus_94_levy_v2_flood_none;levy_fulfillment_rate;5;-0.06838571102100577;0.00013995021718978245;-0.06855948216723112;-0.06821193987478041;True
94_levy_v2_flood_homes_minus_94_levy_v2_flood_none;levy_unmet;5;3892002.4;7977.242242780396;3882097.3455021894;3901907.4544978105;True
94_levy_v2_flood_homes_minus_94_levy_v2_flood_none;levy_population_moved;5;-3892002.4;7977.242242780396;-3901907.4544978105;-3882097.3455021894;True
94_levy_v2_flood_homes_minus_94_levy_v2_flood_none;levy_packet_count;5;0.0;0.0;0.0;0.0;True
94_levy_v2_flood_homes_minus_94_levy_v2_flood_none;levy_actual_blob_fragments;5;139788.6;5199.250647929949;133332.8776528278;146244.32234717222;True
94_levy_v2_flood_homes_minus_94_levy_v2_flood_none;levy_mean_outbound_distance;5;-33.65234449379277;3.2756883430779467;-37.71964877872839;-29.58504020885714;True
94_levy_v2_flood_homes_minus_94_levy_v2_flood_none;levy_occupancy_person_hours;5;-23023636.6;75320.4462300908;-23117159.28641255;-22930113.913587455;True
94_levy_v2_flood_homes_minus_94_levy_v2_flood_none;levy_temporary_returns;5;71372.0;103.76656494266349;71243.15679209342;71500.84320790658;True
94_levy_v2_flood_homes_minus_94_levy_v2_flood_none;levy_return_blocked;5;0.0;0.0;0.0;0.0;True
94_levy_v2_flood_homes_minus_94_levy_v2_flood_none;levy_repatriations;5;27005.8;372.69518376281707;26543.037808017772;27468.562191982226;True
94_levy_v2_flood_all_minus_94_levy_v2_flood_none;pt_fulfillment_rate;5;-0.05060229290407481;0.0;-0.05060229290407481;-0.05060229290407481;True
94_levy_v2_flood_all_minus_94_levy_v2_flood_none;pt_unmet;5;1212705.0;0.0;1212705.0;1212705.0;True
94_levy_v2_flood_all_minus_94_levy_v2_flood_none;pt_mean_distance_per_traveler;5;2.353269375660497;0.19464311937851222;2.111588021830121;2.594950729490873;True
94_levy_v2_flood_all_minus_94_levy_v2_flood_none;pt_rerouted_fulfilled;5;0.0;0.0;0.0;0.0;True
94_levy_v2_flood_all_minus_94_levy_v2_flood_none;levy_fulfillment_rate;5;-0.0968379779214505;0.00012490470041613734;-0.09699306759116365;-0.09668288825173736;True
94_levy_v2_flood_all_minus_94_levy_v2_flood_none;levy_unmet;5;5511292.2;7040.797376718066;5502549.895378682;5520034.504621319;True
94_levy_v2_flood_all_minus_94_levy_v2_flood_none;levy_population_moved;5;-5511292.2;7040.797376718066;-5520034.504621319;-5502549.895378682;True
94_levy_v2_flood_all_minus_94_levy_v2_flood_none;levy_packet_count;5;0.0;0.0;0.0;0.0;True
94_levy_v2_flood_all_minus_94_levy_v2_flood_none;levy_actual_blob_fragments;5;-103627.4;4831.347565638391;-109626.31033506258;-97628.48966493741;True
94_levy_v2_flood_all_minus_94_levy_v2_flood_none;levy_mean_outbound_distance;5;-264.2184843970179;0.6920052916680003;-265.07772245424854;-263.35924633978726;True
94_levy_v2_flood_all_minus_94_levy_v2_flood_none;levy_occupancy_person_hours;5;-32831046.0;46697.05807649985;-32889028.05583562;-32773063.94416438;True
94_levy_v2_flood_all_minus_94_levy_v2_flood_none;levy_temporary_returns;5;46748.2;345.9222455986316;46318.680801462375;47177.71919853762;True
94_levy_v2_flood_all_minus_94_levy_v2_flood_none;levy_return_blocked;5;0.0;0.0;0.0;0.0;True
94_levy_v2_flood_all_minus_94_levy_v2_flood_none;levy_repatriations;5;16088.6;221.44367229613945;15813.641364479852;16363.558635520149;True
94_levy_v2_flood_all_pt_reroute_minus_94_levy_v2_flood_none;pt_fulfillment_rate;5;-6.926647966309929e-07;8.740742725609027e-07;-1.7779713526260099e-06;3.926417593640241e-07;True
94_levy_v2_flood_all_pt_reroute_minus_94_levy_v2_flood_none;pt_unmet;5;16.6;20.94755355644186;-9.409823101479077;42.60982310147908;True
94_levy_v2_flood_all_pt_reroute_minus_94_levy_v2_flood_none;pt_mean_distance_per_traveler;5;16.029337194372836;0.6167062334125774;15.26359526687659;16.79507912186908;True
94_levy_v2_flood_all_pt_reroute_minus_94_levy_v2_flood_none;pt_rerouted_fulfilled;5;1212688.4;20.94755355644186;1212662.3901768983;1212714.4098231015;True
94_levy_v2_flood_all_pt_reroute_minus_94_levy_v2_flood_none;levy_fulfillment_rate;5;-0.09761585790675811;0.0003556628067453553;-0.09805747160939392;-0.09717424420412231;True
94_levy_v2_flood_all_pt_reroute_minus_94_levy_v2_flood_none;levy_unmet;5;5555563.2;20182.751712786838;5530503.003813547;5580623.396186453;True
94_levy_v2_flood_all_pt_reroute_minus_94_levy_v2_flood_none;levy_population_moved;5;-5555563.2;20182.751712786838;-5580623.396186453;-5530503.003813547;True
94_levy_v2_flood_all_pt_reroute_minus_94_levy_v2_flood_none;levy_packet_count;5;0.0;0.0;0.0;0.0;True
94_levy_v2_flood_all_pt_reroute_minus_94_levy_v2_flood_none;levy_actual_blob_fragments;5;-93170.0;5582.410724767571;-100101.47842013047;-86238.52157986953;True
94_levy_v2_flood_all_pt_reroute_minus_94_levy_v2_flood_none;levy_mean_outbound_distance;5;-264.65525865543606;2.537269375776383;-267.80569469308256;-261.50482261778956;True
94_levy_v2_flood_all_pt_reroute_minus_94_levy_v2_flood_none;levy_occupancy_person_hours;5;-33109030.0;123163.8650375994;-33261958.137096815;-32956101.862903185;True
94_levy_v2_flood_all_pt_reroute_minus_94_levy_v2_flood_none;levy_temporary_returns;5;46700.8;514.273954230622;46062.24454581795;47339.355454182056;True
94_levy_v2_flood_all_pt_reroute_minus_94_levy_v2_flood_none;levy_return_blocked;5;0.0;0.0;0.0;0.0;True
94_levy_v2_flood_all_pt_reroute_minus_94_levy_v2_flood_none;levy_repatriations;5;16142.6;314.0633694017817;15752.638821059238;16532.561178940763;True
