Simulation_Step,Cycle_Step,Cycle,age,occupation
0,0,0,0.20164331973005342,0.22094119939683926
1,1,0,0.20164331973005342,0.22094119939683926
2,2,0,0.20164331973005342,0.22094119939683926
3,3,0,0.20164331973005342,0.22094119939683926
4,4,0,0.20164331973005342,0.22094119939683926
5,5,0,0.20164331973005342,0.22094119939683926
6,6,0,0.20164331973005342,0.22094119939683926
7,7,0,0.20164331973005342,0.22094119939683926
8,8,0,0.20164331973005342,0.22094119939683926
9,9,0,0.20164331973005342,0.22094119939683926
10,10,0,0.20164331973005342,0.22094119939683926
11,11,0,0.20164331973005342,0.22094119939683926
12,12,0,0.20164331973005342,0.22094119939683926
13,13,0,0.20164331973005342,0.22094119939683926
14,14,0,0.20164331973005342,0.22094119939683926
15,15,0,0.20164331973005342,0.22094119939683926
16,16,0,0.20164331973005342,0.22094119939683926
17,17,0,0.20164331973005342,0.22094119939683926
18,18,0,0.20164331973005342,0.22094119939683926
19,19,0,0.20164331973005342,0.22094119939683926
20,20,0,0.20164331973005342,0.22094119939683926
21,21,0,0.20164331973005342,0.22094119939683926
22,22,0,0.20164331973005342,0.22094119939683926
23,23,0,0.20164331973005342,0.22094119939683926
