Simulation_Step,Cycle_Step,Cycle,Region,age,occupation
0,0,0,Aberta dos Morros,0.24496433067561896,0.22100993145894532
0,0,0,Agronomia,0.2294079794079794,0.22165022165022166
0,0,0,Anchieta,0.24296394019349166,0.27030196423336267
0,0,0,Arquipélago,0.25241336633663364,0.20717821782178217
0,0,0,Auxiliadora,0.24834761953939893,0.22093703741953252
0,0,0,Azenha,0.19585171481428776,0.2288316493524975
0,0,0,Bela Vista,0.24763230040707818,0.23017916978206088
0,0,0,Belém Novo,0.21475247524752475,0.22092409240924094
0,0,0,Belém Velho,0.2483467170524327,0.21048653755314123
0,0,0,Boa Vista,0.21166165194603515,0.23184185835840693
0,0,0,Boa Vista do Sul,0.23722390645300995,0.22116356286992928
0,0,0,Bom Fim,0.2213038878603544,0.2111140497810691
0,0,0,Bom Jesus,0.23015831134564643,0.21699208443271767
0,0,0,Camaquã,0.21453705740048384,0.2270361410453779
0,0,0,Campo Novo,0.25079853981291356,0.22092934823940985
0,0,0,Cascata,0.25101856930188826,0.21222805505497663
0,0,0,Cavalhada,0.2126608416669511,0.22089491108911566
0,0,0,Centro Histórico,0.25135362925882415,0.22090548432684612
0,0,0,Chácara das Pedras,0.22976293726510552,0.23715910185988243
0,0,0,Chapéu do Sol,0.25720906282183315,0.22130678567341802
0,0,0,Cidade Baixa,0.2589893581862648,0.21354132240509396
0,0,0,Cel. Aparício Borges,0.23695743452474677,0.21508423870256652
0,0,0,Costa e Silva,0.2716256524981357,0.22789792029165631
0,0,0,Cristal,0.22055712270803948,0.2101978886181989
0,0,0,Cristo Redentor,0.222956548161653,0.22092575711536513
0,0,0,Espírito Santo,0.21459150909739566,0.22107266024497563
0,0,0,Extrema,0.22602221100454317,0.22143698468786807
0,0,0,Farrapos,0.24489097229537554,0.22089961023912358
0,0,0,Farroupilha,0.28839801816680427,0.3137902559867878
0,0,0,Floresta,0.1909927401654567,0.23040126062243232
0,0,0,Glória,0.19413391211274306,0.21430695129928048
0,0,0,Guarujá,0.24480357514030346,0.22115984202868427
0,0,0,Higienópolis,0.22598870056497175,0.23115242087357998
0,0,0,Hípica,0.2941137034057388,0.22093501385536785
0,0,0,Humaitá,0.272618201208674,0.21104396255480506
0,0,0,Independência,0.21788349020605444,0.20673280759772747
0,0,0,Ipanema,0.22366695804195805,0.22095959595959597
0,0,0,Jardim Botânico,0.2196110534302372,0.22096211697681228
0,0,0,Jardim Carvalho,0.23367843622035078,0.22949341986659455
0,0,0,Jardim do Salso,0.24570354457572502,0.24504117436448264
0,0,0,Jardim Leopoldina,0.2437277975133215,0.2209517465956187
0,0,0,Jardim Europa,0.25021748586341885,0.22096563723357981
0,0,0,Jardim Floresta,0.1982915028726943,0.2211470617881262
0,0,0,Jardim Isabel,0.2504862236628849,0.2573743922204214
0,0,0,Jardim Itú,0.2328600235254579,0.2209525943352191
0,0,0,Jardim Lindóia,0.2251639458629831,0.20538579600948792
0,0,0,Jardim Sabará,0.18497740963855422,0.2125
0,0,0,Jardim São Pedro,0.2196244013108142,0.22132593899672295
0,0,0,Lageado,0.2576991742914528,0.22123038012348434
0,0,0,Lami,0.2574609466076008,0.22103054325017488
0,0,0,Lomba do Pinheiro,0.2559717228982301,0.21896893436578171
0,0,0,Mário Quintana,0.28313569104837866,0.2209046069891909
0,0,0,Medianeira,0.17715851376637262,0.22097478392586653
0,0,0,Menino Deus,0.224126213592233,0.21009708737864077
0,0,0,Moinhos de Vento,0.24983589070320833,0.23008123410191186
0,0,0,Mont'Serrat,0.24279102883588466,0.2209564495075353
0,0,0,Morro Santana,0.23834330513719826,0.22096141943470188
0,0,0,Navegantes,0.1884099838225098,0.22109236576534935
0,0,0,Nonoai,0.21551585708550783,0.2164324902984076
0,0,0,Parque Santa Fé,0.24835319949811793,0.22103722291928063
0,0,0,Partenon,0.20241901993355482,0.22090254706533777
0,0,0,Passo D'Areia,0.05756904515034405,0.20517170955478053
0,0,0,Passo das Pedras,0.23042277203939468,0.24105212587076627
0,0,0,Pedra Redonda,0.30656934306569344,0.22384428223844283
0,0,0,Petrópolis,0.2425592063153403,0.22091245288386316
0,0,0,Pitinga,0.2587316176470588,0.22120098039215685
0,0,0,Ponta Grossa,0.2631019830028329,0.2079005350960025
0,0,0,Praia de Belas,0.18906181499342395,0.2209557211749233
0,0,0,Restinga,0.23896908367126754,0.2229621637709736
0,0,0,Rio Branco,0.23414237636187327,0.22090392257524766
0,0,0,Rubem Berta,0.17132477086348288,0.220935841775205
0,0,0,Santa Cecília,0.23978065802592224,0.23950371108895535
0,0,0,Santa Maria Goretti,0.2966879489225858,0.25059856344772546
0,0,0,Santa Rosa de Lima,0.23587722525684204,0.22088887631015386
0,0,0,Santa Tereza,0.22475330805734803,0.22371757852712984
0,0,0,Santana,0.22358997314234558,0.23144701503086273
0,0,0,Santo Antônio,0.1958213926109519,0.21232540727544988
