clinic_name;opening_step;closing_step;treatment_capacity_per_step
Centro de Diálise e Transplante (CDT);6;22;8
Hospital Moinhos de Vento;6;22;6
Santa Casa de Porto Alegre - Hospital Santa Clara;6;22;2
Vita Rim - hospital Beneficência Portuguesa;6;22;2
Hospital de Clínicas de Porto Alegre (HCPA);6;22;2
Instituto de Doenças Renais - IDR;6;22;2
Hospital Ernesto Dornelles - Centro de Nefrologia e Diálise;6;18;2
Hospital Mãe de Deus;6;18;2
