Frame;Hour;Node;Total;Locals;Outsiders;
22;22;Cidade Baixa//home;930;190;740;
22;22;Cidade Baixa//work;2770;20;2750;
22;22;Cidade Baixa//school;640;10;630;
22;22;Cidade Baixa//marketplace;890;0;890;
22;22;Cidade Baixa//pharmacy;580;0;580;
22;22;Cidade Baixa//gas_station;2290;30;2260;
22;22;Farroupilha//home;1940;0;1940;
22;22;Farroupilha//work;1610;10;1600;
22;22;Farroupilha//school;2550;0;2550;
22;22;Farroupilha//marketplace;970;0;970;
22;22;Farroupilha//pharmacy;1841;0;1841;
22;22;Farroupilha//gas_station;640;0;640;
22;22;Farroupilha//hospital;1460;0;1460;
22;22;Floresta//home;6340;120;6220;
22;22;Floresta//work;840;50;790;
22;22;Floresta//school;3390;40;3350;
22;22;Floresta//marketplace;23720;10;23710;
22;22;Floresta//pharmacy;580;0;580;
22;22;Floresta//gas_station;970;0;970;
22;22;Independência//home;1260;60;1200;
22;22;Independência//work;670;0;670;
22;22;Independência//school;1590;0;1590;
22;22;Independência//marketplace;1100;20;1080;
22;22;Independência//pharmacy;870;0;870;
22;22;Independência//gas_station;940;0;940;
22;22;Independência//hospital;1230;0;1230;
22;22;Independência//shopping_mall;870;0;870;
22;22;Menino Deus//home;1020;80;940;
22;22;Menino Deus//work;750;0;750;
22;22;Menino Deus//school;610;210;400;
22;22;Menino Deus//marketplace;1831;1010;821;
22;22;Menino Deus//pharmacy;700;10;690;
22;22;Menino Deus//gas_station;520;0;520;
22;22;Menino Deus//hospital;570;0;570;
22;22;Moinhos de Vento//home;1547;487;1060;
22;22;Moinhos de Vento//work;1410;0;1410;
22;22;Moinhos de Vento//school;880;70;810;
22;22;Moinhos de Vento//marketplace;730;40;690;
22;22;Moinhos de Vento//pharmacy;12183;20;12163;
22;22;Moinhos de Vento//gas_station;920;0;920;
22;22;Moinhos de Vento//hospital;670;50;620;
22;22;Moinhos de Vento//shopping_mall;1170;20;1150;
22;22;Praia de Belas//home;31192;110;31082;
22;22;Praia de Belas//work;1200;20;1180;
22;22;Praia de Belas//school;1400;30;1370;
22;22;Praia de Belas//marketplace;1910;0;1910;
22;22;Praia de Belas//pharmacy;390;0;390;
22;22;Praia de Belas//gas_station;1950;550;1400;
22;22;Praia de Belas//stadium;810;40;770;
22;22;Praia de Belas//shopping_mall;6350;50;6300;
22;22;Rio Branco//home;1130;0;1130;
