;Origin;Destination;Total;age: [children];age: [adults];age: [elders];occupation: [student];occupation: [worker]
0;Azenha;Azenha;2400;0;1180;576;0;2400
1;Azenha;Bom Fim;950;0;464;223;0;950
2;Azenha;Centro Histórico;2650;0;1304;595;0;2650
3;Azenha;Cidade Baixa;2350;0;1172;516;0;2350
4;Azenha;Farroupilha;1250;0;664;283;0;1250
5;Azenha;Floresta;650;0;337;148;0;650
6;Azenha;Independência;300;0;153;76;0;300
7;Azenha;Menino Deus;2300;0;1218;608;0;2300
8;Azenha;Moinhos de Vento;450;0;224;128;0;450
9;Azenha;Praia de Belas;350;0;177;93;0;350
10;Azenha;Rio Branco;1000;0;501;260;0;1000
11;Azenha;Santa Cecília;400;0;194;108;0;400
12;Azenha;Santana;2100;0;1056;531;0;2100
13;Bom Fim;Azenha;950;0;464;223;0;950
14;Bom Fim;Bom Fim;1800;0;820;416;0;1800
15;Bom Fim;Centro Histórico;1750;0;826;424;0;1750
16;Bom Fim;Cidade Baixa;1000;0;464;249;0;1000
17;Bom Fim;Farroupilha;1050;0;462;263;0;1050
18;Bom Fim;Floresta;700;0;344;173;0;700
19;Bom Fim;Independência;2650;0;1194;691;0;2650
20;Bom Fim;Menino Deus;950;0;444;253;0;950
21;Bom Fim;Moinhos de Vento;800;0;363;252;0;800
22;Bom Fim;Praia de Belas;400;0;162;112;0;400
23;Bom Fim;Rio Branco;3550;0;1805;931;0;3550
24;Bom Fim;Santa Cecília;1600;0;791;423;0;1600
25;Bom Fim;Santana;600;0;280;159;0;600
26;Centro Histórico;Azenha;2650;0;1304;595;0;2650
27;Centro Histórico;Bom Fim;1750;0;826;424;0;1750
28;Centro Histórico;Centro Histórico;2300;0;1120;508;0;2300
29;Centro Histórico;Cidade Baixa;1350;0;664;286;0;1350
30;Centro Histórico;Farroupilha;1200;0;599;273;0;1200
31;Centro Histórico;Floresta;2800;0;1406;658;0;2800
32;Centro Histórico;Independência;2000;0;956;495;0;2000
33;Centro Histórico;Menino Deus;2950;0;1466;742;0;2950
34;Centro Histórico;Moinhos de Vento;1450;0;704;381;0;1450
35;Centro Histórico;Praia de Belas;2000;0;1005;416;0;2000
36;Centro Histórico;Rio Branco;650;0;327;166;0;650
37;Centro Histórico;Santa Cecília;1650;0;844;373;0;1650
38;Centro Histórico;Santana;1150;0;575;291;0;1150
39;Cidade Baixa;Azenha;2350;0;1172;516;0;2350
40;Cidade Baixa;Bom Fim;1000;0;464;249;0;1000
41;Cidade Baixa;Centro Histórico;1350;0;664;286;0;1350
42;Cidade Baixa;Cidade Baixa;2000;0;980;424;0;2000
43;Cidade Baixa;Farroupilha;1550;0;711;341;0;1550
44;Cidade Baixa;Floresta;650;0;306;176;0;650
45;Cidade Baixa;Independência;1600;0;718;439;0;1600
46;Cidade Baixa;Menino Deus;3550;0;1752;884;0;3550
47;Cidade Baixa;Moinhos de Vento;250;0;122;61;0;250
48;Cidade Baixa;Praia de Belas;800;0;406;171;0;800
49;Cidade Baixa;Rio Branco;1400;0;690;311;0;1400
50;Cidade Baixa;Santa Cecília;1000;0;463;205;0;1000
51;Cidade Baixa;Santana;750;0;393;163;0;750
52;Farroupilha;Azenha;1250;0;664;283;0;1250
53;Farroupilha;Bom Fim;1050;0;462;263;0;1050
54;Farroupilha;Centro Histórico;1200;0;599;273;0;1200
55;Farroupilha;Cidade Baixa;1550;0;711;341;0;1550
56;Farroupilha;Farroupilha;100;0;36;54;0;100
57;Farroupilha;Floresta;350;0;181;80;0;350
58;Farroupilha;Independência;650;0;310;189;0;650
59;Farroupilha;Menino Deus;2850;0;1431;801;0;2850
60;Farroupilha;Moinhos de Vento;200;0;91;72;0;200
61;Farroupilha;Praia de Belas;200;0;103;55;0;200
62;Farroupilha;Rio Branco;750;0;367;222;0;750
63;Farroupilha;Santa Cecília;250;0;132;73;0;250
64;Farroupilha;Santana;250;0;119;72;0;250
65;Floresta;Azenha;650;0;337;148;0;650
66;Floresta;Bom Fim;700;0;344;173;0;700
67;Floresta;Centro Histórico;2800;0;1406;658;0;2800
68;Floresta;Cidade Baixa;650;0;306;176;0;650
69;Floresta;Farroupilha;350;0;181;80;0;350
70;Floresta;Floresta;2900;0;1436;764;0;2900
71;Floresta;Independência;1000;0;510;239;0;1000
72;Floresta;Menino Deus;900;0;466;229;0;900
73;Floresta;Moinhos de Vento;2450;0;1218;715;0;2450
74;Floresta;Praia de Belas;450;0;240;100;0;450
75;Floresta;Rio Branco;600;0;311;165;0;600
76;Floresta;Santa Cecília;400;0;208;103;0;400
77;Floresta;Santana;650;0;319;183;0;650
78;Independência;Azenha;300;0;153;76;0;300
79;Independência;Bom Fim;2650;0;1194;691;0;2650
80;Independência;Centro Histórico;2000;0;956;495;0;2000
81;Independência;Cidade Baixa;1600;0;718;439;0;1600
82;Independência;Farroupilha;650;0;310;189;0;650
83;Independência;Floresta;1000;0;510;239;0;1000
84;Independência;Independência;2100;0;924;596;0;2100
85;Independência;Menino Deus;550;0;273;175;0;550
86;Independência;Moinhos de Vento;350;0;152;131;0;350
87;Independência;Praia de Belas;250;0;127;58;0;250
88;Independência;Rio Branco;1750;0;906;440;0;1750
89;Independência;Santa Cecília;400;0;191;121;0;400
90;Independência;Santana;1400;0;661;382;0;1400
91;Menino Deus;Azenha;2300;0;1218;608;0;2300
92;Menino Deus;Bom Fim;950;0;444;253;0;950
93;Menino Deus;Centro Histórico;2950;0;1466;742;0;2950
94;Menino Deus;Cidade Baixa;3550;0;1752;884;0;3550
95;Menino Deus;Farroupilha;2850;0;1431;801;0;2850
