Simulation Frame;Blob Count
0;13
1;86
2;119
3;136
4;144
5;146
6;150
7;152
8;264
9;265
10;267
11;268
12;271
13;301
14;301
15;302
16;303
17;304
18;305
19;306
20;308
21;308
22;171
23;13
