local,multiplicador
Azenha//home_0,0.284
Azenha//home_1,0.271
Azenha//home_2,0.454
Azenha//home_3,0.202
Azenha//home_4,0.282
Azenha//home_5,0.445
Azenha//home_6,0.176
Azenha//home_7,0.307
Azenha//home_8,0.208
Azenha//home_9,0.254
Azenha//home_10,0.431
Azenha//home_11,0.209
Azenha//home_12,0.64
Azenha//home_13,0.387
Azenha//home_14,0.403
Azenha//home_15,0.32
Azenha//home_16,0.623
Azenha//home_17,0.628
Azenha//home_18,0.15
Azenha//home_19,0.383
Azenha//home_20,0.446
Azenha//home_21,0.264
Azenha//home_22,0.25
Azenha//home_23,0.603
Azenha//home_24,0.442
Azenha//home_25,0.08
Azenha//home_26,0.453
Azenha//home_27,0.357
Azenha//home_28,0.463
Azenha//home_29,0.435
Azenha//home_30,0.566
Azenha//home_31,0.331
Azenha//home_32,0.317
Bom Fim//home_0,0.147
Bom Fim//home_1,0.457
Bom Fim//home_2,0.431
Bom Fim//home_3,0.416
Bom Fim//home_4,0.299
Bom Fim//home_5,0.377
Bom Fim//home_6,0.414
Bom Fim//home_7,0.442
Bom Fim//home_8,0.245
Bom Fim//home_9,0.478
Bom Fim//home_10,0.341
Bom Fim//home_11,0.476
Bom Fim//home_12,0.387
Bom Fim//home_13,0.515
Bom Fim//home_14,0.193
Bom Fim//home_15,0.425
Bom Fim//home_16,0.461
Bom Fim//home_17,0.443
Bom Fim//home_18,0.419
Bom Fim//home_19,0.553
Bom Fim//home_20,0.512
Bom Fim//home_21,0.524
Bom Fim//home_22,0.459
Bom Fim//home_23,0.306
Bom Fim//home_24,0.224
Bom Fim//home_25,0.216
Centro Histórico//home_0,0.218
Centro Histórico//home_1,0.133
Centro Histórico//home_2,0.448
Centro Histórico//home_3,0.24
Centro Histórico//home_4,0.435
Centro Histórico//home_5,0.338
Centro Histórico//home_6,0.304
Centro Histórico//home_7,0.204
Centro Histórico//home_8,0.261
Centro Histórico//home_9,0.228
Centro Histórico//home_10,0.228
Centro Histórico//home_11,0.447
Centro Histórico//home_12,0.318
Centro Histórico//home_13,0.244
Centro Histórico//home_14,0.432
Centro Histórico//home_15,0.353
Centro Histórico//home_16,0.543
Centro Histórico//home_17,0.2
Centro Histórico//home_18,0.196
Centro Histórico//home_19,0.497
Centro Histórico//home_20,0.397
Centro Histórico//home_21,0.298
Centro Histórico//home_22,0.425
Centro Histórico//home_23,0.562
Centro Histórico//home_24,0.305
Centro Histórico//home_25,0.202
Centro Histórico//home_26,0.33
Centro Histórico//home_27,0.316
Centro Histórico//home_28,0.281
Centro Histórico//home_29,0.341
Centro Histórico//home_30,0.287
Centro Histórico//home_31,0.446
Centro Histórico//home_32,0.242
Centro Histórico//home_33,0.258
Centro Histórico//home_34,0.196
Centro Histórico//home_35,0.319
Centro Histórico//home_36,0.27
Centro Histórico//home_37,0.288
Centro Histórico//home_38,0.256
Centro Histórico//home_39,0.31
Centro Histórico//home_40,0.337
Centro Histórico//home_41,0.519
Centro Histórico//home_42,0.339
Centro Histórico//home_43,0.458
Centro Histórico//home_44,0.234
Centro Histórico//home_45,0.262
Centro Histórico//home_46,0.615
Centro Histórico//home_47,0.451
Centro Histórico//home_48,0.382
Centro Histórico//home_49,0.256
Centro Histórico//home_50,0.264
Centro Histórico//home_51,0.245
Centro Histórico//home_52,0.247
