;Cycle;Origin;Destination;Total;age: [children];age: [adults];age: [elders];occupation: [student];occupation: [worker]
1833;0;Chapéu do Sol;Jardim do Salso;0;0;0;0;0;0
1834;0;Chapéu do Sol;Lageado;0;0;0;0;0;0
1835;0;Chapéu do Sol;Lami;162;0;92;26;0;162
1836;0;Chapéu do Sol;Lomba do Pinheiro;373;0;234;49;0;373
1837;0;Chapéu do Sol;Medianeira;0;0;0;0;0;0
1838;0;Chapéu do Sol;Menino Deus;0;0;0;0;0;0
1839;0;Chapéu do Sol;Moinhos de Vento;205;0;92;75;0;205
1840;0;Chapéu do Sol;Mont'Serrat;128;0;0;0;128;0
1841;0;Chapéu do Sol;Morro Santana;0;0;0;0;0;0
1842;0;Chapéu do Sol;Mário Quintana;455;0;128;24;250;205
1843;0;Chapéu do Sol;Navegantes;0;0;0;0;0;0
1844;0;Chapéu do Sol;Nonoai;250;0;125;40;0;250
1845;0;Chapéu do Sol;Parque Santa Fé;0;0;0;0;0;0
1846;0;Chapéu do Sol;Partenon;0;0;0;0;0;0
1847;0;Chapéu do Sol;Passo D'Areia;0;0;0;0;0;0
1848;0;Chapéu do Sol;Passo das Pedras;0;0;0;0;0;0
1849;0;Chapéu do Sol;Pedra Redonda;0;0;0;0;0;0
1850;0;Chapéu do Sol;Petrópolis;205;0;105;51;0;205
1851;0;Chapéu do Sol;Pitinga;0;0;0;0;0;0
1852;0;Chapéu do Sol;Ponta Grossa;162;0;104;37;0;162
1853;0;Chapéu do Sol;Praia de Belas;0;0;0;0;0;0
1854;0;Chapéu do Sol;Restinga;992;0;450;98;242;750
1855;0;Chapéu do Sol;Rio Branco;205;0;109;52;0;205
1856;0;Chapéu do Sol;Rubem Berta;0;0;0;0;0;0
1857;0;Chapéu do Sol;Santa Cecília;0;0;0;0;0;0
1858;0;Chapéu do Sol;Santa Maria Goretti;250;250;0;0;250;0
1859;0;Chapéu do Sol;Santa Rosa de Lima;162;0;105;26;0;162
1860;0;Chapéu do Sol;Santa Tereza;0;0;0;0;0;0
1861;0;Chapéu do Sol;Santana;0;0;0;0;0;0
1862;0;Chapéu do Sol;Santo Antônio;0;0;0;0;0;0
1863;0;Chapéu do Sol;Sarandi;0;0;0;0;0;0
1864;0;Chapéu do Sol;Serraria;500;0;311;55;0;500
1865;0;Chapéu do Sol;São Caetano;0;0;0;0;0;0
1866;0;Chapéu do Sol;São Geraldo;0;0;0;0;0;0
1867;0;Chapéu do Sol;São José;0;0;0;0;0;0
1868;0;Chapéu do Sol;São João;0;0;0;0;0;0
1869;0;Chapéu do Sol;São Sebastião;0;0;0;0;0;0
1870;0;Chapéu do Sol;Sétimo Céu;0;0;0;0;0;0
