Simulation Frame;Blob Count
0;94
1;896
2;1387
3;1763
4;2043
5;2265
6;2447
7;2606
8;4726
9;4845
10;4945
11;5042
12;5214
13;6221
14;6289
15;6361
16;6509
17;6584
18;6634
19;7016
20;7733
21;7932
22;5294
23;330
