Simulation Frame;Aberta dos Morros;Agronomia;Anchieta;Arquipélago;Auxiliadora;Azenha;Bela Vista;Belém Novo;Belém Velho;Boa Vista;Boa Vista do Sul;Bom Fim;Bom Jesus;Camaquã;Campo Novo;Cascata;Cavalhada;Centro Histórico;Chácara das Pedras;Chapéu do Sol;Cidade Baixa;Cel. Aparício Borges;Costa e Silva;Cristal;Cristo Redentor;Espírito Santo;Extrema;Farrapos;Farroupilha;Floresta;Glória;Guarujá;Higienópolis;Hípica;Humaitá;Independência;Ipanema;Jardim Botânico;Jardim Carvalho;Jardim do Salso;Jardim Leopoldina;Jardim Europa;Jardim Floresta;Jardim Isabel;Jardim Itú;Jardim Lindóia;Jardim Sabará;Jardim São Pedro;Lageado;Lami;Lomba do Pinheiro;Mário Quintana;Medianeira;Menino Deus;Moinhos de Vento;Mont'Serrat;Morro Santana;Navegantes;Nonoai;Parque Santa Fé;Partenon;Passo D'Areia;Passo das Pedras;Pedra Redonda;Petrópolis;Pitinga;Ponta Grossa;Praia de Belas;Restinga;Rio Branco;Rubem Berta;Santa Cecília;Santa Maria Goretti;Santa Rosa de Lima;Santa Tereza;Santana;Santo Antônio;São Caetano;São Geraldo;São João;São Sebastião;Sarandi;Serraria;Sétimo Céu;Teresópolis;Três Figueiras;Tristeza;Vila Assunção;Vila Conceição;Vila Ipiranga;Vila Jardim;Vila João Pessoa;Vila Nova;São José
13;69;65;57;57;76;72;84;56;68;76;58;70;75;60;57;70;72;71;74;59;72;64;60;66;66;74;58;50;70;64;81;57;82;54;52;71;57;90;72;71;73;73;73;47;61;68;78;70;54;51;58;57;77;64;75;84;72;71;77;66;69;77;67;64;81;60;63;72;62;65;53;81;85;65;82;76;74;45;70;80;79;59;64;67;74;85;50;54;65;80;76;81;78;74
14;70;66;58;59;77;73;85;56;71;78;59;71;77;60;60;70;73;74;74;60;74;64;60;67;67;74;58;52;70;64;83;57;83;54;52;71;58;92;72;73;73;73;75;47;61;69;79;71;56;51;58;57;77;66;76;84;73;72;77;67;71;78;68;64;82;61;63;72;64;65;55;82;85;67;82;81;74;45;70;80;81;59;65;68;75;88;53;56;67;81;76;81;78;76
15;71;66;58;60;78;73;86;56;74;78;59;71;79;60;60;73;74;74;74;60;74;67;60;68;69;75;58;53;71;70;83;58;84;55;53;71;61;92;72;73;74;73;75;47;62;69;80;71;57;51;58;57;79;67;76;84;73;72;78;67;72;80;69;64;85;62;65;72;64;68;55;84;85;67;82;81;74;46;70;80;82;60;65;68;76;89;53;56;67;81;76;81;78;76
16;73;69;60;61;81;74;87;60;76;81;60;73;79;62;61;75;75;74;75;62;75;70;62;68;70;77;58;56;72;74;86;59;85;56;57;72;62;92;73;78;75;76;75;49;63;69;83;73;60;52;59;58;80;70;77;85;73;74;80;68;73;80;70;65;88;62;65;75;64;69;58;86;86;68;82;82;77;48;71;81;83;61;66;71;79;92;54;56;67;83;79;82;79;76
17;73;70;60;63;83;75;88;61;77;82;60;74;80;63;61;75;75;74;75;64;75;70;65;68;70;78;58;57;73;74;87;59;85;58;58;72;62;93;73;78;76;76;75;49;64;71;84;73;61;53;61;59;81;71;79;85;74;75;80;68;75;81;74;65;88;62;68;77;66;71;62;86;87;68;84;83;77;50;71;82;84;62;66;72;80;92;57;56;67;84;79;82;79;77
18;75;70;62;64;84;77;88;61;77;83;61;74;80;65;61;75;75;74;77;65;75;70;65;68;70;78;58;58;73;74;89;62;86;59;59;72;63;96;73;78;76;77;76;49;64;73;85;74;62;53;62;60;81;71;82;85;75;76;80;68;77;81;75;65;89;63;69;79;66;71;63;86;87;69;84;84;77;51;71;82;87;62;67;72;80;93;57;57;67;85;80;83;79;77
19;76;72;67;69;86;80;93;61;82;86;61;79;85;70;66;79;77;79;81;68;80;73;65;76;73;82;60;159;78;77;92;63;37;61;63;74;67;98;74;81;79;84;76;53;68;74;88;83;68;56;70;67;85;74;84;91;78;77;82;72;80;83;77;70;92;67;75;82;72;71;64;90;88;74;88;89;82;56;74;86;89;67;73;77;87;98;61;58;71;89;83;89;83;79
20;85;79;75;71;89;85;95;68;90;90;61;88;90;74;73;86;81;86;88;76;86;79;73;84;79;82;71;166;84;87;95;74;57;68;74;80;78;100;79;89;79;88;82;65;75;81;94;90;74;64;76;67;92;79;89;100;83;85;87;77;86;90;85;77;97;72;83;89;76;75;69;94;97;78;90;92;88;64;82;91;95;74;79;84;89;101;67;58;77;94;88;94;89;84
21;88;81;75;71;90;85;95;71;90;91;68;88;90;74;78;88;82;86;88;82;86;79;73;85;82;90;71;168;86;88;96;76;64;70;76;81;79;100;79;90;79;89;82;68;80;82;94;95;75;66;79;72;93;79;90;104;85;86;88;78;86;90;86;78;101;73;84;90;77;75;72;94;97;78;91;94;89;65;82;94;97;77;81;86;89;101;72;68;77;97;90;96;91;84
22;59;49;54;50;51;53;62;48;58;61;45;57;55;48;50;50;53;51;57;54;56;49;48;52;49;54;51;145;49;59;57;53;31;48;50;55;59;61;53;57;46;56;55;45;48;55;60;57;49;48;44;45;54;52;59;61;53;56;57;48;55;57;55;57;61;48;54;56;47;59;47;53;64;51;57;56;59;43;53;57;61;43;55;49;52;61;49;44;45;58;60;55;59;52
23;1;1;2;2;6;6;3;8;1;1;1;1;2;9;1;1;2;2;2;5;2;7;1;2;2;1;2;2;1;2;2;5;4;1;2;3;1;1;2;3;1;2;1;8;1;1;1;2;7;5;2;1;3;1;2;2;2;2;2;5;1;2;5;4;1;1;1;3;1;2;4;2;1;1;3;2;1;5;1;3;1;6;3;6;3;2;1;7;6;2;1;2;1;1
