;Origin;Destination;Total;age: [children];age: [adults];age: [elders];occupation: [student];occupation: [worker]
87;Aberta dos Morros;Três Figueiras;0;0;0;0;0;0
88;Aberta dos Morros;Vila Assunção;0;0;0;0;0;0
89;Aberta dos Morros;Vila Conceição;0;0;0;0;0;0
90;Aberta dos Morros;Vila Ipiranga;249;0;0;0;249;0
91;Aberta dos Morros;Vila Jardim;0;0;0;0;0;0
92;Aberta dos Morros;Vila João Pessoa;0;0;0;0;0;0
93;Aberta dos Morros;Vila Nova;1044;0;663;161;250;794
94;Agronomia;Aberta dos Morros;0;0;0;0;0;0
95;Agronomia;Agronomia;0;0;0;0;0;0
96;Agronomia;Anchieta;0;0;0;0;0;0
97;Agronomia;Arquipélago;0;0;0;0;0;0
98;Agronomia;Auxiliadora;0;0;0;0;0;0
99;Agronomia;Azenha;0;0;0;0;0;0
100;Agronomia;Bela Vista;0;0;0;0;0;0
101;Agronomia;Belém Novo;0;0;0;0;0;0
102;Agronomia;Belém Velho;0;0;0;0;0;0
103;Agronomia;Boa Vista;250;250;0;0;250;0
104;Agronomia;Boa Vista do Sul;0;0;0;0;0;0
105;Agronomia;Bom Fim;207;0;86;44;0;207
106;Agronomia;Bom Jesus;416;0;240;72;0;416
107;Agronomia;Camaquã;0;0;0;0;0;0
108;Agronomia;Campo Novo;0;0;0;0;0;0
109;Agronomia;Cascata;207;0;127;25;0;207
110;Agronomia;Cavalhada;207;0;121;50;0;207
111;Agronomia;Cel. Aparício Borges;197;0;117;38;0;197
112;Agronomia;Centro Histórico;0;0;0;0;0;0
113;Agronomia;Chapéu do Sol;0;0;0;0;0;0
114;Agronomia;Chácara das Pedras;0;0;0;0;0;0
115;Agronomia;Cidade Baixa;0;0;0;0;0;0
116;Agronomia;Costa e Silva;0;0;0;0;0;0
117;Agronomia;Cristal;0;0;0;0;0;0
118;Agronomia;Cristo Redentor;0;0;0;0;0;0
119;Agronomia;Espírito Santo;0;0;0;0;0;0
120;Agronomia;Extrema;0;0;0;0;0;0
121;Agronomia;Farrapos;2394;265;1271;378;198;1961
122;Agronomia;Farroupilha;0;0;0;0;0;0
123;Agronomia;Floresta;0;0;0;0;0;0
124;Agronomia;Glória;0;0;0;0;0;0
125;Agronomia;Guarujá;166;0;112;36;0;166
126;Agronomia;Higienópolis;0;0;0;0;0;0
127;Agronomia;Humaitá;0;0;0;0;0;0
128;Agronomia;Hípica;0;0;0;0;0;0
129;Agronomia;Independência;0;0;0;0;0;0
130;Agronomia;Ipanema;0;0;0;0;0;0
131;Agronomia;Jardim Botânico;250;0;143;30;0;250
132;Agronomia;Jardim Carvalho;2389;993;375;118;1682;707
133;Agronomia;Jardim Europa;0;0;0;0;0;0
134;Agronomia;Jardim Floresta;0;0;0;0;0;0
135;Agronomia;Jardim Isabel;0;0;0;0;0;0
136;Agronomia;Jardim Itú;247;0;0;0;247;0
137;Agronomia;Jardim Leopoldina;0;0;0;0;0;0
138;Agronomia;Jardim Lindóia;0;0;0;0;0;0
139;Agronomia;Jardim Sabará;497;0;0;0;497;0
140;Agronomia;Jardim São Pedro;0;0;0;0;0;0
141;Agronomia;Jardim do Salso;0;0;0;0;0;0
142;Agronomia;Lageado;0;0;0;0;0;0
143;Agronomia;Lami;0;0;0;0;0;0
144;Agronomia;Lomba do Pinheiro;2053;250;798;185;702;1351
145;Agronomia;Medianeira;0;0;0;0;0;0
146;Agronomia;Menino Deus;0;0;0;0;0;0
147;Agronomia;Moinhos de Vento;197;0;106;67;0;197
148;Agronomia;Mont'Serrat;0;0;0;0;0;0
149;Agronomia;Morro Santana;0;0;0;0;0;0
150;Agronomia;Mário Quintana;497;0;143;32;247;250
151;Agronomia;Navegantes;0;0;0;0;0;0
152;Agronomia;Nonoai;0;0;0;0;0;0
153;Agronomia;Parque Santa Fé;0;0;0;0;0;0
154;Agronomia;Partenon;250;0;166;43;0;250
155;Agronomia;Passo D'Areia;0;0;0;0;0;0
156;Agronomia;Passo das Pedras;247;247;0;0;247;0
157;Agronomia;Pedra Redonda;0;0;0;0;0;0
158;Agronomia;Petrópolis;197;0;133;48;0;197
159;Agronomia;Pitinga;0;0;0;0;0;0
160;Agronomia;Ponta Grossa;0;0;0;0;0;0
161;Agronomia;Praia de Belas;0;0;0;0;0;0
162;Agronomia;Restinga;597;0;338;99;0;597
163;Agronomia;Rio Branco;207;0;105;56;0;207
164;Agronomia;Rubem Berta;207;0;98;70;0;207
165;Agronomia;Santa Cecília;0;0;0;0;0;0
166;Agronomia;Santa Maria Goretti;0;0;0;0;0;0
167;Agronomia;Santa Rosa de Lima;0;0;0;0;0;0
168;Agronomia;Santa Tereza;247;247;0;0;247;0
169;Agronomia;Santana;0;0;0;0;0;0
170;Agronomia;Santo Antônio;226;0;0;0;226;0
171;Agronomia;Sarandi;457;0;102;52;250;207
172;Agronomia;Serraria;0;0;0;0;0;0
173;Agronomia;São Caetano;0;0;0;0;0;0
174;Agronomia;São Geraldo;0;0;0;0;0;0
175;Agronomia;São José;1393;250;573;185;497;896
176;Agronomia;São João;207;0;115;57;0;207
177;Agronomia;São Sebastião;0;0;0;0;0;0
178;Agronomia;Sétimo Céu;0;0;0;0;0;0
179;Agronomia;Teresópolis;0;0;0;0;0;0
180;Agronomia;Tristeza;250;0;0;0;250;0
181;Agronomia;Três Figueiras;0;0;0;0;0;0
182;Agronomia;Vila Assunção;0;0;0;0;0;0
183;Agronomia;Vila Conceição;0;0;0;0;0;0
184;Agronomia;Vila Ipiranga;183;0;121;49;0;183
185;Agronomia;Vila Jardim;250;0;0;0;250;0
186;Agronomia;Vila João Pessoa;433;0;238;83;0;433
187;Agronomia;Vila Nova;0;0;0;0;0;0
188;Anchieta;Aberta dos Morros;0;0;0;0;0;0
189;Anchieta;Agronomia;0;0;0;0;0;0
190;Anchieta;Anchieta;0;0;0;0;0;0
191;Anchieta;Arquipélago;0;0;0;0;0;0
192;Anchieta;Auxiliadora;248;0;0;0;248;0
193;Anchieta;Azenha;0;0;0;0;0;0
194;Anchieta;Bela Vista;194;0;122;57;0;194
195;Anchieta;Belém Novo;0;0;0;0;0;0
196;Anchieta;Belém Velho;0;0;0;0;0;0
197;Anchieta;Boa Vista;0;0;0;0;0;0
198;Anchieta;Boa Vista do Sul;0;0;0;0;0;0
199;Anchieta;Bom Fim;0;0;0;0;0;0
200;Anchieta;Bom Jesus;0;0;0;0;0;0
201;Anchieta;Camaquã;0;0;0;0;0;0
202;Anchieta;Campo Novo;0;0;0;0;0;0
203;Anchieta;Cascata;0;0;0;0;0;0
204;Anchieta;Cavalhada;0;0;0;0;0;0
205;Anchieta;Cel. Aparício Borges;0;0;0;0;0;0
206;Anchieta;Centro Histórico;250;0;0;0;250;0
207;Anchieta;Chapéu do Sol;0;0;0;0;0;0
208;Anchieta;Chácara das Pedras;0;0;0;0;0;0
209;Anchieta;Cidade Baixa;0;0;0;0;0;0
210;Anchieta;Costa e Silva;0;0;0;0;0;0
