;Origin;Destination;Total;age: [children];age: [adults];age: [elders];occupation: [student];occupation: [worker]
0;Azenha;Azenha;3961;498;1435;655;1346;2615
1;Azenha;Bom Fim;1095;98;370;172;435;660
2;Azenha;Centro Histórico;2734;48;1265;594;369;2365
3;Azenha;Cidade Baixa;2557;246;922;421;712;1845
4;Azenha;Farroupilha;700;50;325;136;100;600
5;Azenha;Floresta;563;0;229;93;148;415
6;Azenha;Independência;380;0;167;88;50;330
7;Azenha;Menino Deus;3496;495;1278;565;1444;2052
8;Azenha;Moinhos de Vento;365;50;130;69;100;265
9;Azenha;Praia de Belas;925;125;262;99;575;350
10;Azenha;Rio Branco;709;148;242;106;284;425
11;Azenha;Santa Cecília;515;147;132;68;247;268
12;Azenha;Santana;4000;445;1348;583;1690;2310
13;Bom Fim;Azenha;1049;100;360;157;438;611
14;Bom Fim;Bom Fim;2916;0;1149;721;372;2544
15;Bom Fim;Centro Histórico;2852;250;1028;482;931;1921
16;Bom Fim;Cidade Baixa;824;200;277;101;391;433
17;Bom Fim;Farroupilha;1141;99;376;197;441;700
18;Bom Fim;Floresta;1272;149;343;174;611;661
19;Bom Fim;Independência;2772;50;1161;681;250;2522
20;Bom Fim;Menino Deus;1670;245;630;332;437;1233
21;Bom Fim;Moinhos de Vento;1609;198;538;426;398;1211
22;Bom Fim;Praia de Belas;6840;1211;2570;1483;1931;2160
23;Bom Fim;Rio Branco;3836;348;1577;818;881;2955
24;Bom Fim;Santa Cecília;1057;50;485;257;142;915
25;Bom Fim;Santana;2149;538;677;352;905;1244
26;Centro Histórico;Azenha;2382;50;1072;497;400;1982
27;Centro Histórico;Bom Fim;2559;243;891;426;888;1671
28;Centro Histórico;Centro Histórico;9749;1864;829;318;8480;1269
29;Centro Histórico;Cidade Baixa;3338;599;758;254;2196;1142
30;Centro Histórico;Farroupilha;1450;150;524;260;400;1050
31;Centro Histórico;Floresta;3691;550;974;451;1787;1904
32;Centro Histórico;Independência;1965;148;648;313;646;1319
33;Centro Histórico;Menino Deus;1959;347;709;340;594;1365
34;Centro Histórico;Moinhos de Vento;1229;100;448;229;350;879
35;Centro Histórico;Praia de Belas;22649;2833;10281;4814;4097;12447
36;Centro Histórico;Rio Branco;1458;199;408;180;709;749
37;Centro Histórico;Santa Cecília;1726;149;685;315;383;1343
38;Centro Histórico;Santana;1296;198;498;163;544;752
39;Cidade Baixa;Azenha;2229;248;744;327;748;1481
40;Cidade Baixa;Bom Fim;753;197;228;88;394;359
41;Cidade Baixa;Centro Histórico;2888;575;575;211;2014;874
42;Cidade Baixa;Cidade Baixa;4279;694;1011;416;2516;1763
43;Cidade Baixa;Farroupilha;3202;400;742;328;1850;1352
44;Cidade Baixa;Floresta;680;337;120;64;437;243
45;Cidade Baixa;Independência;1836;50;774;341;485;1351
46;Cidade Baixa;Menino Deus;3690;146;1606;705;850;2840
47;Cidade Baixa;Moinhos de Vento;680;50;225;105;250;430
48;Cidade Baixa;Praia de Belas;5584;206;2468;1227;1023;4561
49;Cidade Baixa;Rio Branco;1275;247;420;209;433;842
50;Cidade Baixa;Santa Cecília;552;50;261;128;50;502
51;Cidade Baixa;Santana;902;50;398;186;100;802
52;Farroupilha;Azenha;515;49;233;92;99;416
53;Farroupilha;Bom Fim;711;100;191;64;435;276
54;Farroupilha;Centro Histórico;1041;149;350;159;368;673
55;Farroupilha;Cidade Baixa;2521;386;476;201;1707;814
56;Farroupilha;Farroupilha;62;0;33;23;0;62
57;Farroupilha;Floresta;486;148;93;53;288;198
58;Farroupilha;Independência;204;0;84;75;0;204
59;Farroupilha;Menino Deus;1939;343;743;434;521;1418
60;Farroupilha;Moinhos de Vento;300;98;50;40;188;112
61;Farroupilha;Praia de Belas;6169;140;2757;1622;595;5347
62;Farroupilha;Rio Branco;1109;340;269;84;802;307
63;Farroupilha;Santa Cecília;249;99;37;47;145;104
64;Farroupilha;Santana;807;246;87;37;643;164
65;Floresta;Azenha;555;0;226;89;150;405
66;Floresta;Bom Fim;1287;150;344;183;617;670
67;Floresta;Centro Histórico;3895;545;1136;522;1690;2205
68;Floresta;Cidade Baixa;765;350;156;88;450;315
69;Floresta;Farroupilha;698;148;206;111;298;400
70;Floresta;Floresta;3996;500;1645;790;891;3105
71;Floresta;Independência;1575;300;533;192;915;660
72;Floresta;Menino Deus;654;100;228;143;220;434
73;Floresta;Moinhos de Vento;2966;293;1228;751;661;2305
74;Floresta;Praia de Belas;748;69;194;81;398;350
75;Floresta;Rio Branco;1997;147;595;311;872;1125
76;Floresta;Santa Cecília;706;150;217;118;300;406
77;Floresta;Santana;1508;348;450;207;688;820
78;Independência;Azenha;255;0;97;61;50;205
79;Independência;Bom Fim;1430;50;537;317;250;1180
80;Independência;Centro Histórico;1545;150;445;245;650;895
81;Independência;Cidade Baixa;1747;50;670;371;500;1247
82;Independência;Farroupilha;350;0;159;114;0;350
83;Independência;Floresta;1254;300;340;100;950;304
84;Independência;Independência;3374;200;1103;772;900;2474
85;Independência;Menino Deus;557;50;242;133;100;457
86;Independência;Moinhos de Vento;527;200;104;78;300;227
87;Independência;Praia de Belas;6588;50;3240;1736;100;6488
88;Independência;Rio Branco;1197;200;435;218;450;747
89;Independência;Santa Cecília;460;50;143;64;250;210
90;Independência;Santana;866;100;301;182;250;616
91;Menino Deus;Azenha;3285;500;1155;485;1500;1785
92;Menino Deus;Bom Fim;1285;250;409;239;450;835
93;Menino Deus;Centro Histórico;2445;350;955;491;600;1845
94;Menino Deus;Cidade Baixa;3718;150;1626;737;900;2818
95;Menino Deus;Farroupilha;3250;350;1398;777;550;2700
96;Menino Deus;Floresta;554;100;161;97;250;304
97;Menino Deus;Independência;841;50;386;209;100;741
98;Menino Deus;Menino Deus;11781;1700;3537;1859;5300;6481
99;Menino Deus;Moinhos de Vento;1270;350;393;167;700;570
100;Menino Deus;Praia de Belas;25326;4611;11005;5999;5212;12608
101;Menino Deus;Rio Branco;1460;100;639;273;450;1010
102;Menino Deus;Santa Cecília;2555;100;1288;675;200;2355
103;Menino Deus;Santana;1967;300;586;279;950;1017
104;Moinhos de Vento;Azenha;352;48;130;63;97;255
105;Moinhos de Vento;Bom Fim;1612;195;548;425;392;1220
106;Moinhos de Vento;Centro Histórico;1275;97;482;248;320;955
107;Moinhos de Vento;Cidade Baixa;750;50;255;139;235;515
108;Moinhos de Vento;Farroupilha;400;100;95;75;200;200
109;Moinhos de Vento;Floresta;2987;297;1243;751;682;2305
110;Moinhos de Vento;Independência;808;198;236;192;298;510
111;Moinhos de Vento;Menino Deus;1538;344;534;268;654;884
112;Moinhos de Vento;Moinhos de Vento;5374;598;1895;1623;1169;4205
113;Moinhos de Vento;Praia de Belas;768;79;265;129;368;400
114;Moinhos de Vento;Rio Branco;2178;349;774;372;953;1225
115;Moinhos de Vento;Santa Cecília;955;149;290;180;399;556
116;Moinhos de Vento;Santana;953;146;376;200;233;720
117;Praia de Belas;Azenha;2980;107;1419;656;374;2606
118;Praia de Belas;Bom Fim;9573;1214;3915;2224;1925;4899
119;Praia de Belas;Centro Histórico;23056;2860;10314;4734;4409;12542
120;Praia de Belas;Cidade Baixa;5451;177;2405;1105;945;4506
121;Praia de Belas;Farroupilha;2333;101;1021;667;252;1854
122;Praia de Belas;Floresta;1964;76;891;454;274;1690
123;Praia de Belas;Independência;2731;54;1209;749;156;2575
124;Praia de Belas;Menino Deus;27779;4647;12196;6647;5449;14824
125;Praia de Belas;Moinhos de Vento;1791;68;826;518;274;1517
126;Praia de Belas;Praia de Belas;8463;5;4323;2193;59;8404
127;Praia de Belas;Rio Branco;13109;2486;5790;3029;2788;6163
128;Praia de Belas;Santa Cecília;4848;811;2149;1087;1046;2434
129;Praia de Belas;Santana;6072;133;2791;1488;749;5323
130;Rio Branco;Azenha;659;150;199;90;300;359
131;Rio Branco;Bom Fim;3806;341;1569;806;870;2936
132;Rio Branco;Centro Histórico;1747;193;581;245;698;1049
133;Rio Branco;Cidade Baixa;1477;250;535;256;450;1027
134;Rio Branco;Farroupilha;1400;350;394;161;850;550
135;Rio Branco;Floresta;1947;147;585;304;838;1109
136;Rio Branco;Independência;2018;200;896;451;450;1568
137;Rio Branco;Menino Deus;1643;95;744;331;444;1199
138;Rio Branco;Moinhos de Vento;2190;347;753;368;981;1209
139;Rio Branco;Praia de Belas;10284;2488;4260;2260;2730;3396
140;Rio Branco;Rio Branco;2298;295;709;362;953;1345
141;Rio Branco;Santa Cecília;1961;100;955;433;398;1563
142;Rio Branco;Santana;1216;200;452;276;330;886
143;Santa Cecília;Azenha;371;150;58;35;248;123
