Simulation Frame;Azenha;Bom Fim;Centro;Cidade Baixa;Farroupilha;Floresta;Independência;Menino Deus;Moinhos de Vento;Praia de Belas;Rio Branco;Santa Cecília;Santana
110;14;12;14;14;5;13;10;14;12;3;14;6;14
111;14;14;14;14;5;14;12;14;14;3;14;8;14
112;14;14;14;14;5;14;14;14;14;3;14;11;14
113;14;14;14;14;5;14;14;14;14;3;14;11;14
114;14;14;14;14;5;14;14;14;14;3;14;11;14
115;14;14;14;14;5;14;14;14;14;3;14;11;14
116;14;14;14;14;5;14;14;14;14;3;14;11;14
117;14;14;14;14;5;14;14;14;14;3;14;11;14
118;14;14;14;14;5;14;14;14;14;3;14;11;14
119;1;1;1;1;1;1;1;1;1;1;1;1;1
120;3;5;3;4;5;3;4;3;4;3;4;4;4
121;4;5;14;4;5;3;4;7;4;3;4;4;5
122;4;5;14;4;5;3;4;10;4;3;7;4;7
123;4;5;14;4;5;3;4;10;4;3;7;4;7
124;6;5;14;4;5;3;4;12;5;3;7;4;7
125;6;5;14;8;5;5;4;12;5;3;8;4;9
126;6;5;14;8;5;5;4;12;5;3;8;4;9
127;8;5;14;10;5;5;4;12;6;3;9;4;9
128;12;11;14;13;5;10;7;14;8;3;12;4;14
129;12;11;14;13;5;10;8;14;11;3;13;4;14
130;12;11;14;14;5;10;8;14;12;3;14;4;14
131;12;11;14;14;5;10;8;14;12;3;14;4;14
132;12;12;14;14;5;10;8;14;12;3;14;4;14
133;14;12;14;14;5;10;10;14;12;3;14;6;14
134;14;12;14;14;5;13;10;14;12;3;14;6;14
135;14;14;14;14;5;14;12;14;14;3;14;8;14
136;14;14;14;14;5;14;14;14;14;3;14;11;14
137;14;14;14;14;5;14;14;14;14;3;14;11;14
138;14;14;14;14;5;14;14;14;14;3;14;11;14
139;14;14;14;14;5;14;14;14;14;3;14;11;14
140;14;14;14;14;5;14;14;14;14;3;14;11;14
141;14;14;14;14;5;14;14;14;14;3;14;11;14
142;14;14;14;14;5;14;14;14;14;3;14;11;14
143;1;1;1;1;1;1;1;1;1;1;1;1;1
144;3;5;3;4;5;3;4;3;4;3;4;4;4
145;4;5;14;4;5;3;4;7;4;3;4;4;5
146;4;5;14;4;5;3;4;10;4;3;7;4;7
147;4;5;14;4;5;3;4;10;4;3;7;4;7
148;6;5;14;4;5;3;4;12;5;3;7;4;7
149;6;5;14;8;5;5;4;12;5;3;8;4;9
150;6;5;14;8;5;5;4;12;5;3;8;4;9
151;8;5;14;10;5;5;4;12;6;3;9;4;9
152;12;11;14;13;5;10;7;14;8;3;12;4;14
153;12;11;14;13;5;10;8;14;11;3;13;4;14
154;12;11;14;14;5;10;8;14;12;3;14;4;14
155;12;11;14;14;5;10;8;14;12;3;14;4;14
156;12;12;14;14;5;10;8;14;12;3;14;4;14
157;14;12;14;14;5;10;10;14;12;3;14;6;14
158;14;12;14;14;5;13;10;14;12;3;14;6;14
159;14;14;14;14;5;14;12;14;14;3;14;8;14
160;14;14;14;14;5;14;14;14;14;3;14;11;14
161;14;14;14;14;5;14;14;14;14;3;14;11;14
162;14;14;14;14;5;14;14;14;14;3;14;11;14
163;14;14;14;14;5;14;14;14;14;3;14;11;14
164;14;14;14;14;5;14;14;14;14;3;14;11;14
165;14;14;14;14;5;14;14;14;14;3;14;11;14
166;14;14;14;14;5;14;14;14;14;3;14;11;14
167;1;1;1;1;1;1;1;1;1;1;1;1;1
168;3;5;3;4;5;3;4;3;4;3;4;4;4
169;4;5;14;4;5;3;4;7;4;3;4;4;5
170;4;5;14;4;5;3;4;10;4;3;7;4;7
171;4;5;14;4;5;3;4;10;4;3;7;4;7
172;6;5;14;4;5;3;4;12;5;3;7;4;7
173;6;5;14;8;5;5;4;12;5;3;8;4;9
174;6;5;14;8;5;5;4;12;5;3;8;4;9
175;8;5;14;10;5;5;4;12;6;3;9;4;9
176;12;11;14;13;5;10;7;14;8;3;12;4;14
177;12;11;14;13;5;10;8;14;11;3;13;4;14
178;12;11;14;14;5;10;8;14;12;3;14;4;14
179;12;11;14;14;5;10;8;14;12;3;14;4;14
180;12;12;14;14;5;10;8;14;12;3;14;4;14
181;14;12;14;14;5;10;10;14;12;3;14;6;14
182;14;12;14;14;5;13;10;14;12;3;14;6;14
183;14;14;14;14;5;14;12;14;14;3;14;8;14
184;14;14;14;14;5;14;14;14;14;3;14;11;14
185;14;14;14;14;5;14;14;14;14;3;14;11;14
186;14;14;14;14;5;14;14;14;14;3;14;11;14
187;14;14;14;14;5;14;14;14;14;3;14;11;14
188;14;14;14;14;5;14;14;14;14;3;14;11;14
189;14;14;14;14;5;14;14;14;14;3;14;11;14
190;14;14;14;14;5;14;14;14;14;3;14;11;14
191;1;1;1;1;1;1;1;1;1;1;1;1;1
192;3;5;3;4;5;3;4;3;4;3;4;4;4
193;4;5;14;4;5;3;4;7;4;3;4;4;5
194;4;5;14;4;5;3;4;10;4;3;7;4;7
195;4;5;14;4;5;3;4;10;4;3;7;4;7
196;6;5;14;4;5;3;4;12;5;3;7;4;7
197;6;5;14;8;5;5;4;12;5;3;8;4;9
198;6;5;14;8;5;5;4;12;5;3;8;4;9
199;8;5;14;10;5;5;4;12;6;3;9;4;9
200;12;11;14;13;5;10;7;14;8;3;12;4;14
201;12;11;14;13;5;10;8;14;11;3;13;4;14
202;12;11;14;14;5;10;8;14;12;3;14;4;14
203;12;11;14;14;5;10;8;14;12;3;14;4;14
204;12;12;14;14;5;10;8;14;12;3;14;4;14
205;14;12;14;14;5;10;10;14;12;3;14;6;14
206;14;12;14;14;5;13;10;14;12;3;14;6;14
207;14;14;14;14;5;14;12;14;14;3;14;8;14
208;14;14;14;14;5;14;14;14;14;3;14;11;14
209;14;14;14;14;5;14;14;14;14;3;14;11;14
210;14;14;14;14;5;14;14;14;14;3;14;11;14
211;14;14;14;14;5;14;14;14;14;3;14;11;14
212;14;14;14;14;5;14;14;14;14;3;14;11;14
213;14;14;14;14;5;14;14;14;14;3;14;11;14
214;14;14;14;14;5;14;14;14;14;3;14;11;14
215;1;1;1;1;1;1;1;1;1;1;1;1;1
216;3;5;3;4;5;3;4;3;4;3;4;4;4
217;4;5;14;4;5;3;4;7;4;3;4;4;5
218;4;5;14;4;5;3;4;10;4;3;7;4;7
219;4;5;14;4;5;3;4;10;4;3;7;4;7
220;6;5;14;4;5;3;4;12;5;3;7;4;7
221;6;5;14;8;5;5;4;12;5;3;8;4;9
222;6;5;14;8;5;5;4;12;5;3;8;4;9
223;8;5;14;10;5;5;4;12;6;3;9;4;9
