scenario;levy;seed;node_type;population;requested;fulfilled;unmet;fulfillment_rate;trips;travelers;travelers_per_capita;traveler_distance;distance_per_requested_visit;mean_distance_per_traveler;occupancy_person_hours;occupancy_per_requested_visit;peak_hourly_occupancy;reroute_events;rerouted_requested;rerouted_fulfilled;rerouted_unmet;reroute_traveler_distance;mean_reroute_distance_per_traveler;receiving_destinations;peak_receiving_load
13_levy_on_flood_both_reroute;True;5;marketplace;131925;1055400.0;1055400.0;0.0;1.0;321280.0;1055400.0;8.0;89154217.59529208;84.47433920342247;84.47433920342247;1055400.0;1.0;2075.0;11606.0;35682.0;35682.0;0.0;10956215.78720614;307.05161670327163;55;63.0
13_levy_on_flood_both_reroute;True;5;pharmacy;131925;263816.0;263816.0;0.0;1.0;206424.0;263816.0;1.9997422778093614;20851098.26156324;79.03651886755634;79.03651886755634;263816.0;1.0;685.0;7668.0;9641.0;9641.0;0.0;2853777.620525265;296.0043170340489;50;16.0
13_levy_on_flood_both_reroute;True;5;restaurant;131925;1055400.0;1055400.0;0.0;1.0;222632.0;1055400.0;8.0;83956184.97941352;79.54916143586652;79.54916143586652;1055400.0;1.0;5367.0;8657.0;38122.0;38122.0;0.0;11047362.311512677;289.789683424602;53;92.0
13_levy_on_flood_both_reroute;True;6;marketplace;131925;1055400.0;1055400.0;0.0;1.0;321280.0;1055400.0;8.0;89026477.16170399;84.3533041137995;84.3533041137995;1055400.0;1.0;2075.0;11606.0;35682.0;35682.0;0.0;10956215.78720614;307.05161670327163;55;63.0
13_levy_on_flood_both_reroute;True;6;pharmacy;131925;263816.0;263816.0;0.0;1.0;206424.0;263816.0;1.9997422778093614;20870280.663043633;79.1092301567897;79.1092301567897;263816.0;1.0;685.0;7668.0;9641.0;9641.0;0.0;2853777.620525265;296.0043170340489;50;16.0
13_levy_on_flood_both_reroute;True;6;restaurant;131925;1055400.0;1055400.0;0.0;1.0;222632.0;1055400.0;8.0;83963495.17164351;79.5560879018794;79.5560879018794;1055400.0;1.0;5367.0;8657.0;38122.0;38122.0;0.0;11047362.311512677;289.789683424602;53;92.0
13_levy_on_flood_both_reroute;True;7;marketplace;131925;1055400.0;1055400.0;0.0;1.0;321280.0;1055400.0;8.0;89022935.90521869;84.34994874475905;84.34994874475905;1055400.0;1.0;2075.0;11606.0;35682.0;35682.0;0.0;10956215.78720614;307.05161670327163;55;63.0
13_levy_on_flood_both_reroute;True;7;pharmacy;131925;263816.0;263816.0;0.0;1.0;206424.0;263816.0;1.9997422778093614;20885301.209494065;79.16616584852346;79.16616584852346;263816.0;1.0;685.0;7668.0;9641.0;9641.0;0.0;2853777.620525265;296.0043170340489;50;16.0
13_levy_on_flood_both_reroute;True;7;restaurant;131925;1055400.0;1055400.0;0.0;1.0;222632.0;1055400.0;8.0;84009374.198978;79.59955864978018;79.59955864978018;1055400.0;1.0;5367.0;8657.0;38122.0;38122.0;0.0;11047362.311512677;289.789683424602;53;92.0
13_levy_on_flood_both_reroute;True;8;marketplace;131925;1055400.0;1055400.0;0.0;1.0;321280.0;1055400.0;8.0;89157135.94955957;84.47710436759482;84.47710436759482;1055400.0;1.0;2075.0;11606.0;35682.0;35682.0;0.0;10956215.78720614;307.05161670327163;55;63.0
13_levy_on_flood_both_reroute;True;8;pharmacy;131925;263816.0;263816.0;0.0;1.0;206424.0;263816.0;1.9997422778093614;20851708.07016246;79.03883035965393;79.03883035965393;263816.0;1.0;685.0;7668.0;9641.0;9641.0;0.0;2853777.620525265;296.0043170340489;50;16.0
13_levy_on_flood_both_reroute;True;8;restaurant;131925;1055400.0;1055400.0;0.0;1.0;222632.0;1055400.0;8.0;83975306.31601383;79.56727905629508;79.56727905629508;1055400.0;1.0;5367.0;8657.0;38122.0;38122.0;0.0;11047362.311512677;289.789683424602;53;92.0
13_levy_on_flood_both_reroute;True;9;marketplace;131925;1055400.0;1055400.0;0.0;1.0;321280.0;1055400.0;8.0;89158340.43382709;84.47824562613899;84.47824562613899;1055400.0;1.0;2075.0;11606.0;35682.0;35682.0;0.0;10956215.78720614;307.05161670327163;55;63.0
13_levy_on_flood_both_reroute;True;9;pharmacy;131925;263816.0;263816.0;0.0;1.0;206424.0;263816.0;1.9997422778093614;20853248.24268988;79.0446684154482;79.0446684154482;263816.0;1.0;685.0;7668.0;9641.0;9641.0;0.0;2853777.620525265;296.0043170340489;50;16.0
