;Cycle;Origin;Destination;Total;age: [children];age: [adults];age: [elders];occupation: [student];occupation: [worker]
0;0;Azenha;Azenha;3478;400;1353;637;1000;2478
1;0;Azenha;Bom Fim;1204;100;502;238;300;904
2;0;Azenha;Centro Histórico;3294;100;1478;695;450;2844
3;0;Azenha;Cidade Baixa;2604;50;1241;545;300;2304
4;0;Azenha;Farroupilha;700;0;342;176;50;650
5;0;Azenha;Floresta;404;100;139;69;150;254
6;0;Azenha;Independência;486;50;185;116;100;386
7;0;Azenha;Menino Deus;3646;550;1282;632;1350;2296
8;0;Azenha;Moinhos de Vento;536;0;222;121;100;436
9;0;Azenha;Praia de Belas;9722;2562;3497;1656;3117;3331
10;0;Azenha;Rio Branco;1176;150;401;170;450;726
11;0;Azenha;Santa Cecília;718;0;333;165;100;618
12;0;Azenha;Santana;4104;500;1361;623;1800;2304
13;0;Bom Fim;Azenha;877;100;334;158;300;577
14;0;Bom Fim;Bom Fim;2322;100;691;394;800;1522
15;0;Bom Fim;Centro Histórico;1249;100;372;175;500;749
16;0;Bom Fim;Cidade Baixa;877;50;382;154;300;577
17;0;Bom Fim;Farroupilha;1077;50;449;212;250;827
18;0;Bom Fim;Floresta;683;50;204;107;250;433
19;0;Bom Fim;Independência;2042;50;807;497;250;1792
20;0;Bom Fim;Menino Deus;908;50;304;171;300;608
21;0;Bom Fim;Moinhos de Vento;1059;200;215;146;600;459
22;0;Bom Fim;Praia de Belas;12180;1254;5406;3030;1780;7791
23;0;Bom Fim;Rio Branco;2469;100;1011;479;650;1819
24;0;Bom Fim;Santa Cecília;1113;50;449;236;200;913
25;0;Bom Fim;Santana;1230;250;318;141;750;480
26;0;Centro Histórico;Azenha;2827;100;1232;576;450;2377
27;0;Centro Histórico;Bom Fim;1738;100;644;287;463;1275
28;0;Centro Histórico;Centro Histórico;10655;1963;1174;419;8881;1774
29;0;Centro Histórico;Cidade Baixa;3822;698;719;319;2537;1285
30;0;Centro Histórico;Farroupilha;1350;200;403;202;550;800
31;0;Centro Histórico;Floresta;4002;600;995;428;2227;1775
32;0;Centro Histórico;Independência;2363;200;933;417;638;1725
33;0;Centro Histórico;Menino Deus;2309;198;870;455;585;1724
34;0;Centro Histórico;Moinhos de Vento;1330;200;502;237;399;931
35;0;Centro Histórico;Praia de Belas;13698;1346;6371;2966;2032;8927
36;0;Centro Histórico;Rio Branco;971;198;334;138;447;524
37;0;Centro Histórico;Santa Cecília;1766;150;676;301;578;1188
38;0;Centro Histórico;Santana;1426;244;449;181;731;695
39;0;Cidade Baixa;Azenha;2298;50;1079;466;300;1998
40;0;Cidade Baixa;Bom Fim;867;50;384;157;298;569
41;0;Cidade Baixa;Centro Histórico;3300;670;528;250;2340;960
42;0;Cidade Baixa;Cidade Baixa;5506;790;1526;568;2919;2587
43;0;Cidade Baixa;Farroupilha;3188;299;764;326;1788;1400
44;0;Cidade Baixa;Floresta;961;146;410;138;343;618
45;0;Cidade Baixa;Independência;1383;148;345;201;645;738
46;0;Cidade Baixa;Menino Deus;2866;395;1097;500;800;2066
47;0;Cidade Baixa;Moinhos de Vento;753;148;273;129;287;466
48;0;Cidade Baixa;Praia de Belas;5818;106;2589;1326;955;4863
49;0;Cidade Baixa;Rio Branco;1187;99;514;262;187;1000
50;0;Cidade Baixa;Santa Cecília;816;99;333;172;149;667
51;0;Cidade Baixa;Santana;757;50;316;162;139;618
52;0;Farroupilha;Azenha;392;0;179;93;50;342
53;0;Farroupilha;Bom Fim;653;50;245;111;250;403
54;0;Farroupilha;Centro Histórico;1167;200;306;151;550;617
55;0;Farroupilha;Cidade Baixa;2495;300;415;150;1800;695
56;0;Farroupilha;Farroupilha;168;0;40;19;98;70
57;0;Farroupilha;Floresta;398;150;93;46;200;198
58;0;Farroupilha;Independência;315;50;124;92;50;265
59;0;Farroupilha;Menino Deus;2264;200;971;551;400;1864
60;0;Farroupilha;Moinhos de Vento;344;100;71;55;200;144
61;0;Farroupilha;Praia de Belas;5652;50;2947;1464;50;5602
62;0;Farroupilha;Rio Branco;1184;400;265;121;800;384
63;0;Farroupilha;Santa Cecília;331;100;54;21;250;81
64;0;Farroupilha;Santana;1035;450;72;37;900;135
65;0;Floresta;Azenha;208;95;42;17;145;63
66;0;Floresta;Bom Fim;672;50;205;121;236;436
67;0;Floresta;Centro Histórico;3166;591;611;272;2119;1047
68;0;Floresta;Cidade Baixa;707;150;271;88;338;369
69;0;Floresta;Farroupilha;500;150;161;79;200;300
70;0;Floresta;Floresta;3020;693;959;427;1279;1741
71;0;Floresta;Independência;1433;298;417;150;870;563
72;0;Floresta;Menino Deus;792;100;315;163;185;607
