;Origin;Destination;Total;age: [children];age: [adults];age: [elders];occupation: [student];occupation: [worker]
0;Azenha;Azenha;1667;297;409;192;885;782
1;Azenha;Bom Fim;370;0;136;70;100;270
2;Azenha;Centro Histórico;882;98;351;141;187;695
3;Azenha;Cidade Baixa;1062;0;538;229;139;923
4;Azenha;Farroupilha;612;0;273;147;50;562
5;Azenha;Floresta;549;49;158;74;248;301
6;Azenha;Independência;266;50;93;39;90;176
7;Azenha;Menino Deus;2385;544;756;379;964;1421
8;Azenha;Moinhos de Vento;200;0;55;27;100;100
9;Azenha;Praia de Belas;10925;1364;4876;2306;1757;7295
10;Azenha;Rio Branco;564;50;118;56;338;226
11;Azenha;Santa Cecília;312;50;82;42;150;162
12;Azenha;Santana;2806;691;476;228;1972;834
13;Bom Fim;Azenha;516;0;204;116;89;427
14;Bom Fim;Bom Fim;1928;99;838;485;99;1829
15;Bom Fim;Centro Histórico;1583;100;591;256;489;1094
16;Bom Fim;Cidade Baixa;1142;197;249;128;667;475
17;Bom Fim;Farroupilha;1382;0;538;333;200;1182
18;Bom Fim;Floresta;465;50;138;57;199;266
19;Bom Fim;Independência;2982;150;1089;588;650;2332
20;Bom Fim;Menino Deus;878;147;211;117;428;450
21;Bom Fim;Moinhos de Vento;718;150;176;99;398;320
22;Bom Fim;Praia de Belas;7780;746;3362;1840;1449;4756
23;Bom Fim;Rio Branco;3135;343;1333;582;839;2296
24;Bom Fim;Santa Cecília;575;100;193;97;199;376
25;Bom Fim;Santana;596;97;125;57;409;187
26;Centro Histórico;Azenha;1500;99;660;270;199;1301
27;Centro Histórico;Bom Fim;1933;100;787;337;474;1459
28;Centro Histórico;Centro Histórico;9576;2576;549;149;8886;690
29;Centro Histórico;Cidade Baixa;4989;349;1792;778;1637;3352
30;Centro Histórico;Farroupilha;700;0;195;102;300;400
31;Centro Histórico;Floresta;1761;250;640;236;687;1074
32;Centro Histórico;Independência;1011;100;391;139;437;574
33;Centro Histórico;Menino Deus;1000;150;304;164;399;601
34;Centro Histórico;Moinhos de Vento;893;50;422;189;150;743
35;Centro Histórico;Praia de Belas;8380;765;3752;1828;1329;5533
36;Centro Histórico;Rio Branco;1437;200;377;162;750;687
37;Centro Histórico;Santa Cecília;1400;50;558;209;450;950
38;Centro Histórico;Santana;618;149;195;94;238;380
39;Cidade Baixa;Azenha;2082;0;1014;483;150;1932
40;Cidade Baixa;Bom Fim;1069;200;218;104;677;392
41;Cidade Baixa;Centro Histórico;2997;345;813;342;1541;1456
42;Cidade Baixa;Cidade Baixa;5055;881;972;437;3092;1963
43;Cidade Baixa;Farroupilha;2400;100;853;339;850;1550
44;Cidade Baixa;Floresta;458;48;94;45;247;211
45;Cidade Baixa;Independência;841;0;342;134;250;591
46;Cidade Baixa;Menino Deus;2954;298;1166;599;667;2287
47;Cidade Baixa;Moinhos de Vento;337;98;97;36;137;200
48;Cidade Baixa;Praia de Belas;11805;1048;5324;2485;1892;7842
49;Cidade Baixa;Rio Branco;776;98;356;131;198;578
50;Cidade Baixa;Santa Cecília;250;0;94;42;50;200
51;Cidade Baixa;Santana;477;50;195;76;189;288
52;Farroupilha;Azenha;336;0;147;79;34;302
53;Farroupilha;Bom Fim;738;0;249;168;181;557
54;Farroupilha;Centro Histórico;395;0;51;32;276;119
55;Farroupilha;Cidade Baixa;1417;99;360;130;784;633
56;Farroupilha;Farroupilha;173;100;33;27;100;73
57;Farroupilha;Floresta;307;50;80;45;150;157
58;Farroupilha;Independência;257;50;91;40;84;173
59;Farroupilha;Menino Deus;1369;50;487;224;539;830
60;Farroupilha;Moinhos de Vento;226;48;66;40;98;128
61;Farroupilha;Praia de Belas;5389;114;2581;1434;369;4793
62;Farroupilha;Rio Branco;772;94;199;98;387;385
63;Farroupilha;Santa Cecília;199;0;99;31;98;101
64;Farroupilha;Santana;369;49;70;31;247;122
65;Floresta;Azenha;405;50;78;41;247;158
66;Floresta;Bom Fim;411;50;125;55;182;229
67;Floresta;Centro Histórico;1265;240;400;124;687;578
68;Floresta;Cidade Baixa;465;50;110;48;243;222
69;Floresta;Farroupilha;548;48;210;108;148;400
70;Floresta;Floresta;2956;692;783;416;1431;1525
71;Floresta;Independência;1226;345;226;110;854;372
72;Floresta;Menino Deus;625;145;218;103;225;400
73;Floresta;Moinhos de Vento;1326;198;503;264;347;979
74;Floresta;Praia de Belas;5434;652;2370;1199;1016;3558
75;Floresta;Rio Branco;895;345;117;33;769;126
76;Floresta;Santa Cecília;117;0;29;22;50;67
77;Floresta;Santana;425;48;129;61;175;250
78;Independência;Azenha;226;50;64;31;100;126
79;Independência;Bom Fim;1839;149;553;306;641;1198
80;Independência;Centro Histórico;1052;100;406;145;447;605
81;Independência;Cidade Baixa;953;0;373;205;229;724
82;Independência;Farroupilha;429;50;165;88;100;329
83;Independência;Floresta;1205;345;226;100;860;345
84;Independência;Independência;2630;194;1075;647;377;2253
85;Independência;Menino Deus;632;147;245;130;181;451
86;Independência;Moinhos de Vento;567;97;142;129;227;340
87;Independência;Praia de Belas;7846;653;3381;2033;1182;5270
88;Independência;Rio Branco;1076;381;242;97;766;310
89;Independência;Santa Cecília;300;50;61;47;150;150
90;Independência;Santana;521;100;187;108;150;371
91;Menino Deus;Azenha;2939;549;1044;546;994;1945
92;Menino Deus;Bom Fim;909;150;223;121;450;459
93;Menino Deus;Centro Histórico;1052;144;350;189;382;670
94;Menino Deus;Cidade Baixa;3720;299;1601;863;688;3032
95;Menino Deus;Farroupilha;2326;50;960;490;600;1726
96;Menino Deus;Floresta;514;150;141;71;250;264
97;Menino Deus;Independência;1000;150;422;226;200;800
98;Menino Deus;Menino Deus;11199;1187;4306;2325;3075;8124
99;Menino Deus;Moinhos de Vento;392;50;109;86;150;242
100;Menino Deus;Praia de Belas;16325;1884;7477;3991;2518;10876
101;Menino Deus;Rio Branco;620;148;234;144;148;472
102;Menino Deus;Santa Cecília;978;150;333;160;378;600
103;Menino Deus;Santana;590;150;121;41;439;151
104;Moinhos de Vento;Azenha;133;0;17;15;99;34
105;Moinhos de Vento;Bom Fim;708;150;177;108;391;317
106;Moinhos de Vento;Centro Histórico;711;50;341;149;128;583
107;Moinhos de Vento;Cidade Baixa;277;100;64;22;150;127
108;Moinhos de Vento;Farroupilha;400;50;146;98;100;300
109;Moinhos de Vento;Floresta;1152;196;391;247;343;809
110;Moinhos de Vento;Independência;826;100;258;200;247;579
111;Moinhos de Vento;Menino Deus;491;50;174;151;110;381
112;Moinhos de Vento;Moinhos de Vento;4868;395;1846;1454;966;3902
113;Moinhos de Vento;Praia de Belas;5289;460;2258;1638;789;3586
114;Moinhos de Vento;Rio Branco;1901;350;506;345;940;961
115;Moinhos de Vento;Santa Cecília;556;0;180;124;200;356
116;Moinhos de Vento;Santana;208;50;30;19;147;61
117;Praia de Belas;Azenha;8937;1356;3925;1775;1723;5341
118;Praia de Belas;Bom Fim;7852;734;3232;1812;1384;4893
119;Praia de Belas;Centro Histórico;12585;790;5828;2677;1548;9519
120;Praia de Belas;Cidade Baixa;11309;1041;5042;2254;1864;7374
121;Praia de Belas;Farroupilha;1016;106;446;318;158;631
122;Praia de Belas;Floresta;5301;636;2405;1183;921;3520
123;Praia de Belas;Independência;6120;631;2519;1647;1091;3635
124;Praia de Belas;Menino Deus;19319;1903;9017;4877;2700;13688
125;Praia de Belas;Moinhos de Vento;5443;467;2300;1813;795;3734
126;Praia de Belas;Praia de Belas;7569;1017;3320;1589;875;5612
127;Praia de Belas;Rio Branco;8095;750;3741;1950;1248;5598
128;Praia de Belas;Santa Cecília;5448;838;2477;1266;1011;3069
129;Praia de Belas;Santana;10830;1099;4872;2596;1684;7551
130;Rio Branco;Azenha;491;50;74;48;339;152
131;Rio Branco;Bom Fim;4480;350;2050;962;889;3591
132;Rio Branco;Centro Histórico;1767;199;555;299;704;1063
133;Rio Branco;Cidade Baixa;517;100;215;78;199;318
134;Rio Branco;Farroupilha;1241;100;449;222;391;850
135;Rio Branco;Floresta;854;347;79;17;788;66
136;Rio Branco;Independência;1420;400;405;172;850;570
137;Rio Branco;Menino Deus;516;149;189;96;149;367
138;Rio Branco;Moinhos de Vento;1852;348;490;306;916;936
139;Rio Branco;Praia de Belas;6266;715;2818;1433;1124;3893
140;Rio Branco;Rio Branco;1584;200;320;189;970;614
141;Rio Branco;Santa Cecília;1134;50;495;248;200;934
142;Rio Branco;Santana;706;50;242;122;250;456
143;Santa Cecília;Azenha;220;50;34;21;146;74
144;Santa Cecília;Bom Fim;799;97;327;167;197;602
145;Santa Cecília;Centro Histórico;802;48;241;87;414;388
146;Santa Cecília;Cidade Baixa;131;0;38;15;50;81
147;Santa Cecília;Farroupilha;270;0;140;50;100;170
148;Santa Cecília;Floresta;170;0;54;43;50;120
149;Santa Cecília;Independência;188;48;24;16;132;56
150;Santa Cecília;Menino Deus;609;146;131;51;393;216
151;Santa Cecília;Moinhos de Vento;450;0;135;90;178;272
152;Santa Cecília;Praia de Belas;7618;851;3529;1816;1103;5147
153;Santa Cecília;Rio Branco;740;50;304;132;183;557
154;Santa Cecília;Santa Cecília;2282;397;850;377;876;1406
155;Santa Cecília;Santana;1375;196;406;194;708;667
156;Santana;Azenha;3148;692;651;313;1975;1173
157;Santana;Bom Fim;644;100;132;60;450;194
158;Santana;Centro Histórico;531;148;146;67;247;284
159;Santana;Cidade Baixa;464;50;184;66;198;266
160;Santana;Farroupilha;450;50;105;57;250;200
161;Santana;Floresta;406;50;109;50;200;206
162;Santana;Independência;509;98;185;108;148;361
163;Santana;Menino Deus;587;145;117;37;442;145
164;Santana;Moinhos de Vento;248;50;47;37;148;100
165;Santana;Praia de Belas;9198;1099;4076;2165;1599;6004
166;Santana;Rio Branco;1233;49;534;273;233;1000
167;Santana;Santa Cecília;2103;198;762;394;718;1385
168;Santana;Santana;11306;2156;3566;1713;4824;6482
