Simulation Frame;Blob Count
0;94
1;94
2;94
3;94
4;94
5;94
6;94
7;1190
8;1190
9;1190
10;1190
11;1265
12;1324
13;1437
14;1465
15;1465
16;1465
17;1465
18;1465
19;1465
20;1465
21;1465
22;94
23;94
