Simulation Frame;Aberta dos Morros;Agronomia;Anchieta;Arquipélago;Auxiliadora;Azenha;Bela Vista;Belém Novo;Belém Velho;Boa Vista;Boa Vista do Sul;Bom Fim;Bom Jesus;Camaquã;Campo Novo;Cascata;Cavalhada;Centro;Chácara das Pedras;Chapéu do Sol;Cidade Baixa;Coronel Aparício Borges;Costa e Silva;Cristal;Cristo Redentor;Espírito Santo;Extrema;Farrapos;Farroupilha;Floresta;Glória;Guarujá;Higienópolis;Hípica;Humaitá;Independência;Ipanema;Jardim Botânico;Jardim Carvalho;Jardim do Salso;Jardim Dona Leopoldina;Jardim Europa;Jardim Floresta;Jardim Isabel;Jardim Itu;Jardim Lindóia;Jardim Sabará;Jardim São Pedro;Lageado;Lami;Lomba do Pinheiro;Mário Quintana;Medianeira;Menino Deus;Moinhos de Vento;MontSerrat;Morro Santana;Navegantes;Nonoai;Parque Santa Fé;Partenon;Passo DAreia;Passo das Pedras;Pedra Redonda;Petrópolis;Pitinga;Ponta Grossa;Praia de Belas;Restinga;Rio Branco;Rubem Berta;Santa Cecília;Santa Maria Goretti;Santa Rosa de Lima;Santa Tereza;Santana;Santo Antônio;São Caetano;São Geraldo;São João;São Sebastião;Sarandi;Serraria;Sétimo Céu;Teresópolis;Três Figueiras;Tristeza;Vila Assunção;Vila Conceição;Vila Ipiranga;Vila Jardim;Vila João Pessoa;Vila Nova;Vila São José
13;95;68;52;95;95;95;95;95;95;95;23;95;95;95;95;95;95;95;92;57;95;95;94;94;94;94;14;94;27;94;94;94;94;94;94;92;94;94;93;85;93;63;64;61;93;91;93;69;93;93;93;93;93;93;93;93;93;75;93;93;93;93;93;20;93;93;93;66;93;93;93;87;67;93;93;93;93;33;93;93;93;93;93;38;93;83;93;92;42;93;93;93;93;92
14;95;68;52;95;95;95;95;95;95;95;23;95;95;95;95;95;95;95;92;57;95;95;94;94;94;94;14;94;27;94;94;94;94;94;94;92;94;94;93;85;93;63;64;61;93;91;93;69;93;93;93;93;93;93;93;93;93;75;93;93;93;93;93;20;93;93;93;66;93;93;93;87;67;93;93;93;93;33;93;93;93;93;93;38;93;83;93;92;42;93;93;93;93;92
15;95;68;52;95;95;95;95;95;95;95;23;95;95;95;95;95;95;95;92;57;95;95;94;94;94;94;14;94;27;94;94;94;94;94;94;92;94;94;93;85;93;63;64;61;93;91;93;69;93;93;93;93;93;93;93;93;93;75;93;93;93;93;93;20;93;93;93;66;93;93;93;87;67;93;93;93;93;33;93;93;93;93;93;38;93;83;93;92;42;93;93;93;93;92
16;95;68;52;95;95;95;95;95;95;95;23;95;95;95;95;95;95;95;92;57;95;95;94;94;94;94;14;94;27;94;94;94;94;94;94;92;94;94;93;85;93;63;64;61;93;91;93;69;93;93;93;93;93;93;93;93;93;75;93;93;93;93;93;20;93;93;93;66;93;93;93;87;67;93;93;93;93;33;93;93;93;93;93;38;93;83;93;92;42;93;93;93;93;92
17;95;68;52;95;95;95;95;95;95;95;23;95;95;95;95;95;95;95;92;57;95;95;94;94;94;94;14;94;27;94;94;94;94;94;94;92;94;94;93;85;93;63;64;61;93;91;93;69;93;93;93;93;93;93;93;93;93;75;93;93;93;93;93;20;93;93;93;66;93;93;93;87;67;93;93;93;93;33;93;93;93;93;93;38;93;83;93;92;42;93;93;93;93;92
18;95;68;52;95;95;95;95;95;95;95;23;95;95;95;95;95;95;95;92;57;95;95;94;94;94;94;14;94;27;94;94;94;94;94;94;92;94;94;93;85;93;63;64;61;93;91;93;69;93;93;93;93;93;93;93;93;93;75;93;93;93;93;93;20;93;93;93;66;93;93;93;87;67;93;93;93;93;33;93;93;93;93;93;38;93;83;93;92;42;93;93;93;93;92
19;95;68;52;95;95;95;95;95;95;95;23;95;95;95;95;95;95;95;92;57;95;95;94;94;94;94;14;94;27;94;94;94;94;94;94;92;94;94;93;85;93;63;64;61;93;91;93;69;93;93;93;93;93;93;93;93;93;75;93;93;93;93;93;20;93;93;93;66;93;93;93;87;67;93;93;93;93;33;93;93;93;93;93;38;93;83;93;92;42;93;93;93;93;92
20;95;68;52;95;95;95;95;95;95;95;23;95;95;95;95;95;95;95;92;57;95;95;94;94;94;94;14;94;27;94;94;94;94;94;94;92;94;94;93;85;93;63;64;61;93;91;93;69;93;93;93;93;93;93;93;93;93;75;93;93;93;93;93;20;93;93;93;66;93;93;93;87;67;93;93;93;93;33;93;93;93;93;93;38;93;83;93;92;42;93;93;93;93;92
21;95;68;52;95;95;95;95;95;95;95;23;95;95;95;95;95;95;95;92;57;95;95;94;94;94;94;14;94;27;94;94;94;94;94;94;92;94;94;93;85;93;63;64;61;93;91;93;69;93;93;93;93;93;93;93;93;93;75;93;93;93;93;93;20;93;93;93;66;93;93;93;87;67;93;93;93;93;33;93;93;93;93;93;38;93;83;93;92;42;93;93;93;93;92
22;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
23;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
24;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
25;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
26;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
27;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
28;95;67;49;95;95;95;95;95;95;95;22;95;95;95;95;95;95;95;90;50;95;95;94;94;94;94;13;94;17;94;94;94;94;94;94;92;94;94;93;84;93;56;64;57;93;90;93;67;93;93;93;93;93;93;93;93;93;75;93;93;93;93;93;15;93;93;93;50;93;93;93;86;65;93;93;93;93;6;93;93;89;93;93;15;93;73;93;91;14;93;93;93;93;92
29;95;67;49;95;95;95;95;95;95;95;22;95;95;95;95;95;95;95;90;50;95;95;94;94;94;94;13;94;17;94;94;94;94;94;94;92;94;94;93;84;93;56;64;57;93;90;93;67;93;93;93;93;93;93;93;93;93;75;93;93;93;93;93;15;93;93;93;50;93;93;93;86;65;93;93;93;93;6;93;93;89;93;93;15;93;73;93;91;14;93;93;93;93;92
30;95;67;51;95;95;95;95;95;95;95;23;95;95;95;95;95;95;95;92;57;95;95;94;94;94;94;14;94;27;94;94;94;94;94;94;92;94;94;93;85;93;63;64;61;93;91;93;69;93;93;93;93;93;93;93;93;93;75;93;93;93;93;93;20;93;93;93;66;93;93;93;87;67;93;93;93;93;33;93;93;93;93;93;38;93;83;93;92;42;93;93;93;93;92
31;95;67;51;95;95;95;95;95;95;95;23;95;95;95;95;95;95;95;92;57;95;95;94;94;94;94;14;94;27;94;94;94;94;94;94;92;94;94;93;85;93;63;64;61;93;91;93;69;93;93;93;93;93;93;93;93;93;75;93;93;93;93;93;20;93;93;93;66;93;93;93;87;67;93;93;93;93;33;93;93;93;93;93;38;93;83;93;92;42;93;93;93;93;92
32;95;68;52;95;95;95;95;95;95;95;23;95;95;95;95;95;95;95;92;57;95;95;94;94;94;94;14;94;27;94;94;94;94;94;94;92;94;94;93;85;93;63;64;61;93;91;93;69;93;93;93;93;93;93;93;93;93;75;93;93;93;93;93;20;93;93;93;66;93;93;93;87;67;93;93;93;93;33;93;93;93;93;93;38;93;83;93;92;42;93;93;93;93;92
33;95;68;52;95;95;95;95;95;95;95;23;95;95;95;95;95;95;95;92;57;95;95;94;94;94;94;14;94;27;94;94;94;94;94;94;92;94;94;93;85;93;63;64;61;93;91;93;69;93;93;93;93;93;93;93;93;93;75;93;93;93;93;93;20;93;93;93;66;93;93;93;87;67;93;93;93;93;33;93;93;93;93;93;38;93;83;93;92;42;93;93;93;93;92
34;95;68;52;95;95;95;95;95;95;95;23;95;95;95;95;95;95;95;92;57;95;95;94;94;94;94;14;94;27;94;94;94;94;94;94;92;94;94;93;85;93;63;64;61;93;91;93;69;93;93;93;93;93;93;93;93;93;75;93;93;93;93;93;20;93;93;93;66;93;93;93;87;67;93;93;93;93;33;93;93;93;93;93;38;93;83;93;92;42;93;93;93;93;92
35;95;68;52;95;95;95;95;95;95;95;23;95;95;95;95;95;95;95;92;57;95;95;94;94;94;94;14;94;27;94;94;94;94;94;94;92;94;94;93;85;93;63;64;61;93;91;93;69;93;93;93;93;93;93;93;93;93;75;93;93;93;93;93;20;93;93;93;66;93;93;93;87;67;93;93;93;93;33;93;93;93;93;93;38;93;83;93;92;42;93;93;93;93;92
36;95;68;52;95;95;95;95;95;95;95;23;95;95;95;95;95;95;95;92;57;95;95;94;94;94;94;14;94;27;94;94;94;94;94;94;92;94;94;93;85;93;63;64;61;93;91;93;69;93;93;93;93;93;93;93;93;93;75;93;93;93;93;93;20;93;93;93;66;93;93;93;87;67;93;93;93;93;33;93;93;93;93;93;38;93;83;93;92;42;93;93;93;93;92
37;95;68;52;95;95;95;95;95;95;95;23;95;95;95;95;95;95;95;92;57;95;95;94;94;94;94;14;94;27;94;94;94;94;94;94;92;94;94;93;85;93;63;64;61;93;91;93;69;93;93;93;93;93;93;93;93;93;75;93;93;93;93;93;20;93;93;93;66;93;93;93;87;67;93;93;93;93;33;93;93;93;93;93;38;93;83;93;92;42;93;93;93;93;92
38;95;68;52;95;95;95;95;95;95;95;23;95;95;95;95;95;95;95;92;57;95;95;94;94;94;94;14;94;27;94;94;94;94;94;94;92;94;94;93;85;93;63;64;61;93;91;93;69;93;93;93;93;93;93;93;93;93;75;93;93;93;93;93;20;93;93;93;66;93;93;93;87;67;93;93;93;93;33;93;93;93;93;93;38;93;83;93;92;42;93;93;93;93;92
39;95;68;52;95;95;95;95;95;95;95;23;95;95;95;95;95;95;95;92;57;95;95;94;94;94;94;14;94;27;94;94;94;94;94;94;92;94;94;93;85;93;63;64;61;93;91;93;69;93;93;93;93;93;93;93;93;93;75;93;93;93;93;93;20;93;93;93;66;93;93;93;87;67;93;93;93;93;33;93;93;93;93;93;38;93;83;93;92;42;93;93;93;93;92
40;95;68;52;95;95;95;95;95;95;95;23;95;95;95;95;95;95;95;92;57;95;95;94;94;94;94;14;94;27;94;94;94;94;94;94;92;94;94;93;85;93;63;64;61;93;91;93;69;93;93;93;93;93;93;93;93;93;75;93;93;93;93;93;20;93;93;93;66;93;93;93;87;67;93;93;93;93;33;93;93;93;93;93;38;93;83;93;92;42;93;93;93;93;92
41;95;68;52;95;95;95;95;95;95;95;23;95;95;95;95;95;95;95;92;57;95;95;94;94;94;94;14;94;27;94;94;94;94;94;94;92;94;94;93;85;93;63;64;61;93;91;93;69;93;93;93;93;93;93;93;93;93;75;93;93;93;93;93;20;93;93;93;66;93;93;93;87;67;93;93;93;93;33;93;93;93;93;93;38;93;83;93;92;42;93;93;93;93;92
42;95;68;52;95;95;95;95;95;95;95;23;95;95;95;95;95;95;95;92;57;95;95;94;94;94;94;14;94;27;94;94;94;94;94;94;92;94;94;93;85;93;63;64;61;93;91;93;69;93;93;93;93;93;93;93;93;93;75;93;93;93;93;93;20;93;93;93;66;93;93;93;87;67;93;93;93;93;33;93;93;93;93;93;38;93;83;93;92;42;93;93;93;93;92
43;95;68;52;95;95;95;95;95;95;95;23;95;95;95;95;95;95;95;92;57;95;95;94;94;94;94;14;94;27;94;94;94;94;94;94;92;94;94;93;85;93;63;64;61;93;91;93;69;93;93;93;93;93;93;93;93;93;75;93;93;93;93;93;20;93;93;93;66;93;93;93;87;67;93;93;93;93;33;93;93;93;93;93;38;93;83;93;92;42;93;93;93;93;92
44;95;68;52;95;95;95;95;95;95;95;23;95;95;95;95;95;95;95;92;57;95;95;94;94;94;94;14;94;27;94;94;94;94;94;94;92;94;94;93;85;93;63;64;61;93;91;93;69;93;93;93;93;93;93;93;93;93;75;93;93;93;93;93;20;93;93;93;66;93;93;93;87;67;93;93;93;93;33;93;93;93;93;93;38;93;83;93;92;42;93;93;93;93;92
45;95;68;52;95;95;95;95;95;95;95;23;95;95;95;95;95;95;95;92;57;95;95;94;94;94;94;14;94;27;94;94;94;94;94;94;92;94;94;93;85;93;63;64;61;93;91;93;69;93;93;93;93;93;93;93;93;93;75;93;93;93;93;93;20;93;93;93;66;93;93;93;87;67;93;93;93;93;33;93;93;93;93;93;38;93;83;93;92;42;93;93;93;93;92
46;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
47;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
