Frame;Hour;Day;Region;Total;Locals;Outsiders;dTotals;dLocals;dOutsiders
7;7;0;Moinhos de Vento;12007;11830;177;5;-6;11
7;7;0;Praia de Belas;2165;2165;0;-7;-7;0
7;7;0;Rio Branco;17590;17389;201;3;-6;9
7;7;0;Santa Cecília;5792;5619;173;-5;-8;3
7;7;0;Santana;20788;20581;207;8;-8;16
8;8;0;Azenha;13885;13593;292;26;-77;103
8;8;0;Bom Fim;11226;11226;0;-159;-159;0
8;8;0;Centro;39361;39006;355;71;-67;138
8;8;0;Cidade Baixa;15141;15141;0;-86;-86;0
8;8;0;Farroupilha;1009;726;283;16;-84;100
8;8;0;Floresta;11382;11382;0;-75;-75;0
8;8;0;Independência;8205;7904;301;31;-75;106
8;8;0;Menino Deus;31845;31486;359;83;-58;141
8;8;0;Moinhos de Vento;12057;11772;285;50;-58;108
8;8;0;Praia de Belas;2099;2099;0;-66;-66;0
8;8;0;Rio Branco;17642;17315;327;52;-74;126
8;8;0;Santa Cecília;5813;5537;276;21;-82;103
8;8;0;Santana;20824;20503;321;36;-78;114
9;9;0;Azenha;13882;13591;291;-3;-2;-1
9;9;0;Bom Fim;11225;11225;0;-1;-1;0
9;9;0;Centro;39361;39006;355;0;0;0
9;9;0;Cidade Baixa;15138;15138;0;-3;-3;0
9;9;0;Farroupilha;1007;722;285;-2;-4;2
9;9;0;Floresta;11380;11380;0;-2;-2;0
9;9;0;Independência;8207;7902;305;2;-2;4
9;9;0;Menino Deus;31829;31484;345;-16;-2;-14
9;9;0;Moinhos de Vento;12047;11770;277;-10;-2;-8
9;9;0;Praia de Belas;2097;2097;0;-2;-2;0
9;9;0;Rio Branco;17656;17315;341;14;0;14
9;9;0;Santa Cecília;5811;5532;279;-2;-5;3
9;9;0;Santana;20849;20502;347;25;-1;26
10;10;0;Azenha;13882;13583;299;0;-8;8
10;10;0;Bom Fim;11218;11218;0;-7;-7;0
10;10;0;Centro;39280;38930;350;-81;-76;-5
10;10;0;Cidade Baixa;15134;15134;0;-4;-4;0
10;10;0;Farroupilha;1014;717;297;7;-5;12
10;10;0;Floresta;11377;11377;0;-3;-3;0
10;10;0;Independência;8220;7900;320;13;-2;15
10;10;0;Menino Deus;31857;31483;374;28;-1;29
10;10;0;Moinhos de Vento;12070;11769;301;23;-1;24
10;10;0;Praia de Belas;2092;2092;0;-5;-5;0
10;10;0;Rio Branco;17659;17312;347;3;-3;6
10;10;0;Santa Cecília;5819;5528;291;8;-4;12
10;10;0;Santana;20867;20499;368;18;-3;21
11;11;0;Azenha;13882;13585;297;0;2;-2
11;11;0;Bom Fim;11223;11223;0;5;5;0
11;11;0;Centro;39284;38943;341;4;13;-9
11;11;0;Cidade Baixa;15135;15135;0;1;1;0
11;11;0;Farroupilha;1020;721;299;6;4;2
11;11;0;Floresta;11378;11378;0;1;1;0
11;11;0;Independência;8230;7902;328;10;2;8
11;11;0;Menino Deus;31865;31484;381;8;1;7
11;11;0;Moinhos de Vento;12073;11772;301;3;3;0
11;11;0;Praia de Belas;2092;2092;0;0;0;0
11;11;0;Rio Branco;17652;17312;340;-7;0;-7
11;11;0;Santa Cecília;5823;5534;289;4;6;-2
11;11;0;Santana;20832;20500;332;-35;1;-36
12;12;0;Azenha;13935;13527;408;53;-58;111
12;12;0;Bom Fim;11128;11128;0;-95;-95;0
12;12;0;Centro;39277;38836;441;-7;-107;100
12;12;0;Cidade Baixa;15063;15063;0;-72;-72;0
12;12;0;Farroupilha;1053;653;400;33;-68;101
12;12;0;Floresta;11320;11320;0;-58;-58;0
12;12;0;Independência;8266;7843;423;36;-59;95
12;12;0;Menino Deus;31890;31432;458;25;-52;77
12;12;0;Moinhos de Vento;12105;11724;381;32;-48;80
12;12;0;Praia de Belas;2039;2039;0;-53;-53;0
12;12;0;Rio Branco;17680;17248;432;28;-64;92
12;12;0;Santa Cecília;5848;5468;380;25;-66;91
12;12;0;Santana;20885;20438;447;53;-62;115
13;13;0;Azenha;13927;13516;411;-8;-11;3
13;13;0;Bom Fim;11119;11119;0;-9;-9;0
13;13;0;Centro;39278;38840;438;1;4;-3
13;13;0;Cidade Baixa;15053;15053;0;-10;-10;0
13;13;0;Farroupilha;1046;644;402;-7;-9;2
13;13;0;Floresta;11313;11313;0;-7;-7;0
13;13;0;Independência;8267;7835;432;1;-8;9
13;13;0;Menino Deus;31913;31427;486;23;-5;28
13;13;0;Moinhos de Vento;12104;11717;387;-1;-7;6
13;13;0;Praia de Belas;2032;2032;0;-7;-7;0
13;13;0;Rio Branco;17695;17240;455;15;-8;23
13;13;0;Santa Cecília;5853;5459;394;5;-9;14
13;13;0;Santana;20889;20430;459;4;-8;12
14;14;0;Azenha;13938;13513;425;11;-3;14
14;14;0;Bom Fim;11112;11112;0;-7;-7;0
14;14;0;Centro;39309;38853;456;31;13;18
14;14;0;Cidade Baixa;15048;15048;0;-5;-5;0
14;14;0;Farroupilha;1041;637;404;-5;-7;2
14;14;0;Floresta;11303;11303;0;-10;-10;0
14;14;0;Independência;8271;7830;441;4;-5;9
14;14;0;Menino Deus;31899;31422;477;-14;-5;-9
14;14;0;Moinhos de Vento;12116;11713;403;12;-4;16
14;14;0;Praia de Belas;2026;2026;0;-6;-6;0
14;14;0;Rio Branco;17695;17235;460;0;-5;5
14;14;0;Santa Cecília;5846;5453;393;-7;-6;-1
14;14;0;Santana;20885;20425;460;-4;-5;1
15;15;0;Azenha;13912;13498;414;-26;-15;-11
15;15;0;Bom Fim;11092;11092;0;-20;-20;0
15;15;0;Centro;39403;38857;546;94;4;90
15;15;0;Cidade Baixa;15027;15027;0;-21;-21;0
15;15;0;Farroupilha;1025;618;407;-16;-19;3
15;15;0;Floresta;11289;11289;0;-14;-14;0
15;15;0;Independência;8252;7810;442;-19;-20;1
15;15;0;Menino Deus;31911;31414;497;12;-8;20
15;15;0;Moinhos de Vento;12110;11700;410;-6;-13;7
15;15;0;Praia de Belas;2012;2012;0;-14;-14;0
15;15;0;Rio Branco;17720;17224;496;25;-11;36
15;15;0;Santa Cecília;5842;5439;403;-4;-14;10
15;15;0;Santana;20894;20413;481;9;-12;21
16;16;0;Azenha;13944;13419;525;32;-79;111
16;16;0;Bom Fim;10991;10991;0;-101;-101;0
16;16;0;Centro;39422;38817;605;19;-40;59
16;16;0;Cidade Baixa;14949;14949;0;-78;-78;0
16;16;0;Farroupilha;1033;534;499;8;-84;92
16;16;0;Floresta;11223;11223;0;-66;-66;0
16;16;0;Independência;8282;7741;541;30;-69;99
16;16;0;Menino Deus;31994;31360;634;83;-54;137
16;16;0;Moinhos de Vento;12149;11644;505;39;-56;95
16;16;0;Praia de Belas;1948;1948;0;-64;-64;0
16;16;0;Rio Branco;17752;17151;601;32;-73;105
16;16;0;Santa Cecília;5842;5354;488;0;-85;85
16;16;0;Santana;20960;20340;620;66;-73;139
17;17;0;Azenha;13955;13437;518;11;18;-7
17;17;0;Bom Fim;11002;11002;0;11;11;0
17;17;0;Centro;39485;38836;649;63;19;44
17;17;0;Cidade Baixa;14956;14956;0;7;7;0
17;17;0;Farroupilha;1046;545;501;13;11;2
17;17;0;Floresta;11226;11226;0;3;3;0
17;17;0;Independência;8293;7746;547;11;5;6
17;17;0;Menino Deus;31929;31363;566;-65;3;-68
17;17;0;Moinhos de Vento;12162;11652;510;13;8;5
17;17;0;Praia de Belas;1958;1958;0;10;10;0
17;17;0;Rio Branco;17707;17155;552;-45;4;-49
17;17;0;Santa Cecília;5856;5372;484;14;18;-4
17;17;0;Santana;20914;20350;564;-46;10;-56
18;18;0;Azenha;13951;13446;505;-4;9;-13
18;18;0;Bom Fim;11018;11018;0;16;16;0
18;18;0;Centro;39386;38845;541;-99;9;-108
18;18;0;Cidade Baixa;14974;14974;0;18;18;0
18;18;0;Farroupilha;1066;562;504;20;17;3
18;18;0;Floresta;11243;11243;0;17;17;0
18;18;0;Independência;8285;7760;525;-8;14;-22
18;18;0;Menino Deus;31943;31374;569;14;11;3
18;18;0;Moinhos de Vento;12135;11660;475;-27;8;-35
18;18;0;Praia de Belas;1971;1971;0;13;13;0
18;18;0;Rio Branco;17732;17170;562;25;15;10
18;18;0;Santa Cecília;5860;5381;479;4;9;-5
18;18;0;Santana;20925;20360;565;11;10;1
19;19;0;Azenha;13955;13451;504;4;5;-1
19;19;0;Bom Fim;11018;11018;0;0;0;0
19;19;0;Centro;39397;38850;547;11;5;6
19;19;0;Cidade Baixa;14976;14976;0;2;2;0
19;19;0;Farroupilha;1073;567;506;7;5;2
19;19;0;Floresta;11244;11244;0;1;1;0
19;19;0;Independência;8292;7763;529;7;3;4
19;19;0;Menino Deus;31933;31377;556;-10;3;-13
19;19;0;Moinhos de Vento;12140;11664;476;5;4;1
19;19;0;Praia de Belas;1974;1974;0;3;3;0
19;19;0;Rio Branco;17719;17174;545;-13;4;-17
19;19;0;Santa Cecília;5864;5387;477;4;6;-2
19;19;0;Santana;20904;20364;540;-21;4;-25
20;20;0;Azenha;13979;13410;569;24;-41;65
20;20;0;Bom Fim;10945;10945;0;-73;-73;0
20;20;0;Centro;39400;38819;581;3;-31;34
20;20;0;Cidade Baixa;14926;14926;0;-50;-50;0
20;20;0;Farroupilha;1131;534;597;58;-33;91
20;20;0;Floresta;11194;11194;0;-50;-50;0
20;20;0;Independência;8330;7716;614;38;-47;85
20;20;0;Menino Deus;31934;31340;594;1;-37;38
20;20;0;Moinhos de Vento;12183;11627;556;43;-37;80
20;20;0;Praia de Belas;1940;1940;0;-34;-34;0
20;20;0;Rio Branco;17717;17120;597;-2;-54;52
20;20;0;Santa Cecília;5886;5337;549;22;-50;72
20;20;0;Santana;20924;20317;607;20;-47;67
21;21;0;Azenha;13985;13423;562;6;13;-7
21;21;0;Bom Fim;10954;10954;0;9;9;0
21;21;0;Centro;39371;38823;548;-29;4;-33
21;21;0;Cidade Baixa;14936;14936;0;10;10;0
21;21;0;Farroupilha;1142;544;598;11;10;1
21;21;0;Floresta;11202;11202;0;8;8;0
21;21;0;Independência;8333;7723;610;3;7;-4
21;21;0;Menino Deus;31910;31345;565;-24;5;-29
21;21;0;Moinhos de Vento;12177;11631;546;-6;4;-10
21;21;0;Praia de Belas;1949;1949;0;9;9;0
21;21;0;Rio Branco;17728;17130;598;11;10;1
21;21;0;Santa Cecília;5892;5346;546;6;9;-3
21;21;0;Santana;20910;20323;587;-14;6;-20
22;22;0;Azenha;13992;13432;560;7;9;-2
22;22;0;Bom Fim;10965;10965;0;11;11;0
22;22;0;Centro;39354;38828;526;-17;5;-22
22;22;0;Cidade Baixa;14945;14945;0;9;9;0
22;22;0;Farroupilha;1152;553;599;10;9;1
22;22;0;Floresta;11211;11211;0;9;9;0
22;22;0;Independência;8334;7732;602;1;9;-8
22;22;0;Menino Deus;31901;31350;551;-9;5;-14
22;22;0;Moinhos de Vento;12167;11637;530;-10;6;-16
22;22;0;Praia de Belas;1955;1955;0;6;6;0
22;22;0;Rio Branco;17721;17137;584;-7;7;-14
22;22;0;Santa Cecília;5904;5359;545;12;13;-1
22;22;0;Santana;20888;20327;561;-22;4;-26
23;23;0;Azenha;13804;13804;0;-188;372;-560
23;23;0;Bom Fim;11593;11593;0;628;628;0
23;23;0;Centro;39154;39154;0;-200;326;-526
23;23;0;Cidade Baixa;15379;15379;0;434;434;0
23;23;0;Farroupilha;961;961;0;-191;408;-599
23;23;0;Floresta;11596;11596;0;385;385;0
23;23;0;Independência;8112;8112;0;-222;380;-602
23;23;0;Menino Deus;31650;31650;0;-251;300;-551
23;23;0;Moinhos de Vento;11937;11937;0;-230;300;-530
23;23;0;Praia de Belas;2281;2281;0;326;326;0
23;23;0;Rio Branco;17531;17531;0;-190;394;-584
23;23;0;Santa Cecília;5768;5768;0;-136;409;-545
23;23;0;Santana;20723;20723;0;-165;396;-561
24;0;1;Azenha;13828;13750;78;24;-54;78
24;0;1;Bom Fim;11509;11509;0;-84;-84;0
24;0;1;Centro;39188;39119;69;34;-35;69
24;0;1;Cidade Baixa;15318;15318;0;-61;-61;0
24;0;1;Farroupilha;989;900;89;28;-61;89
24;0;1;Floresta;11541;11541;0;-55;-55;0
24;0;1;Independência;8143;8057;86;31;-55;86
24;0;1;Menino Deus;31681;31606;75;31;-44;75
24;0;1;Moinhos de Vento;11970;11894;76;33;-43;76
24;0;1;Praia de Belas;2235;2235;0;-46;-46;0
24;0;1;Rio Branco;17554;17472;82;23;-59;82
24;0;1;Santa Cecília;5787;5708;79;19;-60;79
24;0;1;Santana;20746;20666;80;23;-57;80
25;1;1;Azenha;13825;13736;89;-3;-14;11
25;1;1;Bom Fim;11493;11493;0;-16;-16;0
25;1;1;Centro;39219;39115;104;31;-4;35
25;1;1;Cidade Baixa;15305;15305;0;-13;-13;0
25;1;1;Farroupilha;977;887;90;-12;-13;1
25;1;1;Floresta;11531;11531;0;-10;-10;0
25;1;1;Independência;8137;8047;90;-6;-10;4
25;1;1;Menino Deus;31709;31599;110;28;-7;35
25;1;1;Moinhos de Vento;11970;11888;82;0;-6;6
25;1;1;Praia de Belas;2225;2225;0;-10;-10;0
25;1;1;Rio Branco;17562;17463;99;8;-9;17
25;1;1;Santa Cecília;5775;5694;81;-12;-14;2
25;1;1;Santana;20761;20657;104;15;-9;24
26;2;1;Azenha;13821;13735;86;-4;-1;-3
26;2;1;Bom Fim;11491;11491;0;-2;-2;0
26;2;1;Centro;39219;39114;105;0;-1;1
26;2;1;Cidade Baixa;15304;15304;0;-1;-1;0
26;2;1;Farroupilha;975;884;91;-2;-3;1
26;2;1;Floresta;11529;11529;0;-2;-2;0
26;2;1;Independência;8138;8046;92;1;-1;2
26;2;1;Menino Deus;31719;31600;119;10;1;9
26;2;1;Moinhos de Vento;11973;11888;85;3;0;3
