eta_name;region;enumeration_area;lat;long;covered_regions
ETA Moinhos de Vento;"Moinhos de Vento";4314902041;-30.0276648;-51.2081317;"['Auxiliadora', 'Azenha', 'Bela Vista', 'Bom Fim', 'Centro Histórico', 'Cidade Baixa', 'Farroupilha', 'Floresta', 'Independência', 'Jardim Botânico', 'Menino Deus', 'Moinhos de Vento', 'Mont'Serrat', 'Partenon', 'Petrópolis', 'Praia de Belas', 'Rio Branco', 'Santa Cecília', 'Santana', 'São João', 'Três Figueiras']"
ETA Menino Deus;"Menino Deus";4314902004;-30.0617176;-51.2256728;"['Agronomia', 'Teresópolis', 'Cel. Aparício Borges', 'Azenha', 'Vila Assunção', 'Belém Velho', 'Camaquã', 'Cavalhada', 'Centro Histórico', 'Cidade Baixa', 'Cristal', 'Jardim Botânico', 'Jardim Carvalho', 'Jardim do Salso', 'Jardim Europa', 'Medianeira', 'Menino Deus', 'Nonoai', 'Partenon', 'Petrópolis', 'Praia de Belas', 'Santana', 'Santa Tereza', 'Vila São José', 'Santo Antônio', 'Tristeza', 'Vila Conceição', 'Serraria', 'Vila João Pessoa', 'Vila Nova']"
ETA São João;"Higienópolis";4314902049;-30.0140938;-51.1864946;"['Passo das Pedras', 'Costa e Silva', 'Parque Santa Fé', 'Chácara das Pedras', 'Três Figueiras', 'Rubem Berta', 'Jardim Leopoldina', 'Petrópolis', 'Mário Quintana', 'Sarandi', 'Morro Santana', 'Jardim Itú', 'Jardim Sabará', 'Cristo Redentor', 'Passo D'Areia', 'Jardim Lindóia', 'Boa Vista', 'Vila Ipiranga', 'Jardim Floresta', 'São Sebastião', 'Anchieta', 'Auxiliadora', 'Higienópolis', 'Humaitá', 'Jardim São Pedro', 'Navegantes', 'São Geraldo', 'São João', 'Farrapos']"
ETA Belém Novo;"Belém Novo";431490205;-30.2098204;-51.1770349;"['Aberta dos Morros', 'Agronomia', 'Belém Novo', 'Belém Velho', 'Boa Vista do Sul', 'Campo Novo', 'Cascata', 'Chapéu do Sol', 'Espírito Santo', 'Extrema', 'Hípica', 'Ipanema', 'Lageado', 'Lomba do Pinheiro ','Restinga']"
ETA Ilhas; "Arquipélago";00000000;-30.01379912313908; -51.26002917625728;"['Arquipélago']"
ETA Tristeza; "Vila Assunção";00000000;-30.0993647920742; -51.25359361527687;"['Ipanema', 'Pedra Redonda', 'Guarujá', 'Jardim Isabel', 'Espírito Santo', 'Serraria']"
