Frame;Hour;Day;Region;Total;Locals;Outsiders;dTotals;dLocals;dOutsiders
8;8;0;Menino Deus;34014;29437;4577;89;151;-62
8;8;0;Moinhos de Vento;11463;9660;1803;-225;42;-267
8;8;0;Praia de Belas;1400;934;466;-2;166;-168
8;8;0;Rio Branco;17751;15030;2721;59;95;-36
8;8;0;Santa Cecília;4514;3527;987;22;236;-214
8;8;0;Santana;21626;18480;3146;303;85;218
9;9;0;Azenha;13369;10975;2394;-27;0;-27
9;9;0;Bom Fim;10412;8553;1859;-57;-40;-17
9;9;0;Centro;43372;37265;6107;230;-8;238
9;9;0;Cidade Baixa;15025;12539;2486;13;-43;56
9;9;0;Farroupilha;263;243;20;-36;9;-45
9;9;0;Floresta;10840;9182;1658;-1;-29;28
9;9;0;Independência;6569;5521;1048;7;-13;20
9;9;0;Menino Deus;34184;29450;4734;170;13;157
9;9;0;Moinhos de Vento;11395;9636;1759;-68;-24;-44
9;9;0;Praia de Belas;1312;920;392;-88;-14;-74
9;9;0;Rio Branco;17776;15059;2717;25;29;-4
9;9;0;Santa Cecília;4433;3536;897;-81;9;-90
9;9;0;Santana;21539;18463;3076;-87;-17;-70
10;10;0;Azenha;13373;11080;2293;4;105;-101
10;10;0;Bom Fim;10456;8821;1635;44;268;-224
10;10;0;Centro;43414;37238;6176;42;-27;69
10;10;0;Cidade Baixa;14919;12761;2158;-106;222;-328
10;10;0;Farroupilha;234;234;0;-29;-9;-20
10;10;0;Floresta;10645;9254;1391;-195;72;-267
10;10;0;Independência;6918;5787;1131;349;266;83
10;10;0;Menino Deus;33818;29452;4366;-366;2;-368
10;10;0;Moinhos de Vento;11497;9787;1710;102;151;-49
10;10;0;Praia de Belas;1550;1039;511;238;119;119
10;10;0;Rio Branco;17574;15105;2469;-202;46;-248
10;10;0;Santa Cecília;4620;3722;898;187;186;1
10;10;0;Santana;21471;18667;2804;-68;204;-272
11;11;0;Azenha;13494;12253;1241;121;1173;-1052
11;11;0;Bom Fim;10754;9941;813;298;1120;-822
11;11;0;Centro;42323;37961;4362;-1091;723;-1814
11;11;0;Cidade Baixa;15122;13790;1332;203;1029;-826
11;11;0;Farroupilha;309;309;0;75;75;0
11;11;0;Floresta;11012;10167;845;367;913;-546
11;11;0;Independência;7161;6508;653;243;721;-478
11;11;0;Menino Deus;33113;30218;2895;-705;766;-1471
11;11;0;Moinhos de Vento;11639;10553;1086;142;766;-624
11;11;0;Praia de Belas;1628;1207;421;78;168;-90
11;11;0;Rio Branco;17597;15943;1654;23;838;-815
11;11;0;Santa Cecília;4873;4461;412;253;739;-486
11;11;0;Santana;21464;19406;2058;-7;739;-746
12;12;0;Azenha;13472;11671;1801;-22;-582;560
12;12;0;Bom Fim;10666;9280;1386;-88;-661;573
12;12;0;Centro;44039;37737;6302;1716;-224;1940
12;12;0;Cidade Baixa;14765;13141;1624;-357;-649;292
12;12;0;Farroupilha;290;216;74;-19;-93;74
12;12;0;Floresta;10760;9583;1177;-252;-584;332
12;12;0;Independência;6842;5928;914;-319;-580;261
12;12;0;Menino Deus;33507;29655;3852;394;-563;957
12;12;0;Moinhos de Vento;11486;10138;1348;-153;-415;262
12;12;0;Praia de Belas;1420;993;427;-208;-214;6
12;12;0;Rio Branco;17330;15245;2085;-267;-698;431
12;12;0;Santa Cecília;4617;3840;777;-256;-621;365
12;12;0;Santana;21295;18732;2563;-169;-674;505
13;13;0;Azenha;13340;11663;1677;-132;-8;-124
13;13;0;Bom Fim;10505;9227;1278;-161;-53;-108
13;13;0;Centro;44208;37721;6487;169;-16;185
13;13;0;Cidade Baixa;14776;13057;1719;11;-84;95
13;13;0;Farroupilha;219;214;5;-71;-2;-69
13;13;0;Floresta;10839;9586;1253;79;3;76
13;13;0;Independência;6783;5905;878;-59;-23;-36
13;13;0;Menino Deus;33782;29675;4107;275;20;255
13;13;0;Moinhos de Vento;11476;10090;1386;-10;-48;38
13;13;0;Praia de Belas;1298;967;331;-122;-26;-96
13;13;0;Rio Branco;17528;15262;2266;198;17;181
13;13;0;Santa Cecília;4475;3779;696;-142;-61;-81
13;13;0;Santana;21260;18659;2601;-35;-73;38
14;14;0;Azenha;13519;11756;1763;179;93;86
14;14;0;Bom Fim;10770;9334;1436;265;107;158
14;14;0;Centro;43712;37691;6021;-496;-30;-466
14;14;0;Cidade Baixa;14812;13145;1667;36;88;-52
14;14;0;Farroupilha;200;200;0;-19;-14;-5
14;14;0;Floresta;10784;9630;1154;-55;44;-99
14;14;0;Independência;7071;6096;975;288;191;97
14;14;0;Menino Deus;33333;29661;3672;-449;-14;-435
14;14;0;Moinhos de Vento;11642;10218;1424;166;128;38
14;14;0;Praia de Belas;1490;1138;352;192;171;21
14;14;0;Rio Branco;17395;15253;2142;-133;-9;-124
14;14;0;Santa Cecília;4591;3829;762;116;50;66
14;14;0;Santana;21170;18765;2405;-90;106;-196
15;15;0;Azenha;13226;11790;1436;-293;34;-327
15;15;0;Bom Fim;10689;9433;1256;-81;99;-180
15;15;0;Centro;43784;37701;6083;72;10;62
15;15;0;Cidade Baixa;14942;13167;1775;130;22;108
15;15;0;Farroupilha;226;226;0;26;26;0
15;15;0;Floresta;10960;9733;1227;176;103;73
15;15;0;Independência;6780;6165;615;-291;69;-360
15;15;0;Menino Deus;33736;29787;3949;403;126;277
15;15;0;Moinhos de Vento;11473;10201;1272;-169;-17;-152
15;15;0;Praia de Belas;1352;1124;228;-138;-14;-124
15;15;0;Rio Branco;17626;15349;2277;231;96;135
15;15;0;Santa Cecília;4512;3869;643;-79;40;-119
15;15;0;Santana;21183;18734;2449;13;-31;44
16;16;0;Azenha;13147;12018;1129;-79;228;-307
16;16;0;Bom Fim;10764;9742;1022;75;309;-234
16;16;0;Centro;43364;37904;5460;-420;203;-623
16;16;0;Cidade Baixa;15043;13424;1619;101;257;-156
16;16;0;Farroupilha;207;207;0;-19;-19;0
16;16;0;Floresta;11142;9987;1155;182;254;-72
16;16;0;Independência;6849;6467;382;69;302;-233
16;16;0;Menino Deus;33523;29999;3524;-213;212;-425
16;16;0;Moinhos de Vento;11416;10453;963;-57;252;-309
16;16;0;Praia de Belas;1437;1248;189;85;124;-39
16;16;0;Rio Branco;17583;15547;2036;-43;198;-241
16;16;0;Santa Cecília;4626;4111;515;114;242;-128
16;16;0;Santana;21388;18881;2507;205;147;58
17;17;0;Azenha;13329;12970;359;182;952;-770
17;17;0;Bom Fim;10955;10646;309;191;904;-713
17;17;0;Centro;41572;38528;3044;-1792;624;-2416
17;17;0;Cidade Baixa;15252;14354;898;209;930;-721
17;17;0;Farroupilha;402;402;0;195;195;0
17;17;0;Floresta;11263;10729;534;121;742;-621
17;17;0;Independência;7511;7283;228;662;816;-154
17;17;0;Menino Deus;32799;30676;2123;-724;677;-1401
17;17;0;Moinhos de Vento;11751;11174;577;335;721;-386
17;17;0;Praia de Belas;1680;1595;85;243;347;-104
17;17;0;Rio Branco;17643;16384;1259;60;837;-777
17;17;0;Santa Cecília;5016;4844;172;390;733;-343
17;17;0;Santana;21316;19577;1739;-72;696;-768
18;18;0;Azenha;13585;12891;694;256;-79;335
18;18;0;Bom Fim;11051;10504;547;96;-142;238
18;18;0;Centro;40816;38106;2710;-756;-422;-334
18;18;0;Cidade Baixa;15152;14203;949;-100;-151;51
18;18;0;Farroupilha;366;366;0;-36;-36;0
18;18;0;Floresta;11323;10653;670;60;-76;136
18;18;0;Independência;7623;7223;400;112;-60;172
18;18;0;Menino Deus;32847;30467;2380;48;-209;257
18;18;0;Moinhos de Vento;11793;11111;682;42;-63;105
18;18;0;Praia de Belas;1763;1643;120;83;48;35
18;18;0;Rio Branco;17562;16213;1349;-81;-171;90
18;18;0;Santa Cecília;5221;4803;418;205;-41;246
18;18;0;Santana;21387;19648;1739;71;71;0
19;19;0;Azenha;13577;12959;618;-8;68;-76
19;19;0;Bom Fim;11071;10595;476;20;91;-71
19;19;0;Centro;40863;38215;2648;47;109;-62
19;19;0;Cidade Baixa;15193;14348;845;41;145;-104
19;19;0;Farroupilha;433;433;0;67;67;0
19;19;0;Floresta;11339;10746;593;16;93;-77
19;19;0;Independência;7606;7284;322;-17;61;-78
19;19;0;Menino Deus;32885;30568;2317;38;101;-63
19;19;0;Moinhos de Vento;11811;11164;647;18;53;-35
19;19;0;Praia de Belas;1682;1664;18;-81;21;-102
19;19;0;Rio Branco;17570;16302;1268;8;89;-81
19;19;0;Santa Cecília;5228;4896;332;7;93;-86
19;19;0;Santana;21231;19623;1608;-156;-25;-131
20;20;0;Azenha;13685;13685;0;108;726;-618
20;20;0;Bom Fim;11473;11419;54;402;824;-422
20;20;0;Centro;39232;39005;227;-1631;790;-2421
20;20;0;Cidade Baixa;15284;15187;97;91;839;-748
20;20;0;Farroupilha;1043;834;209;610;401;209
20;20;0;Floresta;11514;11417;97;175;671;-496
20;20;0;Independência;8052;7946;106;446;662;-216
20;20;0;Menino Deus;31807;31394;413;-1078;826;-1904
20;20;0;Moinhos de Vento;11867;11748;119;56;584;-528
20;20;0;Praia de Belas;2397;2187;210;715;523;192
20;20;0;Rio Branco;17413;17186;227;-157;884;-1041
20;20;0;Santa Cecília;5828;5555;273;600;659;-59
20;20;0;Santana;20894;20431;463;-337;808;-1145
21;21;0;Azenha;13727;13720;7;42;35;7
21;21;0;Bom Fim;11499;11483;16;26;64;-38
21;21;0;Centro;39341;39072;269;109;67;42
21;21;0;Cidade Baixa;15323;15248;75;39;61;-22
21;21;0;Farroupilha;1009;880;129;-34;46;-80
21;21;0;Floresta;11532;11492;40;18;75;-57
21;21;0;Independência;8015;8013;2;-37;67;-104
21;21;0;Menino Deus;31798;31511;287;-9;117;-126
21;21;0;Moinhos de Vento;11874;11835;39;7;87;-80
21;21;0;Praia de Belas;2299;2205;94;-98;18;-116
21;21;0;Rio Branco;17501;17339;162;88;153;-65
21;21;0;Santa Cecília;5782;5632;150;-46;77;-123
21;21;0;Santana;20789;20542;247;-105;111;-216
22;22;0;Azenha;13801;13658;143;74;-62;136
22;22;0;Bom Fim;11554;11415;139;55;-68;123
22;22;0;Centro;39266;39030;236;-75;-42;-33
22;22;0;Cidade Baixa;15362;15216;146;39;-32;71
22;22;0;Farroupilha;988;839;149;-21;-41;20
22;22;0;Floresta;11576;11446;130;44;-46;90
22;22;0;Independência;8106;7970;136;91;-43;134
22;22;0;Menino Deus;31669;31455;214;-129;-56;-73
22;22;0;Moinhos de Vento;11951;11810;141;77;-25;102
22;22;0;Praia de Belas;2343;2196;147;44;-9;53
22;22;0;Rio Branco;17442;17294;148;-59;-45;-14
22;22;0;Santa Cecília;5749;5599;150;-33;-33;0
22;22;0;Santana;20682;20496;186;-107;-46;-61
23;23;0;Azenha;13804;13804;0;3;146;-143
23;23;0;Bom Fim;11593;11593;0;39;178;-139
23;23;0;Centro;39154;39154;0;-112;124;-236
23;23;0;Cidade Baixa;15379;15379;0;17;163;-146
23;23;0;Farroupilha;961;961;0;-27;122;-149
23;23;0;Floresta;11596;11596;0;20;150;-130
23;23;0;Independência;8112;8112;0;6;142;-136
23;23;0;Menino Deus;31650;31650;0;-19;195;-214
23;23;0;Moinhos de Vento;11937;11937;0;-14;127;-141
23;23;0;Praia de Belas;2281;2281;0;-62;85;-147
23;23;0;Rio Branco;17531;17531;0;89;237;-148
23;23;0;Santa Cecília;5768;5768;0;19;169;-150
23;23;0;Santana;20723;20723;0;41;227;-186
24;0;1;Azenha;13768;13683;85;-36;-121;85
24;0;1;Bom Fim;11477;11438;39;-116;-155;39
24;0;1;Centro;39167;39076;91;13;-78;91
24;0;1;Cidade Baixa;15315;15258;57;-64;-121;57
24;0;1;Farroupilha;960;835;125;-1;-126;125
24;0;1;Floresta;11538;11486;52;-58;-110;52
24;0;1;Independência;8143;8004;139;31;-108;139
24;0;1;Menino Deus;31687;31573;114;37;-77;114
24;0;1;Moinhos de Vento;11978;11863;115;41;-74;115
24;0;1;Praia de Belas;2265;2208;57;-16;-73;57
24;0;1;Rio Branco;17574;17441;133;43;-90;133
24;0;1;Santa Cecília;5827;5682;145;59;-86;145
24;0;1;Santana;20790;20649;141;67;-74;141
25;1;1;Azenha;13771;13665;106;3;-18;21
25;1;1;Bom Fim;11468;11422;46;-9;-16;7
25;1;1;Centro;39233;39079;154;66;3;63
25;1;1;Cidade Baixa;15311;15246;65;-4;-12;8
25;1;1;Farroupilha;923;811;112;-37;-24;-13
25;1;1;Floresta;11535;11476;59;-3;-10;7
25;1;1;Independência;8130;7989;141;-13;-15;2
25;1;1;Menino Deus;31708;31562;146;21;-11;32
