Simulation Frame;Azenha;Bom Fim;Centro;Cidade Baixa;Farroupilha;Floresta;Independência;Menino Deus;Moinhos de Vento;Praia de Belas;Rio Branco;Santa Cecília;Santana
110;14;1;14;1;1;1;14;1;14;14;1;1;1
111;14;1;14;1;1;1;14;1;14;14;1;1;1
112;14;1;14;1;1;1;14;1;14;14;1;1;1
113;14;1;14;1;1;1;14;1;14;14;1;1;1
114;14;1;14;1;1;1;14;1;14;14;1;1;1
115;14;1;14;1;1;1;14;1;14;14;1;1;1
116;14;1;14;1;1;1;14;1;14;14;1;1;1
117;14;1;14;1;1;1;14;1;14;14;1;1;1
118;1;1;1;1;1;1;1;1;1;1;1;1;1
119;1;1;1;1;1;1;1;1;1;1;1;1;1
120;1;1;1;1;1;1;1;1;1;1;1;1;1
121;1;1;1;1;1;1;1;1;1;1;1;1;1
122;1;1;1;1;1;1;1;1;1;1;1;1;1
123;1;1;1;1;1;1;1;1;1;1;1;1;1
124;1;1;1;1;1;1;1;1;1;1;1;1;1
125;1;1;1;1;1;1;1;1;1;1;1;1;1
126;1;1;1;1;1;1;1;1;1;1;1;1;1
127;14;1;14;1;1;1;14;1;14;14;1;1;1
128;14;1;14;1;1;1;14;1;14;14;1;1;1
129;14;1;14;1;1;1;14;1;14;14;1;1;1
130;14;1;14;1;1;1;14;1;14;14;1;1;1
131;14;1;14;1;1;1;14;1;14;14;1;1;1
132;14;1;14;1;1;1;14;1;14;14;1;1;1
133;14;1;14;1;1;1;14;1;14;14;1;1;1
134;14;1;14;1;1;1;14;1;14;14;1;1;1
135;14;1;14;1;1;1;14;1;14;14;1;1;1
136;14;1;14;1;1;1;14;1;14;14;1;1;1
137;14;1;14;1;1;1;14;1;14;14;1;1;1
138;14;1;14;1;1;1;14;1;14;14;1;1;1
139;14;1;14;1;1;1;14;1;14;14;1;1;1
140;14;1;14;1;1;1;14;1;14;14;1;1;1
141;14;1;14;1;1;1;14;1;14;14;1;1;1
142;1;1;1;1;1;1;1;1;1;1;1;1;1
143;1;1;1;1;1;1;1;1;1;1;1;1;1
144;1;1;1;1;1;1;1;1;1;1;1;1;1
145;1;1;1;1;1;1;1;1;1;1;1;1;1
146;1;1;1;1;1;1;1;1;1;1;1;1;1
147;1;1;1;1;1;1;1;1;1;1;1;1;1
148;1;1;1;1;1;1;1;1;1;1;1;1;1
149;1;1;1;1;1;1;1;1;1;1;1;1;1
150;1;1;1;1;1;1;1;1;1;1;1;1;1
151;14;1;14;1;1;1;14;1;14;14;1;1;1
152;14;1;14;1;1;1;14;1;14;14;1;1;1
153;14;1;14;1;1;1;14;1;14;14;1;1;1
154;14;1;14;1;1;1;14;1;14;14;1;1;1
155;14;1;14;1;1;1;14;1;14;14;1;1;1
156;14;1;14;1;1;1;14;1;14;14;1;1;1
157;14;1;14;1;1;1;14;1;14;14;1;1;1
158;14;1;14;1;1;1;14;1;14;14;1;1;1
159;14;1;14;1;1;1;14;1;14;14;1;1;1
160;14;1;14;1;1;1;14;1;14;14;1;1;1
161;14;1;14;1;1;1;14;1;14;14;1;1;1
162;14;1;14;1;1;1;14;1;14;14;1;1;1
163;14;1;14;1;1;1;14;1;14;14;1;1;1
164;14;1;14;1;1;1;14;1;14;14;1;1;1
165;14;1;14;1;1;1;14;1;14;14;1;1;1
166;1;1;1;1;1;1;1;1;1;1;1;1;1
167;1;1;1;1;1;1;1;1;1;1;1;1;1
168;1;1;1;1;1;1;1;1;1;1;1;1;1
169;1;1;1;1;1;1;1;1;1;1;1;1;1
170;1;1;1;1;1;1;1;1;1;1;1;1;1
171;1;1;1;1;1;1;1;1;1;1;1;1;1
172;1;1;1;1;1;1;1;1;1;1;1;1;1
173;1;1;1;1;1;1;1;1;1;1;1;1;1
174;1;1;1;1;1;1;1;1;1;1;1;1;1
175;14;1;14;1;1;1;14;1;14;14;1;1;1
176;14;1;14;1;1;1;14;1;14;14;1;1;1
177;14;1;14;1;1;1;14;1;14;14;1;1;1
178;14;1;14;1;1;1;14;1;14;14;1;1;1
179;14;1;14;1;1;1;14;1;14;14;1;1;1
180;14;1;14;1;1;1;14;1;14;14;1;1;1
181;14;1;14;1;1;1;14;1;14;14;1;1;1
182;14;1;14;1;1;1;14;1;14;14;1;1;1
183;14;1;14;1;1;1;14;1;14;14;1;1;1
184;14;1;14;1;1;1;14;1;14;14;1;1;1
185;14;1;14;1;1;1;14;1;14;14;1;1;1
186;14;1;14;1;1;1;14;1;14;14;1;1;1
187;14;1;14;1;1;1;14;1;14;14;1;1;1
188;14;1;14;1;1;1;14;1;14;14;1;1;1
189;14;1;14;1;1;1;14;1;14;14;1;1;1
190;1;1;1;1;1;1;1;1;1;1;1;1;1
191;1;1;1;1;1;1;1;1;1;1;1;1;1
192;1;1;1;1;1;1;1;1;1;1;1;1;1
193;1;1;1;1;1;1;1;1;1;1;1;1;1
194;1;1;1;1;1;1;1;1;1;1;1;1;1
195;1;1;1;1;1;1;1;1;1;1;1;1;1
196;1;1;1;1;1;1;1;1;1;1;1;1;1
197;1;1;1;1;1;1;1;1;1;1;1;1;1
198;1;1;1;1;1;1;1;1;1;1;1;1;1
199;14;1;14;1;1;1;14;1;14;14;1;1;1
200;14;1;14;1;1;1;14;1;14;14;1;1;1
201;14;1;14;1;1;1;14;1;14;14;1;1;1
202;14;1;14;1;1;1;14;1;14;14;1;1;1
203;14;1;14;1;1;1;14;1;14;14;1;1;1
