Simulation Frame;Azenha;Bom Fim;Centro;Cidade Baixa;Farroupilha;Floresta;Independência;Menino Deus;Moinhos de Vento;Praia de Belas;Rio Branco;Santa Cecília;Santana
110;14;14;14;14;14;14;14;14;14;13;13;13;13
111;14;14;14;14;14;14;14;14;14;13;13;13;13
112;14;14;14;14;14;14;14;14;14;13;13;13;13
113;14;14;14;14;14;14;14;14;14;13;13;13;13
114;14;14;14;14;14;14;14;14;14;13;13;13;13
115;14;14;14;14;14;14;14;14;14;13;13;13;13
116;14;14;14;14;14;14;14;14;14;13;13;13;13
117;14;14;14;14;14;14;14;14;14;13;13;13;13
118;1;1;1;1;1;1;1;1;1;1;1;1;1
119;1;1;1;1;1;1;1;1;1;1;1;1;1
120;1;1;1;1;1;1;1;1;1;1;1;1;1
121;1;1;1;1;1;1;1;1;1;1;1;1;1
122;1;1;1;1;1;1;1;1;1;1;1;1;1
123;1;1;1;1;1;1;1;1;1;1;1;1;1
124;14;14;14;14;14;14;14;14;14;13;13;13;13
125;14;14;14;14;14;14;14;14;14;13;13;13;13
126;14;14;14;14;14;14;14;14;14;13;13;13;13
127;14;14;14;14;14;14;14;14;14;13;13;13;13
128;14;14;14;14;14;14;14;14;14;13;13;13;13
129;14;14;14;14;14;14;14;14;14;13;13;13;13
130;14;14;14;14;14;14;14;14;14;13;13;13;13
131;14;14;14;14;14;14;14;14;14;13;13;13;13
132;14;14;14;14;14;14;14;14;14;13;13;13;13
133;14;14;14;14;14;14;14;14;14;13;13;13;13
134;14;14;14;14;14;14;14;14;14;13;13;13;13
135;14;14;14;14;14;14;14;14;14;13;13;13;13
136;14;14;14;14;14;14;14;14;14;13;13;13;13
137;14;14;14;14;14;14;14;14;14;13;13;13;13
138;14;14;14;14;14;14;14;14;14;13;13;13;13
139;14;14;14;14;14;14;14;14;14;13;13;13;13
140;14;14;14;14;14;14;14;14;14;13;13;13;13
141;14;14;14;14;14;14;14;14;14;13;13;13;13
142;1;1;1;1;1;1;1;1;1;1;1;1;1
143;1;1;1;1;1;1;1;1;1;1;1;1;1
144;1;1;1;1;1;1;1;1;1;1;1;1;1
145;1;1;1;1;1;1;1;1;1;1;1;1;1
146;1;1;1;1;1;1;1;1;1;1;1;1;1
147;1;1;1;1;1;1;1;1;1;1;1;1;1
148;14;14;14;14;14;14;14;14;14;13;13;13;13
149;14;14;14;14;14;14;14;14;14;13;13;13;13
150;14;14;14;14;14;14;14;14;14;13;13;13;13
151;14;14;14;14;14;14;14;14;14;13;13;13;13
152;14;14;14;14;14;14;14;14;14;13;13;13;13
153;14;14;14;14;14;14;14;14;14;13;13;13;13
154;14;14;14;14;14;14;14;14;14;13;13;13;13
155;14;14;14;14;14;14;14;14;14;13;13;13;13
156;14;14;14;14;14;14;14;14;14;13;13;13;13
157;14;14;14;14;14;14;14;14;14;13;13;13;13
158;14;14;14;14;14;14;14;14;14;13;13;13;13
159;14;14;14;14;14;14;14;14;14;13;13;13;13
160;14;14;14;14;14;14;14;14;14;13;13;13;13
161;14;14;14;14;14;14;14;14;14;13;13;13;13
162;14;14;14;14;14;14;14;14;14;13;13;13;13
163;14;14;14;14;14;14;14;14;14;13;13;13;13
164;14;14;14;14;14;14;14;14;14;13;13;13;13
165;14;14;14;14;14;14;14;14;14;13;13;13;13
166;1;1;1;1;1;1;1;1;1;1;1;1;1
167;1;1;1;1;1;1;1;1;1;1;1;1;1
168;1;1;1;1;1;1;1;1;1;1;1;1;1
169;1;1;1;1;1;1;1;1;1;1;1;1;1
170;1;1;1;1;1;1;1;1;1;1;1;1;1
171;1;1;1;1;1;1;1;1;1;1;1;1;1
172;14;14;14;14;14;14;14;14;14;13;13;13;13
173;14;14;14;14;14;14;14;14;14;13;13;13;13
174;14;14;14;14;14;14;14;14;14;13;13;13;13
175;14;14;14;14;14;14;14;14;14;13;13;13;13
176;14;14;14;14;14;14;14;14;14;13;13;13;13
177;14;14;14;14;14;14;14;14;14;13;13;13;13
178;14;14;14;14;14;14;14;14;14;13;13;13;13
179;14;14;14;14;14;14;14;14;14;13;13;13;13
180;14;14;14;14;14;14;14;14;14;13;13;13;13
181;14;14;14;14;14;14;14;14;14;13;13;13;13
182;14;14;14;14;14;14;14;14;14;13;13;13;13
183;14;14;14;14;14;14;14;14;14;13;13;13;13
184;14;14;14;14;14;14;14;14;14;13;13;13;13
185;14;14;14;14;14;14;14;14;14;13;13;13;13
186;14;14;14;14;14;14;14;14;14;13;13;13;13
187;14;14;14;14;14;14;14;14;14;13;13;13;13
188;14;14;14;14;14;14;14;14;14;13;13;13;13
189;14;14;14;14;14;14;14;14;14;13;13;13;13
190;1;1;1;1;1;1;1;1;1;1;1;1;1
191;1;1;1;1;1;1;1;1;1;1;1;1;1
192;1;1;1;1;1;1;1;1;1;1;1;1;1
193;1;1;1;1;1;1;1;1;1;1;1;1;1
194;1;1;1;1;1;1;1;1;1;1;1;1;1
195;1;1;1;1;1;1;1;1;1;1;1;1;1
196;14;14;14;14;14;14;14;14;14;13;13;13;13
197;14;14;14;14;14;14;14;14;14;13;13;13;13
198;14;14;14;14;14;14;14;14;14;13;13;13;13
199;14;14;14;14;14;14;14;14;14;13;13;13;13
200;14;14;14;14;14;14;14;14;14;13;13;13;13
201;14;14;14;14;14;14;14;14;14;13;13;13;13
