Frame;Hour;Day;Node;Total;Locals;Outsiders;dTotals;dLocals;dOutsiders
225;9;9;Rio Branco//marketplace;0;0;0;0;0;0
225;9;9;Rio Branco//pharmacy;0;0;0;0;0;0
225;9;9;Rio Branco//gas_station;0;0;0;0;0;0
225;9;9;Rio Branco//hospital;710;0;710;43;0;43
225;9;9;Santa Cecília//home;5249;0;5249;-8;0;-8
225;9;9;Santa Cecília//work;0;0;0;0;0;0
225;9;9;Santa Cecília//school;0;0;0;0;0;0
225;9;9;Santa Cecília//marketplace;0;0;0;0;0;0
225;9;9;Santa Cecília//pharmacy;0;0;0;0;0;0
225;9;9;Santa Cecília//gas_station;0;0;0;0;0;0
225;9;9;Santa Cecília//hospital;532;0;532;4;0;4
225;9;9;Santana//home;20144;0;20144;-41;0;-41
225;9;9;Santana//work;0;0;0;0;0;0
225;9;9;Santana//school;0;0;0;0;0;0
225;9;9;Santana//marketplace;0;0;0;0;0;0
225;9;9;Santana//pharmacy;0;0;0;0;0;0
225;9;9;Santana//gas_station;0;0;0;0;0;0
225;9;9;Santana//hospital;753;0;753;97;0;97
226;10;9;Azenha//home;13248;13248;0;-15;-15;0
226;10;9;Azenha//work;0;0;0;0;0;0
226;10;9;Azenha//school;0;0;0;0;0;0
226;10;9;Azenha//marketplace;0;0;0;0;0;0
226;10;9;Azenha//pharmacy;0;0;0;0;0;0
226;10;9;Azenha//gas_station;0;0;0;0;0;0
226;10;9;Azenha//hospital;611;18;593;-2;0;-2
226;10;9;Azenha//shopping_mall;0;0;0;0;0;0
226;10;9;Bom Fim//home;11209;0;11209;-8;0;-8
226;10;9;Bom Fim//work;0;0;0;0;0;0
226;10;9;Bom Fim//school;0;0;0;0;0;0
226;10;9;Bom Fim//marketplace;0;0;0;0;0;0
226;10;9;Bom Fim//pharmacy;0;0;0;0;0;0
226;10;9;Bom Fim//gas_station;0;0;0;0;0;0
226;10;9;Centro//home;38530;0;38530;2;0;2
226;10;9;Centro//work;0;0;0;0;0;0
226;10;9;Centro//school;0;0;0;0;0;0
226;10;9;Centro//marketplace;0;0;0;0;0;0
226;10;9;Centro//pharmacy;0;0;0;0;0;0
226;10;9;Centro//gas_station;0;0;0;0;0;0
226;10;9;Centro//hospital;948;0;948;-14;0;-14
226;10;9;Centro//shopping_mall;0;0;0;0;0;0
226;10;9;Cidade Baixa//home;15070;0;15070;-9;0;-9
226;10;9;Cidade Baixa//work;0;0;0;0;0;0
226;10;9;Cidade Baixa//school;0;0;0;0;0;0
226;10;9;Cidade Baixa//marketplace;0;0;0;0;0;0
226;10;9;Cidade Baixa//pharmacy;0;0;0;0;0;0
226;10;9;Cidade Baixa//gas_station;0;0;0;0;0;0
226;10;9;Farroupilha//home;481;0;481;-8;0;-8
226;10;9;Farroupilha//work;0;0;0;0;0;0
226;10;9;Farroupilha//school;0;0;0;0;0;0
226;10;9;Farroupilha//marketplace;0;0;0;0;0;0
226;10;9;Farroupilha//pharmacy;0;0;0;0;0;0
226;10;9;Farroupilha//gas_station;0;0;0;0;0;0
226;10;9;Farroupilha//hospital;465;0;465;5;0;5
226;10;9;Floresta//home;11333;0;11333;-7;0;-7
226;10;9;Floresta//work;0;0;0;0;0;0
226;10;9;Floresta//school;0;0;0;0;0;0
226;10;9;Floresta//marketplace;0;0;0;0;0;0
226;10;9;Floresta//pharmacy;0;0;0;0;0;0
226;10;9;Floresta//gas_station;0;0;0;0;0;0
226;10;9;Independência//home;7632;0;7632;-11;0;-11
226;10;9;Independência//work;0;0;0;0;0;0
226;10;9;Independência//school;0;0;0;0;0;0
226;10;9;Independência//marketplace;0;0;0;0;0;0
226;10;9;Independência//pharmacy;0;0;0;0;0;0
226;10;9;Independência//gas_station;0;0;0;0;0;0
226;10;9;Independência//hospital;551;0;551;13;0;13
226;10;9;Independência//shopping_mall;0;0;0;0;0;0
226;10;9;Menino Deus//home;31033;0;31033;-39;0;-39
226;10;9;Menino Deus//work;0;0;0;0;0;0
226;10;9;Menino Deus//school;0;0;0;0;0;0
226;10;9;Menino Deus//marketplace;0;0;0;0;0;0
226;10;9;Menino Deus//pharmacy;0;0;0;0;0;0
226;10;9;Menino Deus//gas_station;0;0;0;0;0;0
226;10;9;Menino Deus//hospital;902;0;902;83;0;83
226;10;9;Moinhos de Vento//home;11446;0;11446;-22;0;-22
226;10;9;Moinhos de Vento//work;0;0;0;0;0;0
226;10;9;Moinhos de Vento//school;0;0;0;0;0;0
226;10;9;Moinhos de Vento//marketplace;0;0;0;0;0;0
226;10;9;Moinhos de Vento//pharmacy;0;0;0;0;0;0
226;10;9;Moinhos de Vento//gas_station;0;0;0;0;0;0
226;10;9;Moinhos de Vento//hospital;624;0;624;46;0;46
226;10;9;Moinhos de Vento//shopping_mall;0;0;0;0;0;0
226;10;9;Praia de Belas//home;2040;0;2040;-10;0;-10
226;10;9;Praia de Belas//work;0;0;0;0;0;0
226;10;9;Praia de Belas//school;0;0;0;0;0;0
226;10;9;Praia de Belas//marketplace;0;0;0;0;0;0
226;10;9;Praia de Belas//pharmacy;0;0;0;0;0;0
226;10;9;Praia de Belas//gas_station;0;0;0;0;0;0
226;10;9;Praia de Belas//stadium;0;0;0;0;0;0
226;10;9;Praia de Belas//shopping_mall;0;0;0;0;0;0
226;10;9;Rio Branco//home;16986;0;16986;4;0;4
226;10;9;Rio Branco//work;0;0;0;0;0;0
226;10;9;Rio Branco//school;0;0;0;0;0;0
226;10;9;Rio Branco//marketplace;0;0;0;0;0;0
226;10;9;Rio Branco//pharmacy;0;0;0;0;0;0
226;10;9;Rio Branco//gas_station;0;0;0;0;0;0
226;10;9;Rio Branco//hospital;682;0;682;-28;0;-28
226;10;9;Santa Cecília//home;5236;0;5236;-13;0;-13
226;10;9;Santa Cecília//work;0;0;0;0;0;0
226;10;9;Santa Cecília//school;0;0;0;0;0;0
226;10;9;Santa Cecília//marketplace;0;0;0;0;0;0
226;10;9;Santa Cecília//pharmacy;0;0;0;0;0;0
226;10;9;Santa Cecília//gas_station;0;0;0;0;0;0
226;10;9;Santa Cecília//hospital;549;0;549;17;0;17
226;10;9;Santana//home;20121;0;20121;-23;0;-23
226;10;9;Santana//work;0;0;0;0;0;0
226;10;9;Santana//school;0;0;0;0;0;0
226;10;9;Santana//marketplace;0;0;0;0;0;0
226;10;9;Santana//pharmacy;0;0;0;0;0;0
226;10;9;Santana//gas_station;0;0;0;0;0;0
226;10;9;Santana//hospital;792;0;792;39;0;39
227;11;9;Azenha//home;13267;13267;0;19;19;0
227;11;9;Azenha//work;0;0;0;0;0;0
227;11;9;Azenha//school;0;0;0;0;0;0
227;11;9;Azenha//marketplace;0;0;0;0;0;0
227;11;9;Azenha//pharmacy;0;0;0;0;0;0
227;11;9;Azenha//gas_station;0;0;0;0;0;0
227;11;9;Azenha//hospital;595;18;577;-16;0;-16
227;11;9;Azenha//shopping_mall;0;0;0;0;0;0
227;11;9;Bom Fim//home;11216;0;11216;7;0;7
227;11;9;Bom Fim//work;0;0;0;0;0;0
227;11;9;Bom Fim//school;0;0;0;0;0;0
227;11;9;Bom Fim//marketplace;0;0;0;0;0;0
227;11;9;Bom Fim//pharmacy;0;0;0;0;0;0
227;11;9;Bom Fim//gas_station;0;0;0;0;0;0
227;11;9;Centro//home;38558;0;38558;28;0;28
227;11;9;Centro//work;0;0;0;0;0;0
227;11;9;Centro//school;0;0;0;0;0;0
227;11;9;Centro//marketplace;0;0;0;0;0;0
227;11;9;Centro//pharmacy;0;0;0;0;0;0
227;11;9;Centro//gas_station;0;0;0;0;0;0
227;11;9;Centro//hospital;897;0;897;-51;0;-51
