Simulation Frame;Blob Count
0;94
1;882
2;1417
3;1796
4;2100
5;2336
6;2531
7;2709
8;3011
9;3125
10;3240
11;3344
12;3553
13;3639
14;3732
15;3807
16;3948
17;4025
18;4088
19;4136
20;4247
21;4285
22;4317
23;123
