;Origin;Destination;Total;age: [children];age: [adults];age: [elders];occupation: [student];occupation: [worker]
87;Aberta dos Morros;Três Figueiras;0;0;0;0;0;0
88;Aberta dos Morros;Vila Assunção;50;0;28;11;0;50
89;Aberta dos Morros;Vila Conceição;0;0;0;0;0;0
90;Aberta dos Morros;Vila Ipiranga;50;0;24;6;0;50
91;Aberta dos Morros;Vila Jardim;0;0;0;0;0;0
92;Aberta dos Morros;Vila João Pessoa;0;0;0;0;0;0
93;Aberta dos Morros;Vila Nova;500;0;291;87;0;500
94;Agronomia;Aberta dos Morros;150;0;85;28;0;150
95;Agronomia;Agronomia;100;0;50;16;0;100
96;Agronomia;Anchieta;0;0;0;0;0;0
97;Agronomia;Arquipélago;100;0;64;8;0;100
98;Agronomia;Auxiliadora;0;0;0;0;0;0
99;Agronomia;Azenha;0;0;0;0;0;0
100;Agronomia;Bela Vista;0;0;0;0;0;0
101;Agronomia;Belém Novo;0;0;0;0;0;0
102;Agronomia;Belém Velho;0;0;0;0;0;0
103;Agronomia;Boa Vista;0;0;0;0;0;0
104;Agronomia;Boa Vista do Sul;50;0;22;4;0;50
105;Agronomia;Bom Fim;0;0;0;0;0;0
106;Agronomia;Bom Jesus;50;0;28;7;0;50
107;Agronomia;Camaquã;0;0;0;0;0;0
108;Agronomia;Campo Novo;0;0;0;0;0;0
109;Agronomia;Cascata;200;0;119;25;0;200
110;Agronomia;Cavalhada;0;0;0;0;0;0
111;Agronomia;Cel. Aparício Borges;50;0;30;8;0;50
112;Agronomia;Centro Histórico;50;0;27;10;0;50
113;Agronomia;Chapéu do Sol;50;0;27;10;0;50
114;Agronomia;Chácara das Pedras;100;0;52;20;0;100
115;Agronomia;Cidade Baixa;0;0;0;0;0;0
116;Agronomia;Costa e Silva;0;0;0;0;0;0
117;Agronomia;Cristal;0;0;0;0;0;0
118;Agronomia;Cristo Redentor;100;0;64;22;0;100
119;Agronomia;Espírito Santo;0;0;0;0;0;0
120;Agronomia;Extrema;0;0;0;0;0;0
121;Agronomia;Farrapos;50;0;23;10;0;50
122;Agronomia;Farroupilha;0;0;0;0;0;0
123;Agronomia;Floresta;50;0;23;14;0;50
124;Agronomia;Glória;0;0;0;0;0;0
125;Agronomia;Guarujá;50;0;27;4;0;50
126;Agronomia;Higienópolis;0;0;0;0;0;0
127;Agronomia;Humaitá;50;0;32;6;0;50
128;Agronomia;Hípica;0;0;0;0;0;0
129;Agronomia;Independência;50;0;21;18;0;50
130;Agronomia;Ipanema;50;0;35;8;0;50
131;Agronomia;Jardim Botânico;250;0;121;59;0;250
132;Agronomia;Jardim Carvalho;200;0;114;33;0;200
133;Agronomia;Jardim Europa;0;0;0;0;0;0
134;Agronomia;Jardim Floresta;0;0;0;0;0;0
135;Agronomia;Jardim Isabel;0;0;0;0;0;0
136;Agronomia;Jardim Itú;0;0;0;0;0;0
137;Agronomia;Jardim Leopoldina;100;0;63;13;0;100
138;Agronomia;Jardim Lindóia;50;0;27;14;0;50
139;Agronomia;Jardim Sabará;150;0;73;25;0;150
140;Agronomia;Jardim São Pedro;0;0;0;0;0;0
141;Agronomia;Jardim do Salso;100;0;49;10;0;100
142;Agronomia;Lageado;0;0;0;0;0;0
143;Agronomia;Lami;0;0;0;0;0;0
144;Agronomia;Lomba do Pinheiro;2700;0;1537;339;0;2700
145;Agronomia;Medianeira;50;0;29;10;0;50
146;Agronomia;Menino Deus;0;0;0;0;0;0
147;Agronomia;Moinhos de Vento;50;0;28;9;0;50
148;Agronomia;Mont'Serrat;0;0;0;0;0;0
149;Agronomia;Morro Santana;300;0;161;49;0;300
150;Agronomia;Mário Quintana;50;0;34;6;0;50
