;Cycle;Origin;Destination;Total;age: [children];age: [adults];age: [elders];occupation: [student];occupation: [worker]
81;0;Aberta dos Morros;São José;0;0;0;0;0;0
82;0;Aberta dos Morros;São João;0;0;0;0;0;0
83;0;Aberta dos Morros;São Sebastião;50;0;31;9;0;50
84;0;Aberta dos Morros;Sétimo Céu;100;0;54;14;0;100
85;0;Aberta dos Morros;Teresópolis;100;0;53;17;0;100
86;0;Aberta dos Morros;Tristeza;100;0;61;24;0;100
87;0;Aberta dos Morros;Três Figueiras;0;0;0;0;0;0
88;0;Aberta dos Morros;Vila Assunção;100;0;52;25;0;100
89;0;Aberta dos Morros;Vila Conceição;0;0;0;0;0;0
90;0;Aberta dos Morros;Vila Ipiranga;100;0;68;16;0;100
91;0;Aberta dos Morros;Vila Jardim;0;0;0;0;0;0
92;0;Aberta dos Morros;Vila João Pessoa;0;0;0;0;0;0
93;0;Aberta dos Morros;Vila Nova;800;0;446;147;0;800
94;0;Agronomia;Aberta dos Morros;0;0;0;0;0;0
95;0;Agronomia;Agronomia;0;0;0;0;0;0
96;0;Agronomia;Anchieta;0;0;0;0;0;0
97;0;Agronomia;Arquipélago;0;0;0;0;0;0
98;0;Agronomia;Auxiliadora;100;0;49;21;0;100
99;0;Agronomia;Azenha;100;0;53;19;0;100
100;0;Agronomia;Bela Vista;0;0;0;0;0;0
101;0;Agronomia;Belém Novo;0;0;0;0;0;0
102;0;Agronomia;Belém Velho;200;0;121;25;0;200
103;0;Agronomia;Boa Vista;0;0;0;0;0;0
104;0;Agronomia;Boa Vista do Sul;100;0;55;13;0;100
105;0;Agronomia;Bom Fim;0;0;0;0;0;0
106;0;Agronomia;Bom Jesus;100;0;53;9;0;100
107;0;Agronomia;Camaquã;50;0;25;10;0;50
108;0;Agronomia;Campo Novo;0;0;0;0;0;0
109;0;Agronomia;Cascata;200;0;119;25;0;200
110;0;Agronomia;Cavalhada;50;0;28;11;0;50
111;0;Agronomia;Cel. Aparício Borges;50;0;35;6;0;50
112;0;Agronomia;Centro Histórico;100;0;61;16;0;100
113;0;Agronomia;Chapéu do Sol;0;0;0;0;0;0
114;0;Agronomia;Chácara das Pedras;0;0;0;0;0;0
115;0;Agronomia;Cidade Baixa;0;0;0;0;0;0
116;0;Agronomia;Costa e Silva;0;0;0;0;0;0
117;0;Agronomia;Cristal;50;0;29;8;0;50
118;0;Agronomia;Cristo Redentor;0;0;0;0;0;0
119;0;Agronomia;Espírito Santo;50;0;19;14;0;50
120;0;Agronomia;Extrema;0;0;0;0;0;0
121;0;Agronomia;Farrapos;0;0;0;0;0;0
122;0;Agronomia;Farroupilha;0;0;0;0;0;0
123;0;Agronomia;Floresta;50;0;23;15;0;50
124;0;Agronomia;Glória;50;0;29;9;0;50
125;0;Agronomia;Guarujá;50;0;30;6;0;50
126;0;Agronomia;Higienópolis;50;0;28;10;0;50
127;0;Agronomia;Humaitá;50;0;35;6;0;50
128;0;Agronomia;Hípica;100;0;66;14;0;100
129;0;Agronomia;Independência;0;0;0;0;0;0
130;0;Agronomia;Ipanema;50;0;34;8;0;50
131;0;Agronomia;Jardim Botânico;50;0;28;8;0;50
132;0;Agronomia;Jardim Carvalho;400;0;220;57;0;400
133;0;Agronomia;Jardim Europa;0;0;0;0;0;0
134;0;Agronomia;Jardim Floresta;0;0;0;0;0;0
135;0;Agronomia;Jardim Isabel;0;0;0;0;0;0
136;0;Agronomia;Jardim Itú;50;0;21;12;0;50
137;0;Agronomia;Jardim Leopoldina;100;0;51;15;0;100
138;0;Agronomia;Jardim Lindóia;0;0;0;0;0;0
139;0;Agronomia;Jardim Sabará;100;0;51;22;0;100
140;0;Agronomia;Jardim São Pedro;0;0;0;0;0;0
141;0;Agronomia;Jardim do Salso;50;0;21;9;0;50
142;0;Agronomia;Lageado;0;0;0;0;0;0
143;0;Agronomia;Lami;0;0;0;0;0;0
144;0;Agronomia;Lomba do Pinheiro;4700;0;2630;617;0;4700
145;0;Agronomia;Medianeira;0;0;0;0;0;0
146;0;Agronomia;Menino Deus;0;0;0;0;0;0
147;0;Agronomia;Moinhos de Vento;0;0;0;0;0;0
148;0;Agronomia;Mont'Serrat;100;0;62;18;0;100
149;0;Agronomia;Morro Santana;600;0;324;90;0;600
150;0;Agronomia;Mário Quintana;0;0;0;0;0;0
151;0;Agronomia;Navegantes;0;0;0;0;0;0
152;0;Agronomia;Nonoai;0;0;0;0;0;0
153;0;Agronomia;Parque Santa Fé;0;0;0;0;0;0
154;0;Agronomia;Partenon;200;0;101;50;0;200
155;0;Agronomia;Passo D'Areia;100;0;27;34;0;100
156;0;Agronomia;Passo das Pedras;0;0;0;0;0;0
157;0;Agronomia;Pedra Redonda;0;0;0;0;0;0
158;0;Agronomia;Petrópolis;150;0;87;33;0;150
159;0;Agronomia;Pitinga;0;0;0;0;0;0
160;0;Agronomia;Ponta Grossa;50;0;29;9;0;50
161;0;Agronomia;Praia de Belas;0;0;0;0;0;0
162;0;Agronomia;Restinga;200;0;100;35;0;200
163;0;Agronomia;Rio Branco;0;0;0;0;0;0
164;0;Agronomia;Rubem Berta;0;0;0;0;0;0
165;0;Agronomia;Santa Cecília;0;0;0;0;0;0
166;0;Agronomia;Santa Maria Goretti;50;0;29;0;0;50
167;0;Agronomia;Santa Rosa de Lima;50;0;26;9;0;50
168;0;Agronomia;Santa Tereza;50;0;31;8;0;50
169;0;Agronomia;Santana;0;0;0;0;0;0
170;0;Agronomia;Santo Antônio;50;0;25;17;0;50
171;0;Agronomia;Sarandi;50;0;26;14;0;50
172;0;Agronomia;Serraria;0;0;0;0;0;0
173;0;Agronomia;São Caetano;0;0;0;0;0;0
174;0;Agronomia;São Geraldo;0;0;0;0;0;0
175;0;Agronomia;São José;2400;0;1388;395;0;2400
176;0;Agronomia;São João;0;0;0;0;0;0
177;0;Agronomia;São Sebastião;50;0;31;5;0;50
178;0;Agronomia;Sétimo Céu;0;0;0;0;0;0
179;0;Agronomia;Teresópolis;0;0;0;0;0;0
180;0;Agronomia;Tristeza;100;0;57;19;0;100
181;0;Agronomia;Três Figueiras;0;0;0;0;0;0
182;0;Agronomia;Vila Assunção;0;0;0;0;0;0
183;0;Agronomia;Vila Conceição;0;0;0;0;0;0
184;0;Agronomia;Vila Ipiranga;0;0;0;0;0;0
185;0;Agronomia;Vila Jardim;0;0;0;0;0;0
186;0;Agronomia;Vila João Pessoa;50;0;29;13;0;50
187;0;Agronomia;Vila Nova;50;0;25;7;0;50
188;0;Anchieta;Aberta dos Morros;0;0;0;0;0;0
189;0;Anchieta;Agronomia;0;0;0;0;0;0
190;0;Anchieta;Anchieta;0;0;0;0;0;0
191;0;Anchieta;Arquipélago;50;0;26;9;0;50
192;0;Anchieta;Auxiliadora;100;0;52;22;0;100
193;0;Anchieta;Azenha;50;0;30;8;0;50
194;0;Anchieta;Bela Vista;0;0;0;0;0;0
195;0;Anchieta;Belém Novo;0;0;0;0;0;0
196;0;Anchieta;Belém Velho;150;0;77;30;0;150
197;0;Anchieta;Boa Vista;50;0;30;10;0;50
198;0;Anchieta;Boa Vista do Sul;0;0;0;0;0;0
199;0;Anchieta;Bom Fim;100;0;46;21;0;100
