"node_name","lat","long","water_level"
"Agronomia//school_5",-30.077703991357293,-51.14378522928814,""
"Agronomia//home_6",-30.06619381510722,-51.12982631591541,""
"Agronomia//work_6",-30.068964850218133,-51.1250434294593,""
"Agronomia//school_6",-30.07037207347372,-51.13731041038116,""
"Agronomia//marketplace_0",-30.067579320370122,-51.150493416913434,""
"Agronomia//restaurant_0",-30.067354613153203,-51.15032910088027,""
"Agronomia//pharmacy_0",-30.066971925907822,-51.150564859541525,""
"Agronomia//marketplace_1",-30.072028665077063,-51.143993535077996,""
"Agronomia//restaurant_1",-30.072595835918467,-51.144576556245525,""
"Agronomia//pharmacy_1",-30.071210574075728,-51.1436626235608,""
"Agronomia//marketplace_2",-30.065673574808294,-51.15270140647245,""
"Agronomia//restaurant_2",-30.065550904006265,-51.15288888891903,""
"Agronomia//pharmacy_2",-30.065554582396423,-51.14885943950793,""
"Agronomia//marketplace_3",-30.076796411818783,-51.154135332486156,""
"Agronomia//restaurant_3",-30.076521100783925,-51.15411731065069,""
"Agronomia//pharmacy_3",-30.077453817722276,-51.15316794101293,""
"Agronomia//marketplace_4",-30.070459456649626,-51.148600290517635,""
"Agronomia//restaurant_4",-30.070266775933902,-51.148134766432236,""
"Agronomia//pharmacy_4",-30.070349985944876,-51.14795467080655,""
"Agronomia//marketplace_5",-30.086268362411175,-51.141963617449804,""
"Agronomia//restaurant_5",-30.086025580102188,-51.14157436757841,""
"Agronomia//pharmacy_5",-30.085778107748187,-51.14164047546536,""
"Agronomia//marketplace_6",-30.06649489990109,-51.129996809492475,""
"Agronomia//restaurant_6",-30.067026074760253,-51.13037733619446,""
"Agronomia//pharmacy_6",-30.066029061906672,-51.130210178779585,""
"Anchieta//home_0",-29.98352796817555,-51.15602678845206,""
"Anchieta//work_0",-29.980712209360828,-51.16736806415035,""
"Anchieta//school_0",-29.978202482833154,-51.15757013422564,""
"Anchieta//home_1",-29.97033056033379,-51.15694895399462,""
"Anchieta//work_1",-29.977642669584437,-51.15564875646758,""
"Anchieta//school_1",-29.968636128295316,-51.15750147202869,""
"Anchieta//home_2",-29.9852765164799,-51.155380054797654,""
"Anchieta//work_2",-29.986144508211453,-51.15542965344527,""
"Anchieta//school_2",-29.986540038664856,-51.155373381102514,""
"Anchieta//home_3",-29.967964737580385,-51.171174711425635,""
"Anchieta//work_3",-29.967976903618336,-51.17156340903919,""
"Anchieta//school_3",-29.967921465667043,-51.17185800897309,""
"Anchieta//home_4",-29.968414857474045,-51.1720850381157,""
"Anchieta//work_4",-29.978077121127942,-51.17496427430227,""
"Anchieta//school_4",-29.966645784235016,-51.15590454495185,""
