Simulation Frame;Blob Count
0;49
1;66
2;74
3;74
4;79
5;88
6;88
7;94
8;127
9;132
10;135
11;135
12;136
13;142
14;145
15;154
16;159
17;159
18;159
19;159
20;159
21;159
22;159
23;13
