;Origin;Destination;Total;age: [children];age: [young];age: [adults];age: [elders];occupation: [idle];occupation: [student];occupation: [worker]
0;Azenha;Azenha;508;0;107;280;121;141;96;271
1;Azenha;Bom Fim;10;0;2;8;0;3;6;1
2;Azenha;Centro;62;0;12;33;17;18;11;33
3;Azenha;Cidade Baixa;34;0;4;18;12;11;7;16
4;Azenha;Farroupilha;4;0;2;2;0;1;1;2
5;Azenha;Floresta;6;0;1;3;2;1;1;4
6;Azenha;Independência;4;0;1;2;1;0;1;3
7;Azenha;Menino Deus;189;0;48;104;37;57;40;92
8;Azenha;Moinhos de Vento;8;0;3;4;1;1;1;6
9;Azenha;Praia de Belas;3;0;3;0;0;1;0;2
10;Azenha;Rio Branco;20;0;5;12;3;6;4;10
11;Azenha;Santa Cecília;7;0;1;4;2;0;1;6
12;Azenha;Santana;87;0;18;45;24;23;19;45
13;Bom Fim;Azenha;18;0;3;10;5;5;7;6
14;Bom Fim;Bom Fim;391;0;90;233;68;110;65;216
15;Bom Fim;Centro;98;0;26;52;20;22;21;55
16;Bom Fim;Cidade Baixa;31;0;7;15;9;9;10;12
17;Bom Fim;Farroupilha;27;0;10;14;3;5;4;18
18;Bom Fim;Floresta;30;0;6;19;5;9;5;16
19;Bom Fim;Independência;79;0;23;39;17;18;15;46
20;Bom Fim;Menino Deus;44;0;8;26;10;12;11;21
21;Bom Fim;Moinhos de Vento;33;0;6;19;8;7;9;17
22;Bom Fim;Praia de Belas;1;0;0;1;0;0;0;1
23;Bom Fim;Rio Branco;82;0;24;38;20;15;14;53
24;Bom Fim;Santa Cecília;10;0;3;5;2;2;2;6
25;Bom Fim;Santana;48;0;4;36;8;12;7;29
26;Centro;Azenha;14;0;5;4;5;3;6;5
27;Centro;Bom Fim;16;0;4;8;4;7;5;4
28;Centro;Centro;1276;0;264;732;280;360;253;663
29;Centro;Cidade Baixa;40;0;10;23;7;11;10;19
30;Centro;Farroupilha;3;0;1;1;1;2;0;1
31;Centro;Floresta;19;0;3;8;8;6;3;10
32;Centro;Independência;11;0;3;7;1;4;2;5
33;Centro;Menino Deus;45;0;13;19;13;21;7;17
