;Origin;Destination;Cycle;Total;age: [children];age: [young];age: [adults];age: [elders];occupation: [idle];occupation: [student];occupation: [worker]
132;Rio Branco;Centro;0;64;0;9;40;15;22;17;25
133;Rio Branco;Cidade Baixa;0;18;0;5;7;6;3;2;13
134;Rio Branco;Farroupilha;0;4;0;2;1;1;2;1;1
135;Rio Branco;Floresta;0;21;0;5;12;4;7;4;10
136;Rio Branco;Independência;0;19;0;2;12;5;3;4;12
137;Rio Branco;Menino Deus;0;35;0;11;16;8;7;7;21
138;Rio Branco;Moinhos de Vento;0;42;0;11;21;10;16;7;19
139;Rio Branco;Praia de Belas;0;2;0;0;1;1;0;0;2
140;Rio Branco;Rio Branco;0;582;0;134;317;131;161;109;312
141;Rio Branco;Santa Cecília;0;37;0;6;20;11;11;5;21
142;Rio Branco;Santana;0;48;0;12;19;17;10;13;25
143;Santa Cecília;Azenha;0;24;0;5;14;5;8;2;14
144;Santa Cecília;Bom Fim;0;20;0;3;14;3;8;6;6
145;Santa Cecília;Centro;0;56;0;10;28;18;19;10;27
146;Santa Cecília;Cidade Baixa;0;20;0;3;15;2;6;4;10
147;Santa Cecília;Farroupilha;0;3;0;1;2;0;3;0;0
148;Santa Cecília;Floresta;0;12;0;3;5;4;3;2;7
149;Santa Cecília;Independência;0;9;0;3;4;2;4;1;4
150;Santa Cecília;Menino Deus;0;46;0;7;30;9;13;8;25
151;Santa Cecília;Moinhos de Vento;0;21;0;5;14;2;6;3;12
152;Santa Cecília;Praia de Belas;0;0;0;0;0;0;0;0;0
153;Santa Cecília;Rio Branco;0;79;0;19;44;16;25;12;42
154;Santa Cecília;Santa Cecília;0;311;0;65;177;69;81;39;191
155;Santa Cecília;Santana;0;120;0;22;67;31;30;28;62
156;Santana;Azenha;0;51;0;10;32;9;17;13;21
157;Santana;Bom Fim;0;19;0;1;14;4;7;1;11
158;Santana;Centro;0;58;0;17;30;11;18;15;25
159;Santana;Cidade Baixa;0;23;0;7;15;1;10;2;11
160;Santana;Farroupilha;0;4;0;1;3;0;3;0;1
161;Santana;Floresta;0;6;0;2;2;2;2;1;3
162;Santana;Independência;0;5;0;2;2;1;0;0;5
163;Santana;Menino Deus;0;70;0;17;34;19;25;15;30
164;Santana;Moinhos de Vento;0;13;0;4;8;1;4;2;7
165;Santana;Praia de Belas;0;2;0;1;1;0;0;0;2
166;Santana;Rio Branco;0;33;0;7;17;9;8;9;16
167;Santana;Santa Cecília;0;51;0;8;27;16;13;9;29
168;Santana;Santana;0;701;0;141;396;164;196;113;392
