order,id,Latitude,Longitude,name,region,address,abrigo,capacity,shelteredPeople
82,6a01e68e-80ac-4f18-bf95-5e8b64edf1ee,-30.045268259212232,-51.219568513669934,Tesourinha (Ginásio Municipal Osmar Fortes Barcellos),Menino Deus,"Av. Érico Veríssimo, s/n - Menino Deus, Porto Alegre - RS, 90160-180",Sim,,
83,122e242b-3829-40fa-b6ff-78f351101064,-30.04725368275385,-51.218933303882274,Teatro Renascença [EVACUADO],Menino Deus,"Av. Érico Veríssimo, 307 - Menino Deus, Porto Alegre - RS, 90160-181",Sim,,
109,b4d66a6f-7cd0-4864-801c-2170744bc72b,-30.05625903204533,-51.21967759426435,CETE Menino Deus,Menino Deus,"R. Gonçalves Dias, 700 - Menino Deus, Porto Alegre RS, 90130-060",Sim,356.0,
92,0e42aab7-480b-451b-b4c0-b7b5956da45d,-30.02178574457519,-51.19803510388339,GNU - Grêmio Náutico União - Sede Moinhos de Vento,Moinhos de Vento,"R. Quintino Bocaiúva, 500 - Moinhos de Vento, Porto Alegre - RS, 90440-050",Sim,267.0,267.0
14,627d9b43-a569-409f-be85-a5a0d606992e,-30.026277506471338,-51.18458369039114,Paróquia Nossa Senhora De Mont Serrat,Mont'serrat,"R Anita Garibaldi, 1121 - Mont'serrat, Porto Alegre",,,
22,fd2d679b-4e9c-45e3-a8e2-4f4db15b7555,-30.04647313328514,-51.12959449039031,Igreja Assembleia De Deus,Morro Santana,"Rua Cinco, 60, Vila Das Laranjeiras",,,
40,9b7e286c-3350-4067-8ed1-584168af5dca,-30.03961707130287,-51.12076827504659,Aspirantes De Cristo,Morro Santana,"R. Parlamento, 115 - Morro Santana, Porto Alegre",Sim,60.0,
99,62a17be9-a744-42a6-a7dd-8ce2872c56c8,-30.039232431961555,-51.12308843271856,EEEM Alcides Cunha,Morro Santana,"R. Hélio Pimpão, 52 - Morro Santana, Porto Alegre - RS, 91450-330",Sim,30.0,
41,77a0f4cc-a62d-44bb-bba2-058d1d006d0a,-30.092744299230244,-51.205827632716314,Apamecor,Nonoai,"R. Fernando Osório, 1156 - Teresópolis, Porto Alegre - Rs, 91720-330",Sim,200.0,
11,64c872b6-3e46-43a8-a705-6db3289b3fae,-30.107986011310192,-51.11289473271556,Projeto Surfar,Partenon,"R. Borborema, 687 - E 691 - Vila Joao Pessoa, Porto Alegre",,,
57,f0007b63-a031-4c5a-ad2c-d2a708feabb4,-30.06678830104769,-51.15025134620925,Pastor Rodrigo Tavares - Agronomia,Partenon,"Av. Bento Gonçalves, 6623 - Agronomia",Sim,110.0,60.0
58,022fcaca-94ad-4917-9c59-5d95736a674b,-30.06860415978485,-51.143788446209285,Igreja Lugar De Adoração,Partenon,"Av. Bento Gonçalves, 7196 - Agronomia",,60.0,20.0
72,7d5e29af-7d5f-41a9-afaf-8e2135dd69c4,-30.058329155515153,-51.15451366155386,Igreja Da Lagoinha,Partenon,"R. Prof. Guerreiro Lima, 476 - Partenon Porto Alegre - Rs, 91530-190",Sim,50.0,0.0
87,1d116975-3072-47b5-85da-44eac0fb4b3b,-30.0553419911939,-51.17252146155398,PUCRS - Parque Esportivo,Partenon,"Av. Ipiranga, 6690 - Partenon, RS, 90619-900",Sim,250.0,
102,de4d524d-fd58-45b9-96e6-7b6748b06119,-30.057556740100498,-51.1595093750458,CTG Sentinela dos Pampas,Partenon,"R. Ivo Janson, 31 - Partenon, Porto Alegre - RS, 91530-070",Sim,,
113,cc8e231c-73fe-41bb-92ac-0af903f2da58,-30.057095825357337,-51.1863554615539,AMRIGS,Partenon,"Av. Ipiranga, 5311 - Partenon, Porto Alegre - RS, 90610-001",Sim,,
