id,Latitude,Longitude,name,region,address,abrigo,capacity,shelteredPeople,obs
118,-30.11184375,-51.2484498546649,Colégio Mãe De Deus,Tristeza,"R. Dr. Mário Totta, 1252 - Tristeza",Sim,116,116,
119,-30.0187248,-51.1544672,Igreja Luterana Congregação São Paulo,Vila Ipiranga,"Rua Cipó, 450 - Vila Ipiranga, Porto Alegre",Sim,156,156,
120,-30.01221015,-51.153793596657636,Colégio Mesquita,Vila Ipiranga,"Av. do Forte, 171",Sim,130,130,
121,-30.02263359614389,-51.152595941172194,Escola Gomes Carneiro,Vila Ipiranga,"Praça Paulo De Aragao Bozano, S/N - Vila Ipiranga",Sim,200,200,
122,-30.0676715,-51.1738791547386,Escola Jerônimo De Albuquerque,Vila João Pessoa,"R. Juarez Távora, 550 - Vila Joao Pessoa",Sim,50,15,
123,-30.1155941,-51.2122557,Mulheres Em Rede / Consepro,Vila Nova,"João Salomoni, 1105 - Vila Nova",Sim,40,40,
124,-30.1022956,-51.2168006,Casa Da Juventude Marista,Vila Nova,"Estrada Aracaju, 651 - Vila Nova, Porto Alegre",Sim,110,110,
125,-30.115323,-51.2120608,Paróquia São José da Vila Nova,Vila Nova,"Av. Rodrigues da Fonseca, 1459 - Vila Nova",Sim,78,18,
126,-30.1032956,-51.2178006,Capela São João Calábria,Vila Nova,"Estrada Aracaju, 650 - Vila Nova",Sim,100,100,
127,-30.1130914,-51.2261185,Associação Cultural e Social Vila Nova,Vila Nova,"Av. João Salomoni, 1095 - Vila Nova",Sim,35,13,
128,-30.1086727,-51.2185432,CTG Inhanduí,Vila Nova,"R. Gervásio da Rosa, 190 - Vila Nova",Sim,98,55,
