Simulation Frame;Azenha;Bom Fim;Centro;Cidade Baixa;Farroupilha;Floresta;Independência;Menino Deus;Moinhos de Vento;Praia de Belas;Rio Branco;Santa Cecília;Santana
110;50;49;52;52;19;46;45;52;46;20;51;43;52
111;50;49;52;52;19;46;45;52;46;20;51;43;52
112;50;49;52;52;19;46;45;52;46;20;51;43;52
113;50;49;52;52;19;46;45;52;46;20;51;43;52
114;50;49;52;52;19;46;45;52;46;20;51;43;52
115;50;49;52;52;19;46;45;52;46;20;51;43;52
116;50;49;52;52;19;46;45;52;46;20;51;43;52
117;50;49;52;52;19;46;45;52;46;20;51;43;52
118;50;49;52;52;19;46;45;52;46;20;51;43;52
119;50;49;52;52;19;46;45;52;46;20;51;43;52
120;50;49;52;52;19;46;45;52;46;20;51;43;52
121;50;49;52;52;19;46;45;52;46;20;51;43;52
122;50;49;52;52;19;46;45;52;46;20;51;43;52
123;50;49;52;52;19;46;45;52;46;20;51;43;52
124;50;49;52;52;19;46;45;52;46;20;51;43;52
125;50;49;52;52;19;46;45;52;46;20;51;43;52
126;50;49;52;52;19;46;45;52;46;20;51;43;52
127;50;49;52;52;19;46;45;52;46;20;51;43;52
128;39;39;45;41;15;35;34;43;35;15;41;31;41
129;39;39;45;41;15;35;34;43;35;15;41;31;41
130;39;39;45;41;15;35;34;43;35;15;41;31;41
131;39;39;45;41;15;35;34;43;35;15;41;31;41
132;39;39;45;41;16;35;34;43;35;15;41;31;41
133;39;39;45;41;16;35;34;43;35;15;41;31;41
134;39;39;45;41;16;35;34;43;35;15;41;31;41
135;39;39;45;41;16;35;34;43;35;15;41;31;41
136;39;39;45;41;16;35;34;43;35;15;41;31;41
137;39;39;45;41;16;35;34;43;35;15;41;31;41
138;39;39;45;41;16;35;34;43;35;15;41;31;41
139;39;39;45;41;16;35;34;43;35;15;41;31;41
140;39;39;45;41;16;35;34;43;35;15;41;31;41
141;39;39;45;41;16;35;34;43;35;15;41;31;41
142;39;39;45;41;16;35;34;43;35;15;41;31;41
143;39;39;45;41;16;35;34;43;35;15;41;31;41
144;39;39;45;41;16;35;34;43;35;15;41;31;41
145;39;39;45;41;16;35;34;43;35;15;41;31;41
146;39;39;45;41;16;35;34;43;35;15;41;31;41
147;39;39;45;41;16;35;34;43;35;15;41;31;41
148;39;39;45;41;16;35;34;43;35;15;41;31;41
149;39;39;45;41;16;35;34;43;35;15;41;31;41
150;39;39;45;41;16;35;34;43;35;15;41;31;41
151;39;39;45;41;16;35;34;43;35;15;41;31;41
152;38;38;44;40;18;34;33;42;34;12;40;30;40
153;38;38;44;40;18;34;33;42;34;12;40;30;40
154;38;38;44;40;18;34;33;42;34;12;40;30;40
155;38;38;44;40;18;34;33;42;34;12;40;30;40
156;38;38;44;40;18;34;33;42;34;12;40;30;40
157;38;38;44;40;18;34;33;42;34;12;40;30;40
158;38;38;44;40;18;34;33;42;34;12;40;30;40
159;38;38;44;40;18;34;33;42;34;12;40;30;40
160;38;38;44;40;18;34;33;42;34;12;40;30;40
161;38;38;44;40;18;34;33;42;34;12;40;30;40
162;38;38;44;40;18;34;33;42;34;12;40;30;40
163;38;38;44;40;18;34;33;42;34;12;40;30;40
164;38;38;44;40;18;34;33;42;34;12;40;30;40
165;38;38;44;40;18;34;33;42;34;12;40;30;40
166;38;38;44;40;18;34;33;42;34;12;40;30;40
167;38;38;44;40;18;34;33;42;34;12;40;30;40
168;38;38;44;40;18;34;33;42;34;12;40;30;40
169;38;38;44;40;18;34;33;42;34;12;40;30;40
170;38;38;44;40;18;34;33;42;34;12;40;30;40
171;38;38;44;40;18;34;33;42;34;12;40;30;40
172;38;38;44;40;18;34;33;42;34;12;40;30;40
173;38;38;44;40;18;34;33;42;34;12;40;30;40
174;38;38;44;40;18;34;33;42;34;12;40;30;40
175;38;38;44;40;18;34;33;42;34;12;40;30;40
176;40;41;44;40;22;40;40;42;40;14;41;39;40
177;40;41;44;40;22;40;40;42;40;14;41;39;40
178;40;41;44;40;22;40;40;42;40;14;41;39;40
179;40;41;44;40;22;40;40;42;40;14;41;39;40
180;40;41;44;40;22;40;40;42;40;14;41;39;40
181;40;41;44;40;22;40;40;42;40;14;41;39;40
182;40;41;44;40;22;40;40;42;40;14;41;39;40
183;40;41;44;40;22;40;40;42;40;14;41;39;40
184;40;41;44;40;22;40;40;42;40;14;41;39;40
185;40;41;44;40;22;40;40;42;40;14;41;39;40
186;40;41;44;40;22;40;40;42;40;14;41;39;40
187;40;41;44;40;22;40;40;42;40;14;41;39;40
188;40;41;44;40;22;40;40;42;40;14;41;39;40
189;40;41;44;40;22;40;40;42;40;14;41;39;40
190;40;41;44;40;22;40;40;42;40;14;41;39;40
191;40;41;44;40;22;40;40;42;40;14;41;39;40
192;40;41;44;40;22;40;40;42;40;14;41;39;40
193;40;41;44;40;22;40;40;42;40;14;41;39;40
194;40;41;44;40;22;40;40;42;40;14;41;39;40
195;40;41;44;40;22;40;40;42;40;14;41;39;40
196;40;41;44;40;22;40;40;42;40;14;41;39;40
197;40;41;44;40;22;40;40;42;40;14;41;39;40
198;40;41;44;40;22;40;40;42;40;14;41;39;40
199;40;41;44;40;22;40;40;42;40;14;41;39;40
200;50;50;50;50;25;50;48;50;50;15;50;46;50
201;50;50;50;50;25;50;48;50;50;15;50;46;50
202;50;50;50;50;26;50;48;50;50;15;50;46;50
203;50;50;50;50;26;50;48;50;50;15;50;46;50
204;50;50;50;50;26;50;49;50;50;15;50;46;50
205;50;50;50;50;26;50;49;50;50;15;50;46;50
206;50;50;50;50;26;50;49;50;50;15;50;46;50
207;50;50;50;50;26;50;49;50;50;15;50;46;50
208;50;50;50;50;26;50;49;50;50;15;50;46;50
209;50;50;50;50;26;50;49;50;50;15;50;46;50
210;50;50;50;50;26;50;49;50;50;15;50;46;50
211;50;50;50;50;26;50;49;50;50;15;50;46;50
212;50;50;50;50;26;50;49;50;50;15;50;46;50
213;50;50;50;50;26;50;49;50;50;15;50;46;50
214;50;50;50;50;26;50;49;50;50;15;50;46;50
215;50;50;50;50;26;50;49;50;50;15;50;46;50
216;50;50;50;50;26;50;49;50;50;15;50;46;50
217;50;50;50;50;26;50;49;50;50;15;50;46;50
218;50;50;50;50;26;50;49;50;50;15;50;46;50
219;50;50;50;50;26;50;49;50;50;15;50;46;50
220;50;50;50;50;26;50;49;50;50;15;50;46;50
221;50;50;50;50;26;50;49;50;50;15;50;46;50
222;50;50;50;50;26;50;49;50;50;15;50;46;50
223;50;50;50;50;26;50;49;50;50;15;50;46;50
224;50;50;50;50;25;50;49;50;50;15;50;44;50
225;50;50;50;50;25;50;49;50;50;15;50;44;50
226;50;50;50;50;26;50;49;50;50;15;50;44;50
227;50;50;50;50;26;50;49;50;50;15;50;44;50
228;50;50;50;50;26;50;49;50;50;15;50;45;50
229;50;50;50;50;26;50;49;50;50;15;50;45;50
230;50;50;50;50;26;50;49;50;50;15;50;45;50
231;50;50;50;50;26;50;49;50;50;15;50;45;50
232;50;50;50;50;26;50;49;50;50;15;50;45;50
233;50;50;50;50;26;50;49;50;50;15;50;45;50
234;50;50;50;50;26;50;49;50;50;15;50;45;50
235;50;50;50;50;26;50;49;50;50;15;50;45;50
236;50;50;50;50;26;50;49;50;50;15;50;45;50
237;50;50;50;50;26;50;49;50;50;15;50;45;50
238;50;50;50;50;26;50;49;50;50;15;50;45;50
239;50;50;50;50;26;50;49;50;50;15;50;45;50
240;50;50;50;50;26;50;49;50;50;15;50;45;50
241;50;50;50;50;26;50;49;50;50;15;50;45;50
242;50;50;50;50;26;50;49;50;50;15;50;45;50
243;50;50;50;50;26;50;49;50;50;15;50;45;50
244;50;50;50;50;26;50;49;50;50;15;50;45;50
245;50;50;50;50;26;50;49;50;50;15;50;45;50
246;50;50;50;50;26;50;49;50;50;15;50;45;50
247;50;50;50;50;26;50;49;50;50;15;50;45;50
248;50;50;50;50;28;50;49;50;50;17;50;45;50
249;50;50;50;50;28;50;49;50;50;17;50;45;50
250;50;50;50;50;28;50;49;50;50;17;50;45;50
251;50;50;50;50;28;50;49;50;50;17;50;45;50
252;50;50;50;50;28;50;49;50;50;17;50;45;50
253;50;50;50;50;28;50;49;50;50;17;50;45;50
254;50;50;50;50;28;50;49;50;50;17;50;45;50
255;50;50;50;50;28;50;49;50;50;17;50;45;50
256;50;50;50;50;28;50;49;50;50;17;50;45;50
257;50;50;50;50;28;50;49;50;50;17;50;45;50
258;50;50;50;50;28;50;49;50;50;17;50;45;50
259;50;50;50;50;28;50;49;50;50;17;50;45;50
260;50;50;50;50;28;50;49;50;50;17;50;45;50
261;50;50;50;50;28;50;49;50;50;17;50;45;50
262;50;50;50;50;28;50;49;50;50;17;50;45;50
263;50;50;50;50;28;50;49;50;50;17;50;45;50
264;50;50;50;50;28;50;49;50;50;17;50;45;50
265;50;50;50;50;28;50;49;50;50;17;50;45;50
266;50;50;50;50;28;50;49;50;50;17;50;45;50
267;50;50;50;50;28;50;49;50;50;17;50;45;50
268;50;50;50;50;28;50;49;50;50;17;50;45;50
269;50;50;50;50;28;50;49;50;50;17;50;45;50
270;50;50;50;50;28;50;49;50;50;17;50;45;50
271;50;50;50;50;28;50;49;50;50;17;50;45;50
272;50;50;50;50;26;49;46;50;48;16;50;41;50
273;50;50;50;50;26;49;46;50;48;16;50;41;50
274;50;50;50;50;26;49;46;50;48;16;50;41;50
275;50;50;50;50;26;49;46;50;48;16;50;41;50
276;50;50;50;50;27;49;46;50;48;16;50;41;50
277;50;50;50;50;27;49;46;50;48;16;50;41;50
278;50;50;50;50;27;49;46;50;48;16;50;41;50
279;50;50;50;50;27;49;46;50;48;16;50;41;50
280;50;50;50;50;27;49;46;50;48;16;50;41;50
281;50;50;50;50;27;49;46;50;48;16;50;41;50
282;50;50;50;50;27;49;46;50;48;16;50;41;50
283;50;50;50;50;27;49;46;50;48;16;50;41;50
284;50;50;50;50;27;49;46;50;48;16;50;41;50
285;50;50;50;50;27;49;46;50;48;16;50;41;50
286;50;50;50;50;27;49;46;50;48;16;50;41;50
287;50;50;50;50;27;49;46;50;48;16;50;41;50
288;50;50;50;50;27;49;46;50;48;16;50;41;50
289;50;50;50;50;27;49;46;50;48;16;50;41;50
290;50;50;50;50;27;49;46;50;48;16;50;41;50
291;50;50;50;50;27;49;46;50;48;16;50;41;50
292;50;50;50;50;27;49;46;50;48;16;50;41;50
293;50;50;50;50;27;49;46;50;48;16;50;41;50
294;50;50;50;50;27;49;46;50;48;16;50;41;50
295;50;50;50;50;27;49;46;50;48;16;50;41;50
296;38;38;38;38;21;37;34;38;36;13;38;30;38
297;38;38;38;38;21;37;34;38;36;13;38;30;38
298;38;38;38;38;21;37;34;38;36;13;38;30;38
299;38;38;38;38;21;37;34;38;36;13;38;30;38
300;38;38;38;38;21;37;34;38;36;13;38;30;38
301;38;38;38;38;21;37;34;38;36;13;38;30;38
302;38;38;38;38;21;37;34;38;36;13;38;30;38
303;38;38;38;38;21;37;34;38;36;13;38;30;38
304;38;38;38;38;21;37;34;38;36;13;38;30;38
305;38;38;38;38;21;37;34;38;36;13;38;30;38
306;38;38;38;38;21;37;34;38;36;13;38;30;38
307;38;38;38;38;21;37;34;38;36;13;38;30;38
308;38;38;38;38;21;37;34;38;36;13;38;30;38
309;38;38;38;38;21;37;34;38;36;13;38;30;38
310;38;38;38;38;21;37;34;38;36;13;38;30;38
311;38;38;38;38;21;37;34;38;36;13;38;30;38
312;38;38;38;38;21;37;34;38;36;13;38;30;38
313;38;38;38;38;21;37;34;38;36;13;38;30;38
314;38;38;38;38;21;37;34;38;36;13;38;30;38
315;38;38;38;38;21;37;34;38;36;13;38;30;38
316;38;38;38;38;21;37;34;38;36;13;38;30;38
317;38;38;38;38;21;37;34;38;36;13;38;30;38
318;38;38;38;38;21;37;34;38;36;13;38;30;38
319;38;38;38;38;21;37;34;38;36;13;38;30;38
320;38;38;38;38;19;37;34;38;36;11;38;30;38
321;38;38;38;38;19;37;34;38;36;11;38;30;38
322;38;38;38;38;19;37;34;38;36;14;38;30;38
323;38;38;38;38;19;37;34;38;36;14;38;30;38
324;38;38;38;38;19;37;34;38;36;16;38;30;38
325;38;38;38;38;19;37;34;38;36;16;38;30;38
326;38;38;38;38;19;37;34;38;36;16;38;30;38
327;38;38;38;38;19;37;34;38;36;16;38;30;38
328;38;38;38;38;19;37;34;38;36;16;38;30;38
329;38;38;38;38;19;37;34;38;36;16;38;30;38
330;38;38;38;38;19;37;34;38;36;16;38;30;38
331;38;38;38;38;19;37;34;38;36;16;38;30;38
332;38;38;38;38;19;37;34;38;36;16;38;30;38
333;38;38;38;38;19;37;34;38;36;16;38;30;38
334;38;38;38;38;19;37;34;38;36;16;38;30;38
335;38;38;38;38;19;37;34;38;36;16;38;30;38
336;38;38;38;38;19;37;34;38;36;16;38;30;38
337;38;38;38;38;19;37;34;38;36;16;38;30;38
338;38;38;38;38;19;37;34;38;36;16;38;30;38
339;38;38;38;38;19;37;34;38;36;16;38;30;38
340;38;38;38;38;19;37;34;38;36;16;38;30;38
341;38;38;38;38;19;37;34;38;36;16;38;30;38
342;38;38;38;38;19;37;34;38;36;16;38;30;38
343;38;38;38;38;19;37;34;38;36;16;38;30;38
344;28;28;31;28;15;28;28;28;28;16;29;28;28
345;28;28;31;28;15;28;28;28;28;16;29;28;28
346;28;29;31;28;15;28;28;29;28;16;29;28;28
347;28;29;31;28;15;28;28;29;28;16;29;28;28
348;28;29;31;28;16;28;28;29;28;16;29;28;28
349;28;29;31;28;16;28;28;29;28;16;29;28;28
350;28;29;31;28;16;28;28;29;28;16;29;28;28
351;28;29;31;28;16;28;28;29;28;16;29;28;28
352;28;29;31;28;16;28;28;29;28;16;29;28;28
353;28;29;31;28;16;28;28;29;28;16;29;28;28
354;28;29;31;28;16;28;28;29;28;16;29;28;28
355;28;29;31;28;16;28;28;29;28;16;29;28;28
356;28;29;31;28;16;28;28;29;28;16;29;28;28
357;28;29;31;28;16;28;28;29;28;16;29;28;28
358;28;29;31;28;16;28;28;29;28;16;29;28;28
