;Origin;Destination;Total;age: [children];age: [adults];age: [elders];occupation: [student];occupation: [worker]
87;Aberta dos Morros;Três Figueiras;100;50;25;10;50;50
88;Aberta dos Morros;Vila Assunção;0;0;0;0;0;0
89;Aberta dos Morros;Vila Conceição;50;0;25;8;0;50
90;Aberta dos Morros;Vila Ipiranga;100;0;32;7;50;50
91;Aberta dos Morros;Vila Jardim;30;0;19;7;0;30
92;Aberta dos Morros;Vila João Pessoa;50;0;0;0;50;0
93;Aberta dos Morros;Vila Nova;587;50;198;69;250;337
94;Agronomia;Aberta dos Morros;50;50;0;0;50;0
95;Agronomia;Agronomia;340;0;140;8;240;100
96;Agronomia;Anchieta;50;0;29;6;0;50
97;Agronomia;Arquipélago;0;0;0;0;0;0
98;Agronomia;Auxiliadora;100;0;51;21;0;100
99;Agronomia;Azenha;100;0;52;19;0;100
100;Agronomia;Bela Vista;100;0;59;26;0;100
101;Agronomia;Belém Novo;50;0;25;16;0;50
102;Agronomia;Belém Velho;151;48;57;15;48;103
103;Agronomia;Boa Vista;0;0;0;0;0;0
104;Agronomia;Boa Vista do Sul;0;0;0;0;0;0
105;Agronomia;Bom Fim;50;50;0;0;50;0
106;Agronomia;Bom Jesus;819;294;201;64;464;355
107;Agronomia;Camaquã;50;0;29;13;0;50
108;Agronomia;Campo Novo;148;48;65;18;48;100
109;Agronomia;Cascata;343;193;106;16;193;150
110;Agronomia;Cavalhada;15;0;12;2;0;15
111;Agronomia;Cel. Aparício Borges;108;0;32;9;50;58
112;Agronomia;Centro Histórico;3;0;2;1;0;3
113;Agronomia;Chapéu do Sol;48;0;0;0;48;0
114;Agronomia;Chácara das Pedras;0;0;0;0;0;0
115;Agronomia;Cidade Baixa;0;0;0;0;0;0
116;Agronomia;Costa e Silva;55;0;40;7;0;55
117;Agronomia;Cristal;50;0;7;1;35;15
118;Agronomia;Cristo Redentor;55;0;52;3;50;5
119;Agronomia;Espírito Santo;100;0;48;24;0;100
120;Agronomia;Extrema;0;0;0;0;0;0
121;Agronomia;Farrapos;553;90;83;8;503;50
122;Agronomia;Farroupilha;0;0;0;0;0;0
123;Agronomia;Floresta;100;0;52;18;0;100
124;Agronomia;Glória;100;0;58;16;0;100
125;Agronomia;Guarujá;0;0;0;0;0;0
126;Agronomia;Higienópolis;0;0;0;0;0;0
127;Agronomia;Humaitá;0;0;0;0;0;0
128;Agronomia;Hípica;100;0;72;15;0;100
129;Agronomia;Independência;0;0;0;0;0;0
130;Agronomia;Ipanema;54;0;31;17;0;54
131;Agronomia;Jardim Botânico;103;0;42;3;48;55
132;Agronomia;Jardim Carvalho;3172;1268;304;45;2872;300
133;Agronomia;Jardim Europa;0;0;0;0;0;0
134;Agronomia;Jardim Floresta;0;0;0;0;0;0
135;Agronomia;Jardim Isabel;0;0;0;0;0;0
136;Agronomia;Jardim Itú;150;0;88;26;0;150
137;Agronomia;Jardim Leopoldina;153;0;68;18;50;103
138;Agronomia;Jardim Lindóia;0;0;0;0;0;0
139;Agronomia;Jardim Sabará;248;48;129;40;48;200
140;Agronomia;Jardim São Pedro;0;0;0;0;0;0
141;Agronomia;Jardim do Salso;0;0;0;0;0;0
142;Agronomia;Lageado;50;0;27;9;0;50
143;Agronomia;Lami;0;0;0;0;0;0
144;Agronomia;Lomba do Pinheiro;5909;634;2882;613;1155;4754
145;Agronomia;Medianeira;0;0;0;0;0;0
146;Agronomia;Menino Deus;109;0;59;28;0;109
147;Agronomia;Moinhos de Vento;0;0;0;0;0;0
148;Agronomia;Mont'Serrat;0;0;0;0;0;0
149;Agronomia;Morro Santana;653;48;315;103;48;605
150;Agronomia;Mário Quintana;113;0;71;13;0;113
151;Agronomia;Navegantes;0;0;0;0;0;0
152;Agronomia;Nonoai;0;0;0;0;0;0
153;Agronomia;Parque Santa Fé;0;0;0;0;0;0
154;Agronomia;Partenon;204;50;83;13;148;56
155;Agronomia;Passo D'Areia;158;50;41;38;50;108
156;Agronomia;Passo das Pedras;206;0;114;37;0;206
157;Agronomia;Pedra Redonda;0;0;0;0;0;0
158;Agronomia;Petrópolis;109;0;65;29;0;109
159;Agronomia;Pitinga;0;0;0;0;0;0
160;Agronomia;Ponta Grossa;0;0;0;0;0;0
161;Agronomia;Praia de Belas;0;0;0;0;0;0
162;Agronomia;Restinga;398;50;190;44;85;313
163;Agronomia;Rio Branco;4;0;2;2;0;4
164;Agronomia;Rubem Berta;50;0;0;0;50;0
165;Agronomia;Santa Cecília;0;0;0;0;0;0
166;Agronomia;Santa Maria Goretti;0;0;0;0;0;0
167;Agronomia;Santa Rosa de Lima;147;50;50;0;147;0
168;Agronomia;Santa Tereza;192;0;103;28;35;157
169;Agronomia;Santana;4;0;1;1;0;4
170;Agronomia;Santo Antônio;185;0;95;28;35;150
171;Agronomia;Sarandi;114;0;45;16;50;64
172;Agronomia;Serraria;50;0;34;12;0;50
173;Agronomia;São Caetano;50;0;33;9;0;50
174;Agronomia;São Geraldo;98;48;28;14;48;50
175;Agronomia;São José;2916;733;1000;279;1212;1704
176;Agronomia;São João;0;0;0;0;0;0
177;Agronomia;São Sebastião;0;0;0;0;0;0
178;Agronomia;Sétimo Céu;50;0;26;7;0;50
179;Agronomia;Teresópolis;50;50;0;0;50;0
180;Agronomia;Tristeza;6;0;6;0;0;6
181;Agronomia;Três Figueiras;0;0;0;0;0;0
182;Agronomia;Vila Assunção;0;0;0;0;0;0
183;Agronomia;Vila Conceição;0;0;0;0;0;0
184;Agronomia;Vila Ipiranga;0;0;0;0;0;0
185;Agronomia;Vila Jardim;153;50;25;19;100;53
186;Agronomia;Vila João Pessoa;445;98;114;52;245;200
187;Agronomia;Vila Nova;214;0;114;42;0;214
188;Anchieta;Aberta dos Morros;68;0;36;8;0;68
189;Anchieta;Agronomia;0;0;0;0;0;0
190;Anchieta;Anchieta;0;0;0;0;0;0
191;Anchieta;Arquipélago;0;0;0;0;0;0
192;Anchieta;Auxiliadora;8;0;6;2;0;8
193;Anchieta;Azenha;24;0;13;4;0;24
194;Anchieta;Bela Vista;88;0;56;18;0;88
195;Anchieta;Belém Novo;0;0;0;0;0;0
196;Anchieta;Belém Velho;106;50;35;6;50;56
197;Anchieta;Boa Vista;100;0;24;11;50;50
198;Anchieta;Boa Vista do Sul;50;50;0;0;50;0
199;Anchieta;Bom Fim;0;0;0;0;0;0
200;Anchieta;Bom Jesus;76;50;13;2;50;26
201;Anchieta;Camaquã;10;0;6;3;0;10
