distance;frequency
54.38444977016625;790
67.6711913324525;1959
78.17948771640611;672
118.76968968051581;8291
155.57856093160635;2468
165.48510473214907;976
167.12535480260303;2422
193.0743953121895;499
203.50618957119514;2941
226.29738967389326;821
236.78098182743886;1794
242.80968349503183;7614
252.46886129185688;5390
253.33847915106136;1492
259.68113294454025;1449
273.80027523713966;485
278.4408515876943;6669
279.49926306763473;174
281.19023188384847;3812
285.86782904377156;3792
286.0373895896952;11406
286.3972317200989;1710
292.4642280473222;1974
297.10795071559056;2684
306.1930248016151;1420
307.0665645662336;1250
307.7644813497703;4288
313.33227870295195;2464
317.0650092675266;11464
318.5039903654181;464
319.4453270069884;489
320.5582298766957;1375
323.54058219180524;4822
329.3622353347565;3831
333.2966409562368;1636
338.523031800774;498
342.5665074640956;2312
355.47418724798916;499
356.52843582604424;3143
357.24013083207495;1918
358.68820607945844;4879
360.1502854199132;1896
372.72770482646195;2890
375.796116385403;2440
378.3971804696374;1478
383.58902923441417;756
387.9505710125113;3308
392.66527278834116;7193
408.2924255753875;2253
413.04231024815186;956
414.01179866799094;3104
414.5560361211717;800
435.83928628924934;437
447.35057715468054;5987
449.15426168310415;2847
454.37692848050204;1980
456.85717470618323;3708
464.86157100677804;1351
468.9151700247925;481
472.09681648799597;1705
473.616145701286;4666
477.6389299597963;1178
481.64358932556974;3217
489.0876204465355;491
490.7771528455276;697
494.42847291478256;1729
496.3383005972912;5653
497.8146848601765;1384
510.3384966038188;972
521.7077744444127;2196
534.0516985703906;1509
534.2316596598412;1468
535.8431299981296;426
537.3724781438957;4104
537.9580808217597;2412
539.2952646488975;317
540.7903425914983;2248
547.4940793994418;1475
547.8570806514699;6891
553.2860795653775;705
560.508542286025;5920
565.317650934867;2002
565.719730811165;6950
566.5707034972751;1213
573.4382189550472;6012
573.9018066550601;1401
576.8156637049826;680
577.2119525060579;3813
580.056317836532;6797
581.0210750100288;1342
582.4581748030581;483
586.9069951833854;1780
590.6076702538161;1548
594.6777355436724;891
597.6720365884369;3160
600.6261788815568;1424
604.7544267228999;500
607.0967520914733;499
613.4133333489757;5965
613.6422233881286;2337
617.0027599377388;418
624.0593468020853;2272
631.0049683375944;462
631.1481632201825;1852
631.2650865980481;950
632.2957647572209;484
645.1554882592332;3530
655.485109064238;5298
668.9186161316046;1472
675.9736416321449;1941
676.4671296720742;4471
679.994743250963;3856
686.0248361159669;2418
691.1535265898922;2379
697.3629446419386;1425
700.4773058815118;3297
709.3471119276358;4902
711.7721096307058;26054
712.6650908159231;497
717.4216033820901;1115
720.6901376420844;478
722.5733787643225;1923
727.9496631008311;734
732.067545669309;5881
734.0204720462639;2461
734.5686478984763;2164
743.0104994888906;9087
748.215792724636;464
753.0522233955323;4423
756.7703781106056;4087
757.2835284781054;1196
768.7648660193317;500
777.252590669379;5486
780.3049346758851;1656
787.2612120803881;1934
791.9089471891714;4248
794.635668423232;908
796.8839096836657;897
798.5583922290476;1927
799.0682828584718;5327
801.6939206136207;426
805.3077896363426;361
810.1504261590327;494
812.141780366104;951
825.9876045263734;996
828.7855447772063;920
833.9861542878073;499
835.9154227222592;5249
839.0742950944151;3610
840.1243996118399;926
841.3390196029667;7591
847.0725507523555;910
848.0608245035115;1898
854.0422972283627;1957
854.6515163581627;2287
855.6604743916876;1472
859.6242671519833;483
863.5773255366478;2849
874.65412521605;3439
875.8758334689347;997
876.3591208711124;1221
876.7839839846124;1863
877.2623289983851;997
877.6089419763101;18347
880.1648148222221;4512
885.3596195200489;426
885.3724956695494;1485
886.9101751748909;877
888.4363006998092;2961
891.7688104759138;484
894.634884380218;4848
904.1429620080678;1491
912.2432018888546;499
915.1717425181414;998
917.0640691441001;3283
919.1125589878;2227
919.4353015458456;842
927.0035884268527;423
931.2299420238927;822
935.161835379759;2311
935.2653235051081;1877
935.8422879501527;3149
936.2379483620731;1875
937.5606122640584;4105
939.1380114010651;3135
940.2515689773078;2901
942.8175649909793;1426
942.9032048210036;422
944.5724297185781;964
946.8513850642578;955
951.5809912039266;2395
964.3536362336916;407
965.8594279901465;498
966.7882016358521;819
968.1872455483287;4488
974.7192725573012;1371
979.9868472496447;997
989.9169013191595;2450
991.7649131125332;6143
992.5506935834709;898
996.4284368966516;1323
999.5818009174872;5224
1002.1552305452316;1643
1006.7949579531717;1697
1009.284832873819;1448
1009.7631793865487;467
1010.1731799173043;1949
1011.2719534300422;372
1021.729639016038;1005
1022.3587429862484;934
1022.8369734888249;853
1025.0500281577092;344
1025.2171969094857;1172
1027.6402132343746;6152
1030.4806657668794;2955
1035.493255670216;1817
1035.7973689969292;379
1036.4874808044124;6265
1039.4985047322207;498
1040.4446514647552;1344
1042.273590271282;2813
1043.0855714473946;833
1044.2621377626374;498
1046.6288694827683;1413
1048.9857128477822;270
1052.915573068624;1826
1054.5279422603633;462
1057.7490999237054;16627
1058.8343494821956;950
1058.9360254220067;1491
1059.5725594797814;3261
1059.8180111522;497
1061.8024203577927;3863
1065.6833814180823;499
1073.7386454030259;917
1076.8734011227784;1145
1078.103258460607;898
1080.199835956647;984
1080.9025864983423;901
1083.8029910769012;1371
1085.2994954956982;945
1086.1344708752815;469
1088.870568143741;1481
1089.2505936361097;500
1090.8659297318463;1112
1096.613702508125;806
1098.8388908207319;460
1098.861470726608;426
1099.225415470912;499
1105.9649889613033;1226
1106.9929784874166;902
1109.257864657833;885
1110.4942878479899;836
1111.125352381068;2029
1113.5664120888039;2315
1119.7504377975924;1313
1121.2220425056214;662
1124.0783996607329;1402
1131.3605366519453;401
1132.0607822742672;4871
1136.5736085210856;946
1138.438287440826;501
1138.4660126175559;499
1140.7425365784923;3390
1141.997901676946;869
1146.3825927017085;3167
1148.8735258529375;498
1149.2657449295714;438
1159.8263361098998;995
1160.8614694850917;833
1161.2202843529858;1380
1163.1850814888408;457
1164.551827342821;498
1167.2376575268443;914
1168.3224425999722;452
1172.7289527886307;5247
1175.02560036969;1116
1175.189481897498;729
1176.8677023589412;955
1179.1171894824856;498
1179.7949294959417;498
1184.0412464972226;434
1185.2342249454312;340
1186.2331078711802;997
1187.6234167519842;355
1198.8695261310847;1314
1199.1339987143008;355
1206.4177404841585;389
1207.0914684066781;418
1209.2544480798128;429
1209.3291938007658;409
1211.425281547001;450
1215.1999197376417;2903
1215.6308563616753;499
1222.9712489040776;1233
1225.598950982153;383
1232.0702708880683;483
1232.1020085619157;498
1238.8147284573245;453
1240.5729222734892;794
1240.9838748654438;1281
1241.6077077328084;876
1244.945699217032;832
1245.4645786782075;483
1245.8035381462732;499
1248.5630104342158;997
1255.1928416641636;1346
1256.8941616548104;1492
1258.7115954582596;6265
1260.8389328113767;986
1262.8124382324486;375
1266.4658493131135;1942
1274.1199886556058;977
1277.4090337541127;831
1278.3305084716546;1490
1282.6279746464568;4261
1284.5437915821888;441
1285.5549414705729;499
1286.9596545201193;499
1288.0659042792297;2262
1289.2564463325712;380
1292.0146074040463;480
1293.0461691820328;441
1294.8837698948457;1482
1295.48392097858;1513
1302.197027396083;481
